element,wavelength,intensity,acc,state,source,reference,unit
Pr,10033.85,500,,3,nist,L2466,A
Pr,1008.61,0,,3,nist,L365,A
Pr,10163.11,500,,3,nist,L2466,A
Pr,1021.35,0,,3,nist,L365,A
Pr,10241.44,500,,3,nist,L2466,A
Pr,1026.18,0,,3,nist,L365,A
Pr,1029.03,100,,3,nist,L365,A
Pr,10304.40,500,,3,nist,L2466,A
Pr,10327.42,500,,3,nist,L2466,A
Pr,1038.29,0,,3,nist,L365,A
Pr,1042.96,0,,3,nist,L365,A
Pr,1043.80,0,,3,nist,L365,A
Pr,1044.03,0,,3,nist,L365,A
Pr,1046.20,0,,3,nist,L365,A
Pr,1047.24,150,,3,nist,L365,A
Pr,1049.09,100,,3,nist,L365,A
Pr,1052.63,0,,3,nist,L365,A
Pr,1061.60,0,,3,nist,L365,A
Pr,1066.03,0,,3,nist,L365,A
Pr,1068.85,0,,3,nist,L365,A
Pr,1069.88,0,,3,nist,L365,A
Pr,10719.52,500,,3,nist,L2466,A
Pr,1084.42,0,,3,nist,L365,A
Pr,1088.66,0,,3,nist,L365,A
Pr,1104.84,100,,3,nist,L365,A
Pr,1108.82,0,,3,nist,L365,A
Pr,1226.40,300,,4,nist,L3520,A
Pr,1228.59,2000,,4,nist,L3520,A
Pr,1230.69,500,,4,nist,L3520,A
Pr,1234.07,250,,5,nist,L183,A
Pr,1238.19,400,,4,nist,L3520,A
Pr,1249.35,200,,4,nist,L3520,A
Pr,1255.64,200,,4,nist,L3520,A
Pr,1261.27,200,,4,nist,L3520,A
Pr,1268.32,400,,4,nist,L3520,A
Pr,1270.58,300,,4,nist,L3520,A
Pr,1275.10,1000,,4,nist,L3520,A
Pr,1275.40,200,,4,nist,L3520,A
Pr,1278.65,1000,,4,nist,L3520,A
Pr,1279.34,200,,4,nist,L3520,A
Pr,1287.44,1000,,4,nist,L3520,A
Pr,1290.93,300,,4,nist,L3520,A
Pr,1292.30,1000,,4,nist,L3520,A
Pr,1293.22,5000,,4,nist,L3520,A
Pr,1295.28,5000,,4,nist,L3520,A
Pr,1296.50,400,,4,nist,L3520,A
Pr,1298.26,200,,4,nist,L3520,A
Pr,1298.54,300,,4,nist,L3520,A
Pr,1304.71,200,,4,nist,L3520,A
Pr,1306.86,300,,4,nist,L3520,A
Pr,1308.08,200,,4,nist,L3520,A
Pr,1310.71,200,,4,nist,L3520,A
Pr,1314.96,500,,4,nist,L3520,A
Pr,1315.28,300,,4,nist,L3520,A
Pr,1316.96,300,,4,nist,L3520,A
Pr,1320.10,500,,4,nist,L3520,A
Pr,1320.70,1000,,4,nist,L3520,A
Pr,1321.36,5000,,4,nist,L3520,A
Pr,1322.51,500,,4,nist,L3520,A
Pr,1326.38,500,,4,nist,L3520,A
Pr,1333.57,5000,,4,nist,L3520,A
Pr,1335.96,300,,4,nist,L3520,A
Pr,1339.29,500,,4,nist,L3520,A
Pr,1340.74,1000,,4,nist,L3520,A
Pr,1341.32,200,,4,nist,L3520,A
Pr,1342.78,250,,5,nist,L183,A
Pr,1344.23,300,,4,nist,L3520,A
Pr,1347.07,1000,,4,nist,L3520,A
Pr,1352.70,0,,3,nist,L365,A
Pr,1352.81,1000,,4,nist,L3520,A
Pr,1354.35,500,,4,nist,L3520,A
Pr,1354.66,5000,,4,nist,L3520,A
Pr,1360.64,2000,,4,nist,L3520,A
Pr,1364.81,1000,,4,nist,L3520,A
Pr,1365.77,2000,,4,nist,L3520,A
Pr,1368.90,400,,4,nist,L3520,A
Pr,1374.41,5000,,4,nist,L3520,A
Pr,1382.62,1000,,4,nist,L3520,A
Pr,1384.23,200,,4,nist,L3520,A
Pr,1385.91,200,,4,nist,L3520,A
Pr,1394.11,300,,4,nist,L3520,A
Pr,1397.11,500,,4,nist,L3520,A
Pr,1399.31,1000,,4,nist,L3520,A
Pr,1400.96,1000,,4,nist,L3520,A
Pr,1410.90,400,,4,nist,L3520,A
Pr,1424.36,1000,,4,nist,L3520,A
Pr,1426.59,500,,4,nist,L3520,A
Pr,1435.56,5000,,4,nist,L3520,A
Pr,1459.95,200,,4,nist,L3520,A
Pr,1461.76,200,,4,nist,L3520,A
Pr,1474.91,1000,,4,nist,L3520,A
Pr,1477.32,200,,4,nist,L3520,A
Pr,1485.88,500,,4,nist,L3520,A
Pr,1503.35,500,,4,nist,L3520,A
Pr,1516.86,400,,4,nist,L3520,A
Pr,1520.71,200,,4,nist,L3520,A
Pr,1520.98,2000,,4,nist,L3520,A
Pr,1523.46,400,,4,nist,L3520,A
Pr,1553.62,500,,4,nist,L3520,A
Pr,1559.49,500,,4,nist,L3520,A
Pr,1570.13,500,,4,nist,L3520,A
Pr,1572.80,200,,4,nist,L3520,A
Pr,1574.55,5000,,4,nist,L3520,A
Pr,1575.10,5000,,4,nist,L3520,A
Pr,1578.38,3000,,4,nist,L3520,A
Pr,1585.10,500,,4,nist,L3520,A
Pr,1613.00,300,,4,nist,L3520,A
Pr,1613.65,400,,4,nist,L3520,A
Pr,1618.03,1000,,4,nist,L3520,A
Pr,1622.30,2000,,4,nist,L3520,A
Pr,1634.77,300,,4,nist,L3520,A
Pr,1676.08,400,,4,nist,L3520,A
Pr,1688.49,200,,4,nist,L3520,A
Pr,1713.53,200,,4,nist,L3520,A
Pr,1732.86,500,,4,nist,L3520,A
Pr,1762.86,300,,4,nist,L3520,A
Pr,1766.88,1000,,4,nist,L3520,A
Pr,1771.14,1000,,4,nist,L3520,A
Pr,1841.08,500,,4,nist,L3520,A
Pr,1881.22,0,,3,nist,L365,A
Pr,1884.87,10000,,4,nist,L3520,A
Pr,1951.23,400,,4,nist,L3520,A
Pr,1954.61,200,,4,nist,L3520,A
Pr,1958.09,200,,5,nist,L183,A
Pr,1958.20,400,,5,nist,L183,A
Pr,2025.71,200,,4,nist,L3520,A
Pr,2032.11,0,,3,nist,L365,A
Pr,2033.95,100,,3,nist,L365,A
Pr,2039.81,1000,,4,nist,L3520,A
Pr,2043.78,0,,3,nist,L365,A
Pr,2047.71,200,,4,nist,L3520,A
Pr,2051.39,200,,4,nist,L3520,A
Pr,2052.96,100,,3,nist,L365,A
Pr,2053.53,0,,3,nist,L365,A
Pr,2054.51,0,,3,nist,L365,A
Pr,2059.14,200,,4,nist,L3520,A
Pr,2059.25,200,,3,nist,L365,A
Pr,2064.74,0,,3,nist,L365,A
Pr,2075.74,0,,3,nist,L365,A
Pr,2083.89,2000,,4,nist,L3520,A
Pr,2091.41,200,,3,nist,L365,A
Pr,2094.16,200,,3,nist,L365,A
Pr,2097.52,0,,3,nist,L365,A
Pr,2097.61,0,,3,nist,L365,A
Pr,2101.09,500,,4,nist,L3520,A
Pr,2148.82,0,,3,nist,L2466,A
Pr,2154.99,1000,,4,nist,L3520,A
Pr,2194.06,300,,4,nist,L3520,A
Pr,2194.93,0,,3,nist,L2466,A
Pr,2197.94,0,,3,nist,L2466,A
Pr,2205.82,1000,,4,nist,L3520,A
Pr,2206.17,0,,3,nist,L2466,A
Pr,2206.95,0,,3,nist,L2466,A
Pr,2215.14,0,,3,nist,L2466,A
Pr,2215.94,0,,3,nist,L2466,A
Pr,2217.81,0,,3,nist,L2466,A
Pr,2223.92,0,,3,nist,L2466,A
Pr,2231.04,0,,3,nist,L2466,A
Pr,2237.95,0,,3,nist,L2466,A
Pr,2239.76,0,,3,nist,L2466,A
Pr,2240.12,0,,3,nist,L2466,A
Pr,2242.85,0,,3,nist,L2466,A
Pr,2246.76,300,,5,nist,L183,A
Pr,2246.90,3300,,5,nist,L183,A
Pr,2266.40,300,,4,nist,L3520,A
Pr,2285.32,0,,3,nist,L2466,A
Pr,2308.30,0,,3,nist,L2466,A
Pr,2308.48,0,,3,nist,L2466,A
Pr,2309.12,0,,3,nist,L2466,A
Pr,2312.00,0,,3,nist,L2466,A
Pr,2312.15,0,,3,nist,L2466,A
Pr,2314.89,0,,3,nist,L2466,A
Pr,2316.17,0,,3,nist,L2466,A
Pr,2318.86,0,,3,nist,L2466,A
Pr,2319.07,0,,3,nist,L2466,A
Pr,2319.35,0,,3,nist,L2466,A
Pr,2319.53,0,,3,nist,L2466,A
Pr,2319.68,0,,3,nist,L2466,A
Pr,2320.11,0,,3,nist,L2466,A
Pr,2321.12,0,,3,nist,L2466,A
Pr,2329.27,0,,3,nist,L2466,A
Pr,2335.18,200,,4,nist,L3520,A
Pr,2336.85,0,,3,nist,L2466,A
Pr,2339.80,200,,4,nist,L3520,A
Pr,2366.24,0,,3,nist,L2466,A
Pr,2369.50,0,,3,nist,L2466,A
Pr,2369.80,0,,3,nist,L2466,A
Pr,2376.82,500,,4,nist,L3520,A
Pr,2378.79,0,,3,nist,L2466,A
Pr,2379.70,0,,3,nist,L2466,A
Pr,2379.71,2000,,4,nist,L3520,A
Pr,2380.39,1000,,4,nist,L3520,A
Pr,2396.17,0,,3,nist,L2466,A
Pr,2400.43,0,,3,nist,L2466,A
Pr,2406.29,0,,3,nist,L2466,A
Pr,2408.92,0,,3,nist,L2466,A
Pr,2410.53,0,,3,nist,L2466,A
Pr,2413.13,0,,3,nist,L2466,A
Pr,2418.42,0,,3,nist,L2466,A
Pr,2419.68,0,,3,nist,L2466,A
Pr,2426.88,0,,3,nist,L2466,A
Pr,2427.59,0,,3,nist,L2466,A
Pr,2427.81,500,,4,nist,L3520,A
Pr,2428.87,500,,4,nist,L3520,A
Pr,2431.06,0,,3,nist,L2466,A
Pr,2434.92,0,,3,nist,L2466,A
Pr,2435.13,0,,3,nist,L2466,A
Pr,2436.65,0,,3,nist,L2466,A
Pr,2437.63,0,,3,nist,L2466,A
Pr,2439.31,500,,4,nist,L3520,A
Pr,2439.37,0,,3,nist,L2466,A
Pr,2445.67,0,,3,nist,L2466,A
Pr,2446.23,0,,3,nist,L2466,A
Pr,2447.51,0,,3,nist,L2466,A
Pr,2448.90,0,,3,nist,L2466,A
Pr,2452.76,0,,3,nist,L2466,A
Pr,2453.55,0,,3,nist,L2466,A
Pr,2453.59,0,,3,nist,L2466,A
Pr,2455.34,0,,3,nist,L2466,A
Pr,2455.56,0,,3,nist,L2466,A
Pr,2456.38,500,,4,nist,L3520,A
Pr,2460.51,0,,3,nist,L2466,A
Pr,2461.46,0,,3,nist,L2466,A
Pr,2462.92,0,,3,nist,L2466,A
Pr,2463.65,0,,3,nist,L2466,A
Pr,2468.95,0,,3,nist,L2466,A
Pr,2469.72,0,,3,nist,L2466,A
