element,wavelength,intensity,acc,state,source,reference,unit
Pr,10033.85,500,,3,nist,L2466,A
Pr,1008.61,0,,3,nist,L365,A
Pr,10163.11,500,,3,nist,L2466,A
Pr,1021.35,0,,3,nist,L365,A
Pr,10241.44,500,,3,nist,L2466,A
Pr,1026.18,0,,3,nist,L365,A
Pr,1029.03,100,,3,nist,L365,A
Pr,10304.40,500,,3,nist,L2466,A
Pr,10327.42,500,,3,nist,L2466,A
Pr,1038.29,0,,3,nist,L365,A
Pr,1042.96,0,,3,nist,L365,A
Pr,1043.80,0,,3,nist,L365,A
Pr,1044.03,0,,3,nist,L365,A
Pr,1046.20,0,,3,nist,L365,A
Pr,1047.24,150,,3,nist,L365,A
Pr,1049.09,100,,3,nist,L365,A
Pr,1052.63,0,,3,nist,L365,A
Pr,1061.60,0,,3,nist,L365,A
Pr,1066.03,0,,3,nist,L365,A
Pr,1068.85,0,,3,nist,L365,A
Pr,1069.88,0,,3,nist,L365,A
Pr,10719.52,500,,3,nist,L2466,A
Pr,1084.42,0,,3,nist,L365,A
Pr,1088.66,0,,3,nist,L365,A
Pr,1104.84,100,,3,nist,L365,A
Pr,1108.82,0,,3,nist,L365,A
Pr,1352.70,0,,3,nist,L365,A
Pr,1881.22,0,,3,nist,L365,A
Pr,2032.11,0,,3,nist,L365,A
Pr,2033.95,100,,3,nist,L365,A
Pr,2043.78,0,,3,nist,L365,A
Pr,2052.96,100,,3,nist,L365,A
Pr,2053.53,0,,3,nist,L365,A
Pr,2054.51,0,,3,nist,L365,A
Pr,2059.25,200,,3,nist,L365,A
Pr,2064.74,0,,3,nist,L365,A
Pr,2075.74,0,,3,nist,L365,A
Pr,2091.41,200,,3,nist,L365,A
Pr,2094.16,200,,3,nist,L365,A
Pr,2097.52,0,,3,nist,L365,A
Pr,2097.61,0,,3,nist,L365,A
Pr,2148.82,0,,3,nist,L2466,A
Pr,2194.93,0,,3,nist,L2466,A
Pr,2197.94,0,,3,nist,L2466,A
Pr,2206.17,0,,3,nist,L2466,A
Pr,2206.95,0,,3,nist,L2466,A
Pr,2215.14,0,,3,nist,L2466,A
Pr,2215.94,0,,3,nist,L2466,A
Pr,2217.81,0,,3,nist,L2466,A
Pr,2223.92,0,,3,nist,L2466,A
Pr,2231.04,0,,3,nist,L2466,A
Pr,2237.95,0,,3,nist,L2466,A
Pr,2239.76,0,,3,nist,L2466,A
Pr,2240.12,0,,3,nist,L2466,A
Pr,2242.85,0,,3,nist,L2466,A
Pr,2285.32,0,,3,nist,L2466,A
Pr,2308.30,0,,3,nist,L2466,A
Pr,2308.48,0,,3,nist,L2466,A
Pr,2309.12,0,,3,nist,L2466,A
Pr,2312.00,0,,3,nist,L2466,A
Pr,2312.15,0,,3,nist,L2466,A
Pr,2314.89,0,,3,nist,L2466,A
Pr,2316.17,0,,3,nist,L2466,A
Pr,2318.86,0,,3,nist,L2466,A
Pr,2319.07,0,,3,nist,L2466,A
Pr,2319.35,0,,3,nist,L2466,A
Pr,2319.53,0,,3,nist,L2466,A
Pr,2319.68,0,,3,nist,L2466,A
Pr,2320.11,0,,3,nist,L2466,A
Pr,2321.12,0,,3,nist,L2466,A
Pr,2329.27,0,,3,nist,L2466,A
Pr,2336.85,0,,3,nist,L2466,A
Pr,2366.24,0,,3,nist,L2466,A
Pr,2369.50,0,,3,nist,L2466,A
Pr,2369.80,0,,3,nist,L2466,A
Pr,2378.79,0,,3,nist,L2466,A
Pr,2379.70,0,,3,nist,L2466,A
Pr,2396.17,0,,3,nist,L2466,A
Pr,2400.43,0,,3,nist,L2466,A
Pr,2406.29,0,,3,nist,L2466,A
Pr,2408.92,0,,3,nist,L2466,A
Pr,2410.53,0,,3,nist,L2466,A
Pr,2413.13,0,,3,nist,L2466,A
Pr,2418.42,0,,3,nist,L2466,A
Pr,2419.68,0,,3,nist,L2466,A
Pr,2426.88,0,,3,nist,L2466,A
Pr,2427.59,0,,3,nist,L2466,A
Pr,2431.06,0,,3,nist,L2466,A
Pr,2434.92,0,,3,nist,L2466,A
Pr,2435.13,0,,3,nist,L2466,A
Pr,2436.65,0,,3,nist,L2466,A
Pr,2437.63,0,,3,nist,L2466,A
Pr,2439.37,0,,3,nist,L2466,A
Pr,2445.67,0,,3,nist,L2466,A
Pr,2446.23,0,,3,nist,L2466,A
Pr,2447.51,0,,3,nist,L2466,A
Pr,2448.90,0,,3,nist,L2466,A
Pr,2452.76,0,,3,nist,L2466,A
Pr,2453.55,0,,3,nist,L2466,A
Pr,2453.59,0,,3,nist,L2466,A
Pr,2455.34,0,,3,nist,L2466,A
Pr,2455.56,0,,3,nist,L2466,A
Pr,2460.51,0,,3,nist,L2466,A
Pr,2461.46,0,,3,nist,L2466,A
Pr,2462.92,0,,3,nist,L2466,A
Pr,2463.65,0,,3,nist,L2466,A
Pr,2468.95,0,,3,nist,L2466,A
Pr,2469.72,0,,3,nist,L2466,A
Pr,2474.17,0,,3,nist,L2466,A
Pr,2479.07,0,,3,nist,L2466,A
Pr,2480.73,0,,3,nist,L2466,A
Pr,2481.77,0,,3,nist,L2466,A
Pr,2484.05,0,,3,nist,L2466,A
Pr,2484.74,0,,3,nist,L2466,A
Pr,2485.35,0,,3,nist,L2466,A
Pr,2485.91,0,,3,nist,L2466,A
Pr,2489.47,0,,3,nist,L2466,A
Pr,2492.72,0,,3,nist,L2466,A
Pr,2494.95,0,,3,nist,L2466,A
Pr,2496.12,0,,3,nist,L2466,A
Pr,2496.26,0,,3,nist,L2466,A
Pr,2500.72,0,,3,nist,L2466,A
Pr,2588.48,0,,3,nist,L2466,A
Pr,2625.69,0,,3,nist,L2466,A
Pr,2645.41,0,,3,nist,L2466,A
Pr,2657.67,0,,3,nist,L2466,A
Pr,2668.30,0,,3,nist,L2466,A
Pr,2680.27,0,,3,nist,L2466,A
Pr,2711.10,0,,3,nist,L2466,A
Pr,2719.46,0,,3,nist,L2466,A
Pr,2724.84,100,,3,nist,L2466,A
Pr,2842.78,0,,3,nist,L2466,A
Pr,2911.46,0,,3,nist,L2466,A
Pr,2912.62,0,,3,nist,L2466,A
Pr,2915.34,100,,3,nist,L2466,A
Pr,2931.05,0,,3,nist,L2466,A
Pr,2943.29,0,,3,nist,L2466,A
Pr,2954.44,0,,3,nist,L2466,A
Pr,2955.26,0,,3,nist,L2466,A
Pr,2965.72,0,,3,nist,L2466,A
Pr,2969.70,150,,3,nist,L2466,A
Pr,2970.28,0,,3,nist,L2466,A
Pr,2977.73,150,,3,nist,L2466,A
Pr,2977.93,150,,3,nist,L2466,A
Pr,2981.41,500,,3,nist,L2466,A
Pr,2982.52,100,,3,nist,L2466,A
Pr,2983.29,150,,3,nist,L2466,A
Pr,2986.69,500,,3,nist,L2466,A
Pr,2997.99,150,,3,nist,L2466,A
Pr,2999.66,0,,3,nist,L2466,A
Pr,3001.33,150,,3,nist,L2466,A
Pr,3004.08,150,,3,nist,L2466,A
Pr,3007.35,0,,3,nist,L2466,A
Pr,3008.92,150,,3,nist,L2466,A
Pr,3011.49,150,,3,nist,L2466,A
Pr,3015.48,0,,3,nist,L2466,A
Pr,3016.01,100,,3,nist,L2466,A
Pr,3017.14,0,,3,nist,L2466,A
Pr,3022.65,0,,3,nist,L2466,A
Pr,3026.14,0,,3,nist,L2466,A
Pr,3030.26,100,,3,nist,L2466,A
Pr,3034.19,100,,3,nist,L2466,A
Pr,3035.13,0,,3,nist,L2466,A
Pr,3040.90,0,,3,nist,L2466,A
Pr,3041.82,0,,3,nist,L2466,A
Pr,3042.67,0,,3,nist,L2466,A
Pr,3043.24,100,,3,nist,L2466,A
Pr,3046.70,100,,3,nist,L2466,A
Pr,3047.87,0,,3,nist,L2466,A
Pr,3051.19,120,,3,nist,L2466,A
Pr,3056.19,0,,3,nist,L2466,A
Pr,3059.79,150,,3,nist,L2466,A
Pr,3067.60,150,,3,nist,L2466,A
Pr,3079.57,0,,3,nist,L2466,A
Pr,3081.09,150,,3,nist,L2466,A
Pr,3249.33,0,,3,nist,L2466,A
Pr,3281.87,0,,3,nist,L2466,A
Pr,3293.53,0,,3,nist,L2466,A
Pr,3297.05,0,,3,nist,L2466,A
Pr,3307.09,100,,3,nist,L2466,A
Pr,3334.22,0,,3,nist,L2466,A
Pr,3341.54,0,,3,nist,L2466,A
Pr,3342.39,500,,3,nist,L2466,A
Pr,3342.64,0,,3,nist,L2466,A
Pr,3346.34,0,,3,nist,L2466,A
Pr,3346.40,0,,3,nist,L2466,A
Pr,3352.03,0,,3,nist,L2466,A
Pr,3354.83,0,,3,nist,L2466,A
Pr,3355.87,250,,3,nist,L2466,A
Pr,3358.52,500,,3,nist,L2466,A
Pr,3360.38,500,,3,nist,L2466,A
Pr,3365.49,100,,3,nist,L2466,A
Pr,3365.85,0,,3,nist,L2466,A
Pr,3366.77,0,,3,nist,L2466,A
Pr,3368.32,200,,3,nist,L2466,A
Pr,3368.55,500,,3,nist,L2466,A
Pr,3372.89,100,,3,nist,L2466,A
Pr,3378.11,100,,3,nist,L2466,A
Pr,3380.10,0,,3,nist,L2466,A
Pr,3381.18,150,,3,nist,L2466,A
Pr,3382.23,150,,3,nist,L2466,A
Pr,3382.81,300,,3,nist,L2466,A
Pr,3392.05,100,,3,nist,L2466,A
Pr,3395.19,1000,,3,nist,L2466,A
Pr,3397.04,600,,3,nist,L2466,A
Pr,3397.59,300,,3,nist,L2466,A
Pr,3398.44,300,,3,nist,L2466,A
Pr,3403.95,0,,3,nist,L2466,A
Pr,3414.19,500,,3,nist,L2466,A
Pr,3416.13,300,,3,nist,L2466,A
Pr,3421.05,150,,3,nist,L2466,A
Pr,3423.20,300,,3,nist,L2466,A
Pr,3427.25,0,,3,nist,L2466,A
Pr,3428.00,500,,3,nist,L2466,A
Pr,3437.35,300,,3,nist,L2466,A
Pr,3441.61,150,,3,nist,L2466,A
Pr,3446.28,0,,3,nist,L2466,A
Pr,3455.04,0,,3,nist,L2466,A
Pr,3654.62,180,,3,nist,L2466,A
Pr,3818.33,0,,3,nist,L2466,A
Pr,3862.89,0,,3,nist,L2466,A
Pr,3981.64,150,,3,nist,L2466,A
Pr,4001.33,200,,3,nist,L2466,A
Pr,4019.50,0,,3,nist,L2466,A
Pr,4030.74,180,,3,nist,L2466,A
Pr,4143.63,0,,3,nist,L2466,A
Pr,4145.65,120,,3,nist,L2466,A
Pr,4149.02,0,,3,nist,L2466,A
Pr,4173.33,0,,3,nist,L2466,A
