element,wavelength,intensity,acc,state,source,reference,unit
Pt,1007.145,0,,4,nist,L19453,A
Pt,1030.586,163,,4,nist,L19453,A
Pt,1042.396,152,,4,nist,L19453,A
Pt,1047.654,127,,4,nist,L19453,A
Pt,1050.240,145,,4,nist,L19453,A
Pt,1051.588,261,,4,nist,L19453,A
Pt,1055.533,0,,4,nist,L19453,A
Pt,1063.674,124,,4,nist,L19453,A
Pt,1064.163,219,,4,nist,L19453,A
Pt,1068.491,0,,4,nist,L19453,A
Pt,1069.116,216,,4,nist,L19453,A
Pt,1069.673,770,,4,nist,L19453,A
Pt,1079.449,111,,4,nist,L19453,A
Pt,1080.918,0,,4,nist,L19453,A
Pt,1081.344,0,,4,nist,L19453,A
Pt,1082.470,166,,4,nist,L19453,A
Pt,1084.463,0,,4,nist,L19453,A
Pt,1085.613,237,,4,nist,L19453,A
Pt,1088.770,146,,4,nist,L19453,A
Pt,1088.770,146,,4,nist,L19453,A
Pt,1089.832,328,,4,nist,L19453,A
Pt,1093.136,134,,4,nist,L19453,A
Pt,1093.346,174,,4,nist,L19453,A
Pt,1093.984,0,,4,nist,L19453,A
Pt,1097.668,111,,4,nist,L19453,A
Pt,1099.580,340,,4,nist,L19453,A
Pt,1103.356,205,,4,nist,L19453,A
Pt,1104.707,0,,4,nist,L19453,A
Pt,1106.595,129,,4,nist,L19453,A
Pt,1107.145,0,,4,nist,L19453,A
Pt,1108.329,458,,4,nist,L19453,A
Pt,1113.454,0,,4,nist,L19453,A
Pt,1113.588,0,,4,nist,L19453,A
Pt,1113.661,105,,4,nist,L19453,A
Pt,1116.202,639,,4,nist,L19453,A
Pt,1116.399,131,,4,nist,L19453,A
Pt,1116.650,315,,4,nist,L19453,A
Pt,1116.872,190,,4,nist,L19453,A
Pt,1118.310,136,,4,nist,L19453,A
Pt,1118.903,121,,4,nist,L19453,A
Pt,1119.647,613,,4,nist,L19453,A
Pt,1120.735,0,,4,nist,L19453,A
Pt,1121.466,214,,4,nist,L19453,A
Pt,1122.222,0,,4,nist,L19453,A
Pt,1122.897,194,,4,nist,L19453,A
Pt,1123.391,108,,4,nist,L19453,A
Pt,1124.161,233,,4,nist,L19453,A
Pt,1124.232,164,,4,nist,L19453,A
Pt,1126.883,0,,4,nist,L19453,A
Pt,1128.499,0,,4,nist,L19453,A
Pt,1128.684,125,,4,nist,L19453,A
Pt,1129.031,0,,4,nist,L19453,A
Pt,1129.202,0,,4,nist,L19453,A
Pt,1129.383,0,,4,nist,L19453,A
Pt,1129.702,0,,4,nist,L19453,A
Pt,1129.984,809,,4,nist,L19453,A
Pt,1131.145,153,,4,nist,L19453,A
Pt,1132.262,420,,4,nist,L19453,A
Pt,1132.262,420,,4,nist,L19453,A
Pt,1132.306,269,,4,nist,L19453,A
Pt,1134.605,233,,4,nist,L19453,A
Pt,1136.048,0,,4,nist,L19453,A
Pt,1137.890,0,,4,nist,L19453,A
Pt,1138.143,235,,4,nist,L19453,A
Pt,1138.849,0,,4,nist,L19453,A
Pt,1139.140,345,,4,nist,L19453,A
Pt,1139.348,397,,4,nist,L19453,A
Pt,1139.705,141,,4,nist,L19453,A
Pt,1140.699,244,,4,nist,L19453,A
Pt,1141.211,917,,4,nist,L19453,A
Pt,1141.684,0,,4,nist,L19453,A
Pt,1142.137,180,,4,nist,L19453,A
Pt,1143.450,797,,4,nist,L19453,A
Pt,1145.194,0,,4,nist,L19453,A
Pt,1145.380,258,,4,nist,L19453,A
Pt,1145.563,0,,4,nist,L19453,A
Pt,1145.813,215,,4,nist,L19453,A
Pt,1145.986,431,,4,nist,L19453,A
Pt,1146.427,314,,4,nist,L19453,A
Pt,1147.761,239,,4,nist,L19453,A
Pt,1148.158,143,,4,nist,L19453,A
Pt,1149.730,0,,4,nist,L19453,A
Pt,1156.020,186,,4,nist,L19453,A
Pt,1156.855,0,,4,nist,L19453,A
Pt,1157.028,107,,4,nist,L19453,A
Pt,1157.847,187,,4,nist,L19453,A
Pt,1158.097,0,,4,nist,L19453,A
Pt,1158.233,171,,4,nist,L19453,A
Pt,1158.954,368,,4,nist,L19453,A
Pt,1158.983,298,,4,nist,L19453,A
Pt,1159.851,463,,4,nist,L19453,A
Pt,1159.851,463,,4,nist,L19453,A
Pt,1159.851,463,,4,nist,L19453,A
Pt,1161.550,0,,4,nist,L19453,A
Pt,1161.894,0,,4,nist,L19453,A
Pt,1162.422,0,,4,nist,L19453,A
Pt,1162.732,373,,4,nist,L19453,A
Pt,1162.822,102,,4,nist,L19453,A
Pt,1162.852,0,,4,nist,L19453,A
Pt,1164.543,0,,4,nist,L19453,A
Pt,1165.099,0,,4,nist,L19453,A
Pt,1165.287,339,,4,nist,L19453,A
Pt,1165.544,390,,4,nist,L19453,A
Pt,1166.445,180,,4,nist,L19453,A
Pt,1166.533,793,,4,nist,L19453,A
Pt,1166.734,1263,,4,nist,L19453,A
Pt,1166.784,2204,,4,nist,L19453,A
Pt,1167.281,144,,4,nist,L19453,A
Pt,1167.386,224,,4,nist,L19453,A
Pt,1168.204,120,,4,nist,L19453,A
Pt,1168.314,173,,4,nist,L19453,A
Pt,1168.377,277,,4,nist,L19453,A
Pt,1168.725,626,,4,nist,L19453,A
Pt,1169.053,124,,4,nist,L19453,A
Pt,1169.126,310,,4,nist,L19453,A
Pt,1169.268,131,,4,nist,L19453,A
Pt,1169.621,192,,4,nist,L19453,A
Pt,1169.701,140,,4,nist,L19453,A
Pt,1169.859,708,,4,nist,L19453,A
Pt,1170.211,0,,4,nist,L19453,A
Pt,1170.729,0,,4,nist,L19453,A
