element,wavelength,intensity,acc,state,source,reference,unit
Pt,1000.631,0,,5,nist,L19450,A
Pt,1000.851,0,,5,nist,L19450,A
Pt,1002.240,133,,5,nist,L19450,A
Pt,1002.321,0,,5,nist,L19450,A
Pt,1003.347,0,,5,nist,L19450,A
Pt,1003.811,0,,5,nist,L19450,A
Pt,1004.186,0,,5,nist,L19450,A
Pt,1004.613,0,,5,nist,L19450,A
Pt,1004.795,162,,5,nist,L19450,A
Pt,1005.583,0,,5,nist,L19450,A
Pt,1006.276,182,,5,nist,L19450,A
Pt,1006.554,0,,5,nist,L19450,A
Pt,1008.790,0,,5,nist,L19450,A
Pt,1009.133,158,,5,nist,L19450,A
Pt,1009.218,173,,5,nist,L19450,A
Pt,1010.233,586,,5,nist,L19450,A
Pt,1012.052,345,,5,nist,L19450,A
Pt,1012.306,219,,5,nist,L19450,A
Pt,1013.788,491,,5,nist,L19450,A
Pt,1013.985,415,,5,nist,L19450,A
Pt,1014.536,148,,5,nist,L19450,A
Pt,1016.168,143,,5,nist,L19450,A
Pt,1016.277,0,,5,nist,L19450,A
Pt,1017.114,131,,5,nist,L19450,A
Pt,1017.928,208,,5,nist,L19450,A
Pt,1018.071,601,,5,nist,L19450,A
Pt,1018.280,0,,5,nist,L19450,A
Pt,1018.581,100,,5,nist,L19450,A
Pt,1018.768,326,,5,nist,L19450,A
Pt,1019.044,184,,5,nist,L19450,A
Pt,1019.961,0,,5,nist,L19450,A
Pt,1020.520,493,,5,nist,L19450,A
Pt,1021.289,341,,5,nist,L19450,A
Pt,1021.998,323,,5,nist,L19450,A
Pt,1022.256,154,,5,nist,L19450,A
Pt,1022.806,173,,5,nist,L19450,A
Pt,1023.107,0,,5,nist,L19450,A
Pt,1024.232,110,,5,nist,L19450,A
Pt,1024.334,171,,5,nist,L19450,A
Pt,1024.664,396,,5,nist,L19450,A
Pt,1024.664,396,,5,nist,L19450,A
Pt,1024.888,126,,5,nist,L19450,A
Pt,1025.044,200,,5,nist,L19450,A
Pt,1025.363,294,,5,nist,L19450,A
Pt,1025.953,228,,5,nist,L19450,A
Pt,1026.179,161,,5,nist,L19450,A
Pt,1026.999,0,,5,nist,L19450,A
Pt,1027.065,331,,5,nist,L19450,A
Pt,1027.485,150,,5,nist,L19450,A
