element,wavelength,intensity,acc,state,source,reference,unit
Pu,10049.50,3000,,1,nist,u1,A
Pu,11117.86,3000,,1,nist,u1,A
Pu,12147.78,3000,,1,nist,u1,A
Pu,12234.57,3000,,1,nist,u1,A
Pu,15381.51,3000,,1,nist,u1,A
Pu,16902.00,3000,,1,nist,u1,A
Pu,2782.22,10000,,2,nist,u1,A
Pu,2785.30,10000,,2,nist,u1,A
Pu,2806.94,10000,,2,nist,u1,A
Pu,2816.60,10000,,2,nist,u1,A
Pu,2898.82,10000,,2,nist,u1,A
Pu,2899.79,10000,,2,nist,u1,A
Pu,2905.10,10000,,2,nist,u1,A
Pu,2905.79,10000,,2,nist,u1,A
Pu,2911.25,10000,,2,nist,u1,A
Pu,2918.85,10000,,2,nist,u1,A
Pu,2919.65,10000,,2,nist,u1,A
Pu,2926.94,10000,,2,nist,u1,A
Pu,2929.11,10000,,2,nist,u1,A
Pu,2930.57,10000,,2,nist,u1,A
Pu,2931.84,10000,,2,nist,u1,A
Pu,2933.18,10000,,2,nist,u1,A
Pu,2934.16,10000,,2,nist,u1,A
Pu,2939.40,10000,,2,nist,u1,A
Pu,2939.81,10000,,2,nist,u1,A
Pu,2942.25,10000,,2,nist,u1,A
Pu,2946.12,10000,,2,nist,u1,A
Pu,2946.86,10000,,2,nist,u1,A
Pu,2950.92,10000,,2,nist,u1,A
Pu,2955.32,10000,,2,nist,u1,A
Pu,2964.34,10000,,2,nist,u1,A
Pu,2967.71,10000,,2,nist,u1,A
Pu,2968.41,10000,,2,nist,u1,A
Pu,2973.37,10000,,2,nist,u1,A
Pu,2978.68,10000,,2,nist,u1,A
Pu,2979.24,10000,,2,nist,u1,A
Pu,2981.10,10000,,2,nist,u1,A
Pu,2982.10,10000,,2,nist,u1,A
Pu,2987.82,10000,,2,nist,u1,A
Pu,2989.08,10000,,2,nist,u1,A
Pu,2992.18,10000,,2,nist,u1,A
Pu,2997.27,10000,,2,nist,u1,A
Pu,3001.18,10000,,2,nist,u1,A
Pu,3010.45,10000,,2,nist,u1,A
Pu,3029.73,10000,,2,nist,u1,A
Pu,3043.50,10000,,2,nist,u1,A
Pu,3044.01,10000,,2,nist,u1,A
