element,wavelength,intensity,acc,state,source,reference,unit
Pu,10049.50,3000,,1,nist,u1,A
Pu,11117.86,3000,,1,nist,u1,A
Pu,12147.78,3000,,1,nist,u1,A
Pu,12234.57,3000,,1,nist,u1,A
Pu,15381.51,3000,,1,nist,u1,A
Pu,16902.00,3000,,1,nist,u1,A
Pu,3216.01,10000,,1,nist,u1,A
Pu,3245.10,10000,,1,nist,u1,A
Pu,3253.02,10000,,1,nist,u1,A
Pu,3276.18,10000,,1,nist,u1,A
Pu,3293.51,10000,,1,nist,u1,A
Pu,3294.56,10000,,1,nist,u1,A
Pu,3297.86,10000,,1,nist,u1,A
Pu,3298.82,10000,,1,nist,u1,A
Pu,3302.71,10000,,1,nist,u1,A
Pu,3307.54,10000,,1,nist,u1,A
Pu,3307.61,10000,,1,nist,u1,A
Pu,3309.70,10000,,1,nist,u1,A
Pu,3321.57,10000,,1,nist,u1,A
Pu,3321.80,10000,,1,nist,u1,A
Pu,3328.15,10000,,1,nist,u1,A
Pu,3333.30,10000,,1,nist,u1,A
Pu,3339.90,10000,,1,nist,u1,A
Pu,3350.59,10000,,1,nist,u1,A
Pu,3366.17,10000,,1,nist,u1,A
Pu,3369.83,10000,,1,nist,u1,A
Pu,3372.16,10000,,1,nist,u1,A
Pu,3376.77,10000,,1,nist,u1,A
Pu,3380.48,10000,,1,nist,u1,A
Pu,3382.79,10000,,1,nist,u1,A
Pu,3383.67,10000,,1,nist,u1,A
Pu,3394.64,10000,,1,nist,u1,A
Pu,3395.29,10000,,1,nist,u1,A
Pu,3484.20,10000,,1,nist,u1,A
Pu,3721.65,10000,,1,nist,u1,A
Pu,3727.04,10000,,1,nist,u1,A
Pu,3745.84,10000,,1,nist,u1,A
Pu,3754.70,10000,,1,nist,u1,A
Pu,3757.01,10000,,1,nist,u1,A
Pu,3758.89,10000,,1,nist,u1,A
Pu,3759.41,10000,,1,nist,u1,A
Pu,3775.45,10000,,1,nist,u1,A
Pu,3777.78,10000,,1,nist,u1,A
Pu,3793.30,10000,,1,nist,u1,A
Pu,3800.45,10000,,1,nist,u1,A
Pu,3807.01,10000,,1,nist,u1,A
Pu,3812.48,10000,,1,nist,u1,A
