element,wavelength,intensity,acc,state,source,reference,unit
Rb,100.017,0,,12,nist,L5979,A
Rb,100.170,0,,13,nist,L9211,A
Rb,100.170,0,,13,nist,L9211,A
Rb,100.248,0,,13,nist,L9211,A
Rb,100.282,0,,13,nist,L9211,A
Rb,100.474,0,,13,nist,L9211,A
Rb,100.507,500,,9,nist,L6172,A
Rb,100.586,170,,13,nist,L9211,A
Rb,100.586,170,,13,nist,L9211,A
Rb,100.627,0,,12,nist,L5979,A
Rb,100.665,1000,,12,nist,L5979,A
Rb,100.708,0,,9,nist,L6172,A
Rb,100.761,240,,13,nist,L9211,A
Rb,100.903,0,,13,nist,L9211,A
Rb,10078.044,0,,1,nist,L7459,A
Rb,10078.470,0,,1,nist,L7459,A
Rb,101.059,0,,13,nist,L9211,A
Rb,101.099,400,,12,nist,L5979,A
Rb,101.202,0,,13,nist,L9211,A
Rb,101.514,0,,9,nist,L6172,A
Rb,101.533,0,,9,nist,L6172,A
Rb,101.704,100,,9,nist,L6172,A
Rb,101.818,140,,13,nist,L9211,A
Rb,101.975,0,,9,nist,L6172,A
Rb,102.008,0,,9,nist,L6172,A
Rb,102.016,0,,9,nist,L6172,A
Rb,102.036,110,,13,nist,L9211,A
Rb,102.175,200,,9,nist,L6172,A
Rb,102.219,0,,13,nist,L9211,A
Rb,102.322,0,,13,nist,L9211,A
Rb,102.358,0,,9,nist,L6172,A
Rb,102.467,0,,13,nist,L9211,A
Rb,102.669,0,,12,nist,L5979,A
Rb,102.724,260,,13,nist,L9211,A
Rb,102.978,150,,13,nist,L9211,A
Rb,1024.494,0,,5,nist,L6153,A
Rb,103.019,300,,12,nist,L5979,A
Rb,103.573,0,,9,nist,L6172,A
Rb,103.589,0,,9,nist,L6172,A
Rb,103.679,0,,13,nist,L9211,A
Rb,103.688,0,,12,nist,L5979,A
Rb,103.745,0,,9,nist,L6172,A
Rb,103.746,250,,13,nist,L9211,A
Rb,103.770,0,,9,nist,L6172,A
Rb,1038.514,0,,4,nist,L6470,A
Rb,104.202,0,,13,nist,L9211,A
Rb,104.259,0,,13,nist,L9211,A
Rb,104.360,0,,13,nist,L9211,A
Rb,104.471,400,,9,nist,L6172,A
Rb,104.526,100,,12,nist,L5979,A
Rb,104.552,600,,9,nist,L6172,A
Rb,104.808,130,,13,nist,L9211,A
Rb,105.081,300,,9,nist,L6172,A
Rb,105.246,290,,13,nist,L9211,A
Rb,105.890,0,,9,nist,L6172,A
Rb,1052.802,0,,4,nist,L6470,A
Rb,106.592,0,,13,nist,L9211,A
Rb,106.806,100,,9,nist,L6172,A
Rb,107.188,0,,13,nist,L9211,A
Rb,107.756,0,,8,nist,L6172,A
Rb,108.480,190,,8,nist,L6172,A
Rb,1108.464,0,,4,nist,L6470,A
Rb,117.106,250,,9,nist,L6264,A
Rb,117.436,100,,9,nist,L6264,A
Rb,1210.327,0,,4,nist,L6470,A
Rb,1220.860,0,,4,nist,L6470,A
Rb,1226.719,0,,4,nist,L6470,A
Rb,1233.446,0,,4,nist,L6470,A
Rb,1234.509,0,,4,nist,L6470,A
Rb,1239.443,0,,4,nist,L6470,A
