element,wavelength,intensity,acc,state,source,reference,unit
Rb,10078.044,0,,1,nist,L7459,A
Rb,10078.470,0,,1,nist,L7459,A
Rb,13238.790,100,,1,nist,L4740,A
Rb,13446.486,0,,1,nist,L4740,A
Rb,13447.246,0,,1,nist,L4740,A
Rb,13668.746,0,,1,nist,L4740,A
Rb,14756.442,1000,,1,nist,L4740,A
Rb,15292.608,800,,1,nist,L4740,A
Rb,15293.658,150,,1,nist,L4740,A
Rb,22535.800,0,,1,nist,L4740,A
Rb,22938.730,0,,1,nist,L4740,A
Rb,27321.760,0,,1,nist,L4740,A
Rb,27912.980,0,,1,nist,L4740,A
Rb,2969.912,0,,1,nist,L3287,A
Rb,2969.912,0,,1,nist,L3287,A
Rb,2969.952,0,,1,nist,L3287,A
Rb,2969.952,0,,1,nist,L3287,A
Rb,2970.005,0,,1,nist,L3287,A
Rb,2970.005,0,,1,nist,L3287,A
Rb,2970.062,0,,1,nist,L3287,A
Rb,2970.062,0,,1,nist,L3287,A
Rb,2970.112,0,,1,nist,L3287,A
Rb,2970.112,0,,1,nist,L3287,A
Rb,2970.172,0,,1,nist,L3287,A
Rb,2970.172,0,,1,nist,L3287,A
Rb,2970.226,0,,1,nist,L3287,A
Rb,2970.226,0,,1,nist,L3287,A
Rb,2970.289,0,,1,nist,L3287,A
Rb,2970.289,0,,1,nist,L3287,A
Rb,2970.354,0,,1,nist,L3287,A
Rb,2970.354,0,,1,nist,L3287,A
Rb,2970.421,0,,1,nist,L3287,A
Rb,2970.421,0,,1,nist,L3287,A
Rb,2970.492,0,,1,nist,L3287,A
Rb,2970.492,0,,1,nist,L3287,A
Rb,2970.567,0,,1,nist,L3287,A
Rb,2970.567,0,,1,nist,L3287,A
Rb,2970.586,0,,1,nist,L3287,A
Rb,2970.586,0,,1,nist,L3287,A
Rb,2970.728,0,,1,nist,L3287,A
Rb,2970.728,0,,1,nist,L3287,A
Rb,2970.815,0,,1,nist,L3287,A
Rb,2970.815,0,,1,nist,L3287,A
Rb,2970.905,0,,1,nist,L3287,A
Rb,2970.905,0,,1,nist,L3287,A
Rb,2971.003,0,,1,nist,L3287,A
Rb,2971.003,0,,1,nist,L3287,A
Rb,2971.104,0,,1,nist,L3287,A
Rb,2971.104,0,,1,nist,L3287,A
Rb,2971.206,0,,1,nist,L3287,A
Rb,2971.206,0,,1,nist,L3287,A
Rb,2971.319,0,,1,nist,L3287,A
Rb,2971.319,0,,1,nist,L3287,A
Rb,2971.435,0,,1,nist,L3287,A
Rb,2971.435,0,,1,nist,L3287,A
Rb,2971.557,0,,1,nist,L3287,A
Rb,2971.557,0,,1,nist,L3287,A
Rb,2971.686,0,,1,nist,L3287,A
Rb,2971.686,0,,1,nist,L3287,A
Rb,2971.829,0,,1,nist,L3287,A
Rb,2971.829,0,,1,nist,L3287,A
Rb,2971.972,0,,1,nist,L3287,A
Rb,2971.972,0,,1,nist,L3287,A
Rb,2972.131,0,,1,nist,L3287,A
Rb,2972.131,0,,1,nist,L3287,A
Rb,2972.299,0,,1,nist,L3287,A
Rb,2972.299,0,,1,nist,L3287,A
Rb,2972.477,0,,1,nist,L3287,A
Rb,2972.477,0,,1,nist,L3287,A
Rb,2972.664,0,,1,nist,L3287,A
Rb,2972.664,0,,1,nist,L3287,A
Rb,2972.864,0,,1,nist,L3287,A
Rb,2972.864,0,,1,nist,L3287,A
Rb,2973.078,0,,1,nist,L3287,A
Rb,2973.078,0,,1,nist,L3287,A
Rb,2973.309,0,,1,nist,L3287,A
Rb,2973.309,0,,1,nist,L3287,A
Rb,2973.556,0,,1,nist,L3287,A
Rb,2973.556,0,,1,nist,L3287,A
Rb,2973.819,0,,1,nist,L3287,A
Rb,2973.819,0,,1,nist,L3287,A
Rb,2974.104,0,,1,nist,L3287,A
Rb,2974.104,0,,1,nist,L3287,A
Rb,2974.409,0,,1,nist,L3287,A
Rb,2974.409,0,,1,nist,L3287,A
Rb,2974.742,0,,1,nist,L3287,A
Rb,2974.742,0,,1,nist,L3287,A
Rb,2975.100,0,,1,nist,L3287,A
Rb,2975.100,0,,1,nist,L3287,A
Rb,2975.488,0,,1,nist,L3287,A
Rb,2975.488,0,,1,nist,L3287,A
Rb,2975.914,0,,1,nist,L3287,A
Rb,2975.914,0,,1,nist,L3287,A
Rb,2976.374,0,,1,nist,L3287,A
Rb,2976.374,0,,1,nist,L3287,A
Rb,2976.875,0,,1,nist,L3287,A
Rb,2976.875,0,,1,nist,L3287,A
Rb,2977.424,0,,1,nist,L3287,A
Rb,2977.424,0,,1,nist,L3287,A
Rb,2978.025,0,,1,nist,L3287,A
Rb,2978.025,0,,1,nist,L3287,A
Rb,2978.688,0,,1,nist,L3287,A
Rb,2978.688,0,,1,nist,L3287,A
Rb,2979.423,0,,1,nist,L3287,A
Rb,2979.423,0,,1,nist,L3287,A
Rb,2980.231,0,,1,nist,L3287,A
Rb,2980.231,0,,1,nist,L3287,A
Rb,2981.139,0,,1,nist,L3287,A
Rb,2981.139,0,,1,nist,L3287,A
Rb,2982.148,0,,1,nist,L3287,A
Rb,2982.148,0,,1,nist,L3287,A
Rb,2983.276,0,,1,nist,L3287,A
Rb,2983.276,0,,1,nist,L3287,A
Rb,2984.550,0,,1,nist,L3287,A
Rb,2984.550,0,,1,nist,L3287,A
Rb,2985.988,0,,1,nist,L3287,A
Rb,2986.011,0,,1,nist,L3287,A
Rb,2987.625,0,,1,nist,L3287,A
Rb,2987.653,0,,1,nist,L3287,A
Rb,2989.506,0,,1,nist,L3287,A
Rb,2989.537,0,,1,nist,L3287,A
Rb,2991.672,0,,1,nist,L3287,A
Rb,2991.707,0,,1,nist,L3287,A
Rb,2994.186,0,,1,nist,L3287,A
Rb,2994.225,0,,1,nist,L3287,A
Rb,2997.130,0,,1,nist,L3287,A
Rb,2997.173,0,,1,nist,L3287,A
Rb,3000.651,0,D+,1,nist,L3287,A
Rb,3004.738,0,B,1,nist,L3287,A
Rb,3004.799,0,C+,1,nist,L3287,A
Rb,3009.724,0,C+,1,nist,L3287,A
Rb,3009.800,0,C+,1,nist,L3287,A
Rb,3015.816,0,B,1,nist,L3287,A
Rb,3015.907,0,C+,1,nist,L3287,A
Rb,3023.358,0,B,1,nist,L3287,A
Rb,3023.471,0,B,1,nist,L3287,A
Rb,3032.862,0,B+,1,nist,L3287,A
Rb,3033.003,0,B+,1,nist,L3287,A
Rb,3045.068,0,B,1,nist,L3287,A
Rb,3045.254,0,B+,1,nist,L3287,A
