element,wavelength,intensity,acc,state,source,reference,unit
Re,2004.18,25000,,1,nist,L3475,A
Re,2018.52,16000,,1,nist,L3475,A
Re,2049.74,27000,,1,nist,L3475,A
Re,2075.36,4200,,1,nist,L3475,A
Re,2084.58,3700,,1,nist,L3475,A
Re,2086.25,10000,,1,nist,L3475,A
Re,2097.79,9800,,1,nist,L3475,A
Re,2109.89,2700,,1,nist,L3475,A
Re,2143.65,0,,1,nist,L3475,A
Re,2157.35,3700,,1,nist,L3475,A
Re,2168.62,4900,,1,nist,L3475,A
Re,2176.89,3400,,1,nist,L3475,A
Re,2215.27,2200,,1,nist,L3475,A
Re,2227.11,1700,,1,nist,L3475,A
Re,2236.13,920,,1,nist,L3475,A
Re,2256.43,440,,1,nist,L3475,A
Re,2256.89,860,,1,nist,L3475,A
Re,2265.09,2000,,1,nist,L3475,A
Re,2275.32,2100,,1,nist,L3475,A
Re,2282.32,1600,,1,nist,L3475,A
Re,2288.22,2900,,1,nist,L3475,A
Re,2295.20,2700,,1,nist,L3475,A
Re,2300.48,390,,1,nist,L3475,A
Re,2303.70,610,,1,nist,L3475,A
Re,2307.25,680,,1,nist,L3475,A
Re,2313.68,230,,1,nist,L3475,A
Re,2314.05,220,,1,nist,L3475,A
Re,2319.90,220,,1,nist,L3475,A
Re,2320.87,370,,1,nist,L3475,A
Re,2323.20,800,,1,nist,L3475,A
Re,2329.37,300,,1,nist,L3475,A
Re,2335.05,270,,1,nist,L3475,A
Re,2336.45,270,,1,nist,L3475,A
Re,2336.82,220,,1,nist,L3475,A
Re,2338.67,270,,1,nist,L3475,A
Re,2345.50,860,,1,nist,L3475,A
Re,2350.11,230,,1,nist,L3475,A
Re,2351.18,220,,1,nist,L3475,A
Re,2352.79,680,,1,nist,L3475,A
Re,2354.67,210,,1,nist,L3475,A
Re,2357.22,250,,1,nist,L3475,A
Re,2366.04,200,,1,nist,L3475,A
Re,2366.62,1200,,1,nist,L3475,A
Re,2368.40,570,,1,nist,L3475,A
Re,2369.99,520,,1,nist,L3475,A
Re,2372.24,210,,1,nist,L3475,A
Re,2375.80,320,,1,nist,L3475,A
Re,2380.50,370,,1,nist,L3475,A
Re,2389.30,340,,1,nist,L3475,A
Re,2394.38,230,,1,nist,L3475,A
Re,2395.10,320,,1,nist,L3475,A
Re,2397.52,320,,1,nist,L3475,A
Re,2398.04,200,,1,nist,L3475,A
Re,2401.45,210,,1,nist,L3475,A
Re,2401.62,0,,1,nist,L3475,A
Re,2402.41,210,,1,nist,L3475,A
Re,2405.79,1500,,1,nist,L3475,A
Re,2406.33,740,,1,nist,L3475,A
Re,2407.43,320,,1,nist,L3475,A
Re,2411.10,270,,1,nist,L3475,A
Re,2420.55,1200,,1,nist,L3475,A
Re,2422.47,300,,1,nist,L3475,A
Re,2422.62,300,,1,nist,L3475,A
Re,2429.32,2500,,1,nist,L3475,A
Re,2432.28,490,,1,nist,L3475,A
Re,2432.92,420,,1,nist,L3475,A
Re,2442.21,340,,1,nist,L3475,A
Re,2443.25,230,,1,nist,L3475,A
Re,2445.68,250,,1,nist,L3475,A
