element,wavelength,intensity,acc,state,source,reference,unit
Re,2093.08,4700,,2,nist,L3475,A
Re,2139.71,3400,,2,nist,L3475,A
Re,2143.42,1600,,2,nist,L3475,A
Re,2214.95,4200,,2,nist,L3475,A
Re,2275.95,5200,,2,nist,L3475,A
Re,2298.80,390,,2,nist,L3475,A
Re,2369.25,180,,2,nist,L3475,A
Re,2371.48,220,,2,nist,L3475,A
Re,2374.20,150,,2,nist,L3475,A
Re,2379.26,0,,2,nist,L3475,A
Re,2387.63,180,,2,nist,L3475,A
Re,2403.77,0,,2,nist,L3475,A
Re,2418.93,0,,2,nist,L3475,A
Re,2424.58,0,,2,nist,L3475,A
Re,2449.77,0,,2,nist,L3475,A
Re,2450.26,0,,2,nist,L3475,A
Re,2456.57,200,,2,nist,L3475,A
Re,2462.58,800,,2,nist,L3475,A
Re,2468.32,200,,2,nist,L3475,A
Re,2468.60,120,,2,nist,L3475,A
Re,2470.11,150,,2,nist,L3475,A
Re,2471.36,120,,2,nist,L3475,A
Re,2471.80,0,,2,nist,L3475,A
Re,2474.47,150,,2,nist,L3475,A
Re,2475.92,160,,2,nist,L3475,A
Re,2478.18,0,,2,nist,L3475,A
Re,2490.91,0,,2,nist,L3475,A
Re,2503.10,570,,2,nist,L3475,A
Re,2505.35,230,,2,nist,L3475,A
Re,2534.86,150,,2,nist,L3475,A
Re,2550.86,160,,2,nist,L3475,A
Re,2554.36,150,,2,nist,L3475,A
Re,2555.40,370,,2,nist,L3475,A
Re,2569.41,540,,2,nist,L3475,A
Re,2572.58,370,,2,nist,L3475,A
Re,2609.28,660,,2,nist,L3475,A
Re,2617.50,160,,2,nist,L3475,A
Re,2636.62,310,,2,nist,L3475,A
Re,2637.80,190,,2,nist,L3475,A
Re,2641.81,0,,2,nist,L3475,A
Re,2649.25,0,,2,nist,L3475,A
Re,2732.37,200,,2,nist,L3475,A
Re,2733.85,610,,2,nist,L3475,A
Re,2754.45,110,,2,nist,L3475,A
Re,2804.11,120,,2,nist,L3475,A
Re,2820.61,0,,2,nist,L3475,A
Re,2888.91,130,,2,nist,L3475,A
Re,2917.58,0,,2,nist,L3475,A
Re,2958.77,130,,2,nist,L3475,A
Re,2969.85,0,,2,nist,L3475,A
Re,3103.96,140,,2,nist,L3475,A
Re,3304.16,320,,2,nist,L3475,A
Re,3380.03,320,,2,nist,L3475,A
Re,3581.17,810,,2,nist,L3475,A
Re,3743.32,130,,2,nist,L3475,A
Re,4359.20,0,,2,nist,L3475,A
