element,wavelength,intensity,acc,state,source,reference,unit
Rh,1009.60,500,,3,nist,L3977,A
Rh,1012.22,200,,3,nist,L3977,A
Rh,1015.17,200,,3,nist,L3977,A
Rh,1050.00,100,,3,nist,L3977,A
Rh,1058.97,100,,3,nist,L3977,A
Rh,1073.87,200,,3,nist,L3977,A
Rh,1100.58,100,,3,nist,L3977,A
Rh,1113.79,100,,3,nist,L3977,A
Rh,1768.43,100,,3,nist,L3977,A
Rh,1784.24,150,,3,nist,L3977,A
Rh,1784.94,200,,3,nist,L3977,A
Rh,1796.50,150,,3,nist,L3977,A
Rh,1816.03,200,,3,nist,L3977,A
Rh,1832.05,1000,,3,nist,L3977,A
Rh,1859.85,500,,3,nist,L3977,A
Rh,1874.70,100,,3,nist,L3977,A
Rh,1880.66,800,,3,nist,L3977,A
Rh,1884.91,500,,3,nist,L3977,A
Rh,1887.36,500,,3,nist,L3977,A
Rh,1888.62,700,,3,nist,L3977,A
Rh,1901.32,800,,3,nist,L3977,A
Rh,1910.16,500,,3,nist,L3977,A
Rh,1919.37,600,,3,nist,L3977,A
Rh,1927.07,500,,3,nist,L3977,A
Rh,1931.79,700,,3,nist,L3977,A
Rh,1954.25,500,,3,nist,L3977,A
Rh,1965.16,400,,3,nist,L3977,A
Rh,1994.26,500,,3,nist,L3977,A
Rh,2005.79,400,,3,nist,L3977,A
Rh,2014.36,800,,3,nist,L3977,A
Rh,2018.12,500,,3,nist,L3977,A
Rh,2029.18,500,,3,nist,L3977,A
Rh,2037.37,800,,3,nist,L3977,A
Rh,2038.26,600,,3,nist,L3977,A
Rh,2040.84,1000,,3,nist,L3977,A
Rh,2049.33,3000,,3,nist,L3977,A
Rh,2064.77,2000,,3,nist,L3977,A
Rh,2077.50,800,,3,nist,L3977,A
Rh,2119.20,1000,,3,nist,L3977,A
Rh,2119.30,1000,,3,nist,L3977,A
Rh,2140.11,1000,,3,nist,L3977,A
Rh,2152.91,1000,,3,nist,L3977,A
Rh,2158.85,3000,,3,nist,L3977,A
Rh,2163.87,3000,,3,nist,L3977,A
Rh,2168.01,3000,,3,nist,L3977,A
Rh,2207.69,100,,3,nist,L3977,A
Rh,2231.35,100,,3,nist,L3977,A
Rh,2251.54,0,,3,nist,L3977,A
Rh,2375.56,0,,3,nist,L3977,A
Rh,2471.40,0,,3,nist,L3977,A
Rh,3007.31,0,,3,nist,L3977,A
Rh,3053.33,0,,3,nist,L3977,A
Rh,3311.64,0,,3,nist,L3977,A
Rh,3854.07,0,,3,nist,L3977,A
Rh,746.28,0,,3,nist,L3977,A
Rh,759.54,0,,3,nist,L3977,A
Rh,813.44,0,,3,nist,L3977,A
Rh,826.01,0,,3,nist,L3977,A
Rh,843.63,0,,3,nist,L3977,A
Rh,849.08,0,,3,nist,L3977,A
Rh,852.70,0,,3,nist,L3977,A
Rh,854.77,0,,3,nist,L3977,A
Rh,859.89,0,,3,nist,L3977,A
Rh,861.34,0,,3,nist,L3977,A
Rh,863.78,0,,3,nist,L3977,A
Rh,865.22,0,,3,nist,L3977,A
Rh,870.40,0,,3,nist,L3977,A
Rh,882.51,0,,3,nist,L3977,A
Rh,925.75,100,,3,nist,L3977,A
Rh,937.28,150,,3,nist,L3977,A
Rh,976.12,100,,3,nist,L3977,A
Rh,991.62,500,,3,nist,L3977,A
Rh,992.48,400,,3,nist,L3977,A
