element,wavelength,intensity,acc,state,source,reference,unit
Rn,10108.90,0,,1,nist,L7432,A
Rn,1451.56,0,,1,nist,L16181,A
Rn,1786.07,0,,1,nist,L16181,A
Rn,3515.61,0,,1,nist,L7432,A
Rn,3740.95,0,,1,nist,L7432,A
Rn,3754.72,0,,1,nist,L7432,A
Rn,3918.31,0,,1,nist,L7432,A
Rn,3942.84,0,,1,nist,L7432,A
Rn,3953.48,0,,1,nist,L7432,A
Rn,4227.25,0,,1,nist,L7432,A
Rn,4308.97,0,,1,nist,L7432,A
Rn,4337.00,0,,1,nist,L7432,A
Rn,4350.82,100,,1,nist,L7432,A
Rn,4436.30,0,,1,nist,L7432,A
Rn,4460.50,0,,1,nist,L7432,A
Rn,4509.74,0,,1,nist,L7432,A
Rn,4579.00,0,,1,nist,L7432,A
Rn,4610.67,0,,1,nist,L7432,A
Rn,4723.08,0,,1,nist,L7432,A
Rn,5724.17,0,,1,nist,L7432,A
Rn,6063.60,0,,1,nist,L7432,A
Rn,6202.47,0,,1,nist,L7432,A
Rn,6382.21,0,,1,nist,L7432,A
Rn,6559.30,0,,1,nist,L7432,A
Rn,6608.25,0,,1,nist,L7432,A
Rn,6629.06,0,,1,nist,L7432,A
Rn,6671.44,0,,1,nist,L7432,A
Rn,6706.13,0,,1,nist,L7432,A
Rn,6753.67,0,,1,nist,L7432,A
Rn,6808.67,0,,1,nist,L7432,A
Rn,6838.84,0,,1,nist,L7432,A
Rn,6839.46,0,,1,nist,L7432,A
Rn,6893.06,0,,1,nist,L7432,A
Rn,7000.83,0,,1,nist,L7432,A
Rn,7057.37,200,,1,nist,L7432,A
Rn,7270.11,100,,1,nist,L7432,A
Rn,7293.01,0,,1,nist,L7432,A
Rn,7323.00,0,,1,nist,L7432,A
Rn,7421.08,0,,1,nist,L7432,A
Rn,7452.05,300,,1,nist,L7432,A
Rn,7472.95,0,,1,nist,L7432,A
Rn,7485.19,0,,1,nist,L7432,A
Rn,7516.20,0,,1,nist,L7432,A
Rn,7518.99,0,,1,nist,L7432,A
Rn,7526.00,0,,1,nist,L7432,A
Rn,7599.64,0,,1,nist,L7432,A
Rn,7603.37,0,,1,nist,L7432,A
Rn,7659.59,0,,1,nist,L7432,A
Rn,7740.56,0,,1,nist,L7432,A
Rn,7748.77,0,,1,nist,L7432,A
Rn,7811.97,100,,1,nist,L7432,A
Rn,8051.21,0,,1,nist,L7432,A
Rn,8101.74,100,,1,nist,L7432,A
Rn,8176.09,0,,1,nist,L7432,A
Rn,8273.23,100,,1,nist,L7432,A
Rn,8316.80,0,,1,nist,L7432,A
Rn,8352.03,0,,1,nist,L7432,A
Rn,8383.35,0,,1,nist,L7432,A
Rn,8489.81,0,,1,nist,L7432,A
Rn,8497.22,0,,1,nist,L7432,A
Rn,8523.29,0,,1,nist,L7432,A
Rn,8602.43,100,,1,nist,L7432,A
Rn,8642.13,0,,1,nist,L7432,A
Rn,8678.21,0,,1,nist,L7432,A
Rn,8810.17,0,,1,nist,L7432,A
Rn,9329.58,0,,1,nist,L7432,A
Rn,9951.30,0,,1,nist,L7432,A
