element,wavelength,intensity,acc,state,source,reference,unit
S,1000.485,0,D+,2,nist,L5883,A
S,1000.804,0,D,2,nist,L5883,A
S,1006.093,0,,2,nist,L5883,A
S,1006.261,0,,2,nist,L5883,A
S,1014.119,0,D+,2,nist,L5883,A
S,1014.449,0,C,2,nist,L5883,A
S,1019.537,0,C,2,nist,L5883,A
S,1021.539,0,,2,nist,L5883,A
S,1030.890,0,D+,2,nist,L5883,A
S,1031.375,0,D+,2,nist,L5883,A
S,1049.773,0,D,2,nist,L5883,A
S,1050.283,0,D+,2,nist,L5883,A
S,1053.222,0,,2,nist,L5883,A
S,1055.891,0,,2,nist,L5883,A
S,1096.602,0,D,2,nist,L5883,A
S,1101.975,0,E,2,nist,L5883,A
S,1102.360,0,D+,2,nist,L5883,A
S,1124.396,0,D+,2,nist,L5883,A
S,1124.978,0,C,2,nist,L5883,A
S,1131.052,0,D+,2,nist,L5883,A
S,1131.658,0,D+,2,nist,L5883,A
S,1172.877,0,,2,nist,L5883,A
S,1203.861,0,D,2,nist,L5883,A
S,1204.290,0,D+,2,nist,L5883,A
S,1204.335,0,D+,2,nist,L5883,A
S,1204.735,0,D,2,nist,L5883,A
S,1226.706,0,D,2,nist,L5883,A
S,1227.408,0,E,2,nist,L5883,A
S,1233.440,0,E,2,nist,L5883,A
S,1234.157,0,D,2,nist,L5883,A
S,1236.261,0,,2,nist,L5883,A
S,1238.648,0,,2,nist,L5883,A
S,1238.999,0,,2,nist,L5883,A
S,1250.578,0,D,2,nist,L5883,A
S,1253.805,0,D+,2,nist,L5883,A
S,1259.518,0,D+,2,nist,L5883,A
S,1270.270,0,,2,nist,L5883,A
S,1271.555,0,,2,nist,L5883,A
S,1276.132,0,,2,nist,L5883,A
S,1277.450,0,,2,nist,L5883,A
S,1279.028,0,,2,nist,L5883,A
S,1279.489,0,,2,nist,L5883,A
S,1283.350,0,,2,nist,L5883,A
S,1284.962,0,,2,nist,L5883,A
S,1288.387,0,,2,nist,L5883,A
S,1363.011,0,D,2,nist,L5883,A
S,1363.384,0,D,2,nist,L5883,A
S,1363.902,0,E',2,nist,L5883,A
S,1446.481,0,,2,nist,L5883,A
S,1511.037,0,,2,nist,L5883,A
S,1511.037,0,,2,nist,L5883,A
S,1511.216,0,,2,nist,L5883,A
S,1511.216,0,,2,nist,L5883,A
S,1513.892,0,,2,nist,L5883,A
S,1513.892,0,,2,nist,L5883,A
S,1519.912,0,,2,nist,L5883,A
S,1535.188,0,,2,nist,L5883,A
S,1536.939,0,,2,nist,L5883,A
S,1540.749,0,,2,nist,L5883,A
