element,wavelength,intensity,acc,state,source,reference,unit
S,1006.097,0,C+,4,nist,u24,A
S,1006.403,0,B,4,nist,u24,A
S,1020.551,0,D,4,nist,u24,A
S,1022.761,0,D,4,nist,u24,A
S,1026.757,0,D,4,nist,u24,A
S,1026.849,0,D,4,nist,u24,A
S,105105,0,A,4,nist,L6001c11,A
S,1062.656,0,,4,nist,u24,A
S,1062.656,0,A,4,nist,u24,A
S,1072.962,0,A,4,nist,u24,A
S,1073.508,0,B+,4,nist,u24,A
S,1088.212,0,D+,4,nist,u24,A
S,1091.180,0,D+,4,nist,u24,A
S,1093.041,0,D,4,nist,u24,A
S,1094.191,0,D,4,nist,u24,A
S,1095.310,0,D,4,nist,u24,A
S,1098.357,0,C+,4,nist,u24,A
S,1098.917,0,B,4,nist,u24,A
S,1099.472,0,B,4,nist,u24,A
S,1100.040,0,C+,4,nist,u24,A
S,1107.733,0,B,4,nist,u24,A
S,1108.449,0,B,4,nist,u24,A
S,1109.832,0,D,4,nist,u24,A
S,1110.885,0,D,4,nist,u24,A
S,1110.885,0,D+,4,nist,u24,A
S,1111.044,0,C+,4,nist,u24,A
S,1111.246,0,C+,4,nist,u24,A
S,1112.724,0,D+,4,nist,u24,A
S,1113.204,0,D+,4,nist,u24,A
S,1113.204,0,D+,4,nist,u24,A
S,1114.149,0,,4,nist,u24,A
S,1117.161,0,B,4,nist,u24,A
S,1117.934,0,,4,nist,u24,A
S,1118.823,0,C+,4,nist,u24,A
S,1138.076,0,C+,4,nist,u24,A
S,1138.210,0,C+,4,nist,u24,A
S,1141.619,0,D,4,nist,u24,A
S,1193.566,0,,4,nist,u24,A
S,1218.085,0,,4,nist,u24,A
S,1220.471,0,,4,nist,u24,A
S,1220.899,0,,4,nist,u24,A
S,1226.703,0,E,4,nist,u24,A
S,1226.868,0,C+,4,nist,u24,A
S,1227.529,0,B,4,nist,u24,A
S,1229.110,0,D,4,nist,u24,A
S,1229.414,0,D,4,nist,u24,A
S,1231.486,0,E,4,nist,u24,A
S,1231.658,0,E,4,nist,u24,A
S,1248.345,0,C+,4,nist,u24,A
S,1251.653,0,C+,4,nist,u24,A
S,1258.173,0,B,4,nist,u24,A
S,1261.523,0,C+,4,nist,u24,A
S,1263.114,0,D,4,nist,u24,A
S,1267.388,0,,4,nist,u24,A
S,1286.050,0,B,4,nist,u24,A
S,1286.221,0,B,4,nist,u24,A
S,1294.592,0,D+,4,nist,u24,A
S,1294.592,0,D+,4,nist,u24,A
S,1295.837,0,D+,4,nist,u24,A
