element,wavelength,intensity,acc,state,source,reference,unit
S,1039.917,0,B+,5,nist,L5337,A
S,1051.524,0,,5,nist,L5337,A
S,1063.555,0,,5,nist,L5337,A
S,1064.022,0,,5,nist,L5337,A
S,1071.113,0,D,5,nist,L5337,A
S,1122.042,0,B+,5,nist,L5337,A
S,1128.667,0,B+,5,nist,L5337,A
S,1128.776,0,B,5,nist,L5337,A
S,1133.902,0,B+,5,nist,L5337,A
S,1199.134,0,B+,5,nist,L5337,A
S,1230.507,0,D,5,nist,L5337,A
S,1260.763,0,E,5,nist,L5337,A
S,1261.381,0,D,5,nist,L5337,A
S,1266.453,0,D,5,nist,L5337,A
S,1268.493,0,B+,5,nist,L5337,A
S,1274.520,0,C+,5,nist,L5337,A
S,1278.814,0,D,5,nist,L5337,A
S,1283.689,0,D,5,nist,L5337,A
S,1283.911,0,D,5,nist,L5337,A
S,1284.210,0,D+,5,nist,L5337,A
S,1351.435,0,B,5,nist,L5337,A
S,1365.749,0,B,5,nist,L5337,A
S,1371.614,0,C+,5,nist,L5337,A
S,1371.883,0,B,5,nist,L5337,A
S,1379.069,0,C+,5,nist,L5337,A
S,1379.432,0,B,5,nist,L5337,A
S,1389.254,0,B,5,nist,L5337,A
S,1501.760,0,A,5,nist,L5337,A
S,1572.231,0,D+,5,nist,L5337,A
S,1572.231,0,D+,5,nist,L5337,A
S,1572.377,0,D+,5,nist,L5337,A
S,1695.120,0,,5,nist,L5337,A
S,1696.202,0,,5,nist,L5337,A
S,1700.321,0,,5,nist,L5337,A
S,1731.483,0,B,5,nist,L5337,A
S,1770.162,0,D+,5,nist,L5337,A
S,1914.080,0,,5,nist,L5337,A
S,192.553,0,D+,5,nist,L5337,A
S,1987.250,0,D,5,nist,L5337,A
S,202.965,0,D+,5,nist,L5337,A
S,2027.981,0,D,5,nist,L5337,A
S,2029.301,0,D,5,nist,L5337,A
S,2080.238,0,B+,5,nist,L5337,A
S,2083.331,0,D,5,nist,L5337,A
S,2113.873,0,,5,nist,L5337,A
S,2132.047,0,B+,5,nist,L5337,A
S,2133.172,0,B+,5,nist,L5337,A
S,2133.813,0,B+,5,nist,L5337,A
S,214.648,0,,5,nist,L5337,A
S,2146.728,0,B+,5,nist,L5337,A
S,2147.708,0,B+,5,nist,L5337,A
S,2148.358,0,B,5,nist,L5337,A
S,2150.952,0,C+,5,nist,L5337,A
S,216.790,0,,5,nist,L5337,A
S,2165.032,0,,5,nist,L5337,A
S,217.138,0,,5,nist,L5337,A
S,218.781,0,,5,nist,L5337,A
S,219.146,0,,5,nist,L5337,A
S,222.663,0,,5,nist,L5337,A
S,223.041,0,,5,nist,L5337,A
S,223.253,0,C,5,nist,L5337,A
S,225.482,0,,5,nist,L5337,A
S,225.680,0,,5,nist,L5337,A
S,226.067,0,,5,nist,L5337,A
S,232.075,0,,5,nist,L5337,A
S,232.267,0,,5,nist,L5337,A
S,232.676,0,,5,nist,L5337,A
S,235.560,0,,5,nist,L5337,A
S,236.304,0,,5,nist,L5337,A
S,2365.360,0,,5,nist,L5337,A
S,2367.492,0,D,5,nist,L5337,A
S,237.376,0,,5,nist,L5337,A
S,237.489,0,,5,nist,L5337,A
S,237.578,0,,5,nist,L5337,A
S,238.011,0,,5,nist,L5337,A
S,241.955,0,,5,nist,L5337,A
S,249.606,0,,5,nist,L5337,A
S,249.837,0,,5,nist,L5337,A
S,250.310,0,,5,nist,L5337,A
S,250.310,0,,5,nist,L5337,A
S,2504.867,0,D+,5,nist,L5337,A
S,251.497,0,,5,nist,L5337,A
S,2554.188,0,D,5,nist,L5337,A
S,2574.881,0,D,5,nist,L5337,A
S,258.109,0,,5,nist,L5337,A
S,259.724,0,,5,nist,L5337,A
S,259.954,0,,5,nist,L5337,A
S,259.954,0,,5,nist,L5337,A
S,260.455,0,,5,nist,L5337,A
S,260.455,0,,5,nist,L5337,A
S,260.455,0,,5,nist,L5337,A
S,2639.691,0,B+,5,nist,L5337,A
S,264.823,0,,5,nist,L5337,A
S,265.356,0,,5,nist,L5337,A
S,265.604,0,,5,nist,L5337,A
S,266.143,0,,5,nist,L5337,A
S,266.633,0,,5,nist,L5337,A
S,266.745,0,,5,nist,L5337,A
S,2661.976,0,B+,5,nist,L5337,A
S,2664.747,0,B+,5,nist,L5337,A
S,267.009,0,,5,nist,L5337,A
S,267.182,0,,5,nist,L5337,A
S,267.182,0,,5,nist,L5337,A
S,267.558,0,,5,nist,L5337,A
S,2690.233,0,D,5,nist,L5337,A
S,270.959,0,,5,nist,L5337,A
S,270.959,0,,5,nist,L5337,A
S,270.959,0,,5,nist,L5337,A
S,271.239,0,,5,nist,L5337,A
S,271.527,0,,5,nist,L5337,A
S,271.792,0,,5,nist,L5337,A
S,2739.910,0,D+,5,nist,L5337,A
S,2780.106,0,D,5,nist,L5337,A
S,279.150,0,,5,nist,L5337,A
S,2801.318,0,D+,5,nist,L5337,A
S,286.094,0,C+,5,nist,L5337,A
S,286.403,0,C+,5,nist,L5337,A
S,2887.752,0,,5,nist,L5337,A
S,2887.752,0,,5,nist,L5337,A
S,2887.752,0,,5,nist,L5337,A
S,289.531,0,,5,nist,L5337,A
S,289.531,0,,5,nist,L5337,A
S,289.817,0,,5,nist,L5337,A
S,2890.298,0,,5,nist,L5337,A
S,2890.993,0,,5,nist,L5337,A
S,2890.993,0,,5,nist,L5337,A
S,2890.993,0,,5,nist,L5337,A
S,2891.499,0,,5,nist,L5337,A
S,2891.499,0,,5,nist,L5337,A
S,2891.499,0,,5,nist,L5337,A
S,2891.499,0,,5,nist,L5337,A
S,290.461,0,,5,nist,L5337,A
S,291.478,0,,5,nist,L5337,A
S,293.298,0,,5,nist,L5337,A
S,297.809,0,,5,nist,L5337,A
S,2984.489,0,,5,nist,L5337,A
S,2984.489,0,,5,nist,L5337,A
S,2984.489,0,,5,nist,L5337,A
S,2984.489,0,,5,nist,L5337,A
S,2984.489,0,,5,nist,L5337,A
S,2984.489,0,,5,nist,L5337,A
S,2984.489,0,,5,nist,L5337,A
S,300.231,0,,5,nist,L5337,A
S,305.136,0,,5,nist,L5337,A
S,305.136,0,,5,nist,L5337,A
S,305.136,0,,5,nist,L5337,A
S,307.130,0,,5,nist,L5337,A
S,309.651,0,,5,nist,L5337,A
S,309.701,0,,5,nist,L5337,A
S,309.701,0,,5,nist,L5337,A
S,309.701,0,,5,nist,L5337,A
S,316.086,0,,5,nist,L5337,A
S,316.086,0,,5,nist,L5337,A
S,316.086,0,,5,nist,L5337,A
S,3186.0,0,D+,5,nist,L5337,A
S,319.035,0,,5,nist,L5337,A
S,319.487,0,C+,5,nist,L5337,A
S,319.850,0,C+,5,nist,L5337,A
S,3190.655,0,D,5,nist,L5337,A
S,3199.864,0,D+,5,nist,L5337,A
S,320.610,0,B,5,nist,L5337,A
S,3222.927,0,D,5,nist,L5337,A
S,325.455,0,,5,nist,L5337,A
S,325.455,0,,5,nist,L5337,A
S,325.455,0,,5,nist,L5337,A
S,3252.772,0,B+,5,nist,L5337,A
S,3278.323,0,D,5,nist,L5337,A
S,329.318,0,,5,nist,L5337,A
S,332.211,0,,5,nist,L5337,A
S,332.211,0,,5,nist,L5337,A
S,332.211,0,,5,nist,L5337,A
S,334.490,0,,5,nist,L5337,A
S,3398.322,0,B+,5,nist,L5337,A
S,340.171,0,,5,nist,L5337,A
S,340.171,0,,5,nist,L5337,A
S,340.171,0,,5,nist,L5337,A
S,350.101,0,,5,nist,L5337,A
S,350.101,0,,5,nist,L5337,A
S,350.101,0,,5,nist,L5337,A
S,354.532,0,,5,nist,L5337,A
S,356.038,0,,5,nist,L5337,A
S,365.676,0,,5,nist,L5337,A
S,365.676,0,,5,nist,L5337,A
S,365.676,0,,5,nist,L5337,A
S,367.763,0,,5,nist,L5337,A
S,369.411,0,B+,5,nist,L5337,A
S,369.742,0,C+,5,nist,L5337,A
S,3714.611,0,D,5,nist,L5337,A
S,386.362,0,,5,nist,L5337,A
S,3863.719,0,D+,5,nist,L5337,A
S,391.959,0,,5,nist,L5337,A
S,3911.514,0,D,5,nist,L5337,A
S,392.035,0,,5,nist,L5337,A
S,393.409,0,,5,nist,L5337,A
S,3997.105,0,D+,5,nist,L5337,A
S,4045.832,0,D+,5,nist,L5337,A
S,417.623,0,,5,nist,L5337,A
S,418.451,0,E,5,nist,L5337,A
S,418.451,0,D,5,nist,L5337,A
S,418.451,0,D,5,nist,L5337,A
S,420.665,0,,5,nist,L5337,A
S,420.665,0,,5,nist,L5337,A
S,433.307,0,C,5,nist,L5337,A
S,437.504,0,B,5,nist,L5337,A
S,438.210,0,,5,nist,L5337,A
S,438.210,0,B,5,nist,L5337,A
S,439.675,0,B,5,nist,L5337,A
S,439.904,0,D,5,nist,L5337,A
S,4396.675,0,D+,5,nist,L5337,A
S,4400.170,0,D+,5,nist,L5337,A
S,4418.125,0,D+,5,nist,L5337,A
S,4449.071,0,D+,5,nist,L5337,A
S,445.940,0,B,5,nist,L5337,A
S,4483.8,0,D+,5,nist,L5337,A
S,451.325,0,C,5,nist,L5337,A
S,452.306,0,C,5,nist,L5337,A
S,452.904,0,C+,5,nist,L5337,A
S,453.134,0,C,5,nist,L5337,A
S,453.778,0,C,5,nist,L5337,A
S,454.735,0,C,5,nist,L5337,A
S,4555.257,0,D+,5,nist,L5337,A
S,4555.257,0,D,5,nist,L5337,A
S,4556.695,0,D+,5,nist,L5337,A
S,470.415,0,,5,nist,L5337,A
S,474.966,0,,5,nist,L5337,A
S,475.277,0,,5,nist,L5337,A
S,475.373,0,,5,nist,L5337,A
S,487.562,0,D,5,nist,L5337,A
S,4906.829,0,B,5,nist,L5337,A
