element,wavelength,intensity,acc,state,source,reference,unit
Sb,1001.144,0,,2,nist,"L16370,L3304",A
Sb,10081.166,200,,1,nist,L10083,A
Sb,1009.442,0,,2,nist,"L16325,L3304",A
Sb,1011.94,0,,3,nist,L3303,A
Sb,10263.661,300,,1,nist,L10083,A
Sb,10367.005,0,,1,nist,L10083,A
Sb,10491.2,0,,1,nist,L7406,A
Sb,1052.236,0,,2,nist,"L16325,L3304",A
Sb,1056.228,0,,2,nist,"L16325,L3304",A
Sb,1056.58,0,,3,nist,L3303,A
Sb,1057.276,0,,2,nist,"L16325,L3304",A
Sb,10588.336,200,,1,nist,L10083,A
Sb,1065.90,0,,3,nist,L3303,A
Sb,10680.171,1000,,1,nist,L10083,A
Sb,1069.93,0,,3,nist,L3303,A
Sb,1070.43,0,,3,nist,L3303,A
Sb,1073.76,0,,3,nist,L3303,A
Sb,1073.828,0,,2,nist,"L16370,L3304",A
Sb,10744.842,800,,1,nist,L10083,A
Sb,1075.82,0,,3,nist,L3303,A
Sb,1078.10,0,,3,nist,L3303,A
Sb,10796.954,0,,1,nist,L10083,A
Sb,1084.06,0,,3,nist,L3303,A
Sb,10842.540,600,,1,nist,L10083,A
Sb,1087.6,0,,4,nist,L644,A
Sb,10871.481,200,,1,nist,L10083,A
Sb,10882.676,400,,1,nist,L10083,A
Sb,1098.34,0,,3,nist,L3303,A
Sb,1099.3,0,,4,nist,L644,A
Sb,11015.743,300,,1,nist,L10083,A
Sb,1104.32,0,,5,nist,L3982,A
Sb,11082.814,0,,1,nist,L10083,A
Sb,11088.217,0,,1,nist,L10083,A
Sb,11107.657,0,,1,nist,L10083,A
Sb,11111.530,0,,1,nist,L10083,A
Sb,1115.1,0,,4,nist,L644,A
Sb,11192.624,0,,1,nist,L10083,A
Sb,1120.4,0,,4,nist,L644,A
Sb,11269.166,150,,1,nist,L10083,A
Sb,1135.43,0,,3,nist,L3303,A
Sb,1145.9,0,,4,nist,L644,A
Sb,1151.49,0,,3,nist,L3303,A
Sb,1151.5,0,,4,nist,L644,A
Sb,1157.74,0,,3,nist,L3303,A
Sb,1166.96,0,,3,nist,L3303,A
Sb,1171.4,0,,4,nist,L644,A
Sb,11866.476,0,,1,nist,L10083,A
Sb,1192.9,0,,4,nist,L644,A
Sb,11960.886,0,,1,nist,L10083,A
Sb,1199.1,0,,4,nist,L644,A
Sb,1205.20,0,,3,nist,L3303,A
Sb,1210.64,0,,3,nist,L3303,A
Sb,12119.335,0,,1,nist,L10083,A
Sb,1226.00,0,,5,nist,L3982,A
Sb,12280.186,0,,1,nist,L10083,A
Sb,1230.236,0,,2,nist,"L16325,L3304",A
Sb,12470.064,0,,1,nist,L10083,A
Sb,1274.670,0,,2,nist,"L16325,L3304",A
Sb,1274.938,0,,2,nist,"L16325,L3304",A
Sb,1306.69,0,,3,nist,L3303,A
Sb,1327.378,0,,2,nist,"L16325,L3304",A
Sb,1358.009,0,,2,nist,"L16325,L3304",A
Sb,1379.58,0,,3,nist,L3303,A
Sb,1384.656,0,,2,nist,"L16325,L3304",A
Sb,1404.18,0,,3,nist,L3303,A
Sb,1407.784,0,,2,nist,"L16325,L3304",A
Sb,1429.57,0,,3,nist,L3303,A
Sb,1430.76,0,,1,nist,L7406,A
Sb,1436.447,0,,2,nist,"L16325,L3304",A
Sb,1464.19,0,,1,nist,L7406,A
Sb,1486.57,0,,1,nist,L7406,A
Sb,1491.36,0,,1,nist,L7406,A
Sb,1499.2,0,,4,nist,L644,A
Sb,1505.70,0,,5,nist,L3982,A
Sb,1512.57,0,,1,nist,L7406,A
Sb,1524.47,0,,5,nist,L3982,A
Sb,1532.74,120,,1,nist,L7406,A
Sb,1535.06,0,,1,nist,L7406,A
Sb,1565.501,0,,2,nist,"L16325,L3304",A
Sb,1576.099,0,,2,nist,"L16325,L3304",A
Sb,1581.353,0,,2,nist,"L16325,L3304",A
Sb,1599.96,0,,1,nist,L7406,A
Sb,1606.952,0,,2,nist,"L16325,L3304",A
Sb,1612.8,200,,1,nist,L7406,A
Sb,1623.3,100,,1,nist,L7406,A
Sb,1651.20,0,,1,nist,L7406,A
Sb,1657.036,0,,2,nist,L3304,A
Sb,1662.6,100,,1,nist,L7406,A
Sb,1673.89,0,,3,nist,L3303,A
Sb,1698.85,0,,1,nist,L7406,A
Sb,1710.23,0,,3,nist,L3303,A
Sb,1711.84,0,,3,nist,L3303,A
Sb,1716.93,0,,1,nist,L7406,A
Sb,1717.45,150,,1,nist,L7406,A
Sb,1723.43,150,,1,nist,L7406,A
Sb,1725.33,0,,3,nist,L3303,A
Sb,1736.19,100,,1,nist,L7406,A
Sb,1736.469,0,,2,nist,"L16370,L3304",A
Sb,1757.79,0,,1,nist,L7406,A
Sb,1762.30,0,,3,nist,L3303,A
Sb,1765.76,100,,1,nist,L7406,A
Sb,1780.87,100,,1,nist,L7406,A
Sb,1788.24,100,,1,nist,L7406,A
Sb,1800.18,150,,1,nist,L7406,A
Sb,1810.50,0,,1,nist,L7406,A
Sb,1814.20,0,,1,nist,L7406,A
Sb,1829.50,100,,1,nist,L7406,A
Sb,1839.32,0,,3,nist,L3303,A
Sb,1858.89,0,,1,nist,L7406,A
Sb,1868.17,0,,1,nist,L7406,A
Sb,1871.15,300,,1,nist,L7406,A
Sb,1882.56,150,,1,nist,L7406,A
Sb,1891.28,0,,1,nist,L7406,A
Sb,1899.39,0,,1,nist,L7406,A
Sb,1927.08,100,,1,nist,L7406,A
Sb,1946.13,0,,3,nist,L3303,A
Sb,1950.39,200,,1,nist,L7406,A
Sb,1964.3,0,,1,nist,L7406,A
Sb,1986.05,0,,1,nist,L7406,A
Sb,1990.17,0,,2,nist,"L16370,L3304",A
Sb,1990.34,0,,2,nist,"L16370,L3304",A
Sb,2024.65,0,,1,nist,L7406,A
Sb,2030.14,0,,1,nist,L7406,A
Sb,2040.43,0,,1,nist,L7406,A
Sb,2050.23,150,,1,nist,L7406,A
Sb,2054.76,0,,3,nist,L3303,A
Sb,2064.09,0,,1,nist,L7406,A
Sb,2068.99,1000,,1,nist,L7406,A
Sb,2080.22,100,,1,nist,L7406,A
Sb,2092.52,0,,3,nist,L3303,A
Sb,2099.08,0,,1,nist,L7406,A
Sb,2119.15,0,,1,nist,L7406,A
Sb,2127.67,0,,3,nist,L3303,A
Sb,2128.06,100,,1,nist,L7406,A
Sb,2137.72,0,,1,nist,L7406,A
Sb,2140.36,100,,1,nist,L7406,A
Sb,2142.47,0,,2,nist,"L3304,L16370",A
Sb,2142.50,0,,1,nist,L7406,A
Sb,2145.54,100,,1,nist,L7406,A
Sb,2159.59,0,,1,nist,L7406,A
Sb,2176.49,1500,,1,nist,L7406,A
Sb,2179.87,250,,1,nist,L7406,A
Sb,2202.01,200,,1,nist,L7406,A
Sb,2209.14,300,,1,nist,L7406,A
Sb,2221.42,150,,1,nist,L7406,A
Sb,2222.67,100,,1,nist,L7406,A
Sb,2225.62,120,,1,nist,L7406,A
Sb,2225.84,0,,2,nist,"L3304,L16370",A
Sb,2263.21,300,,1,nist,L7406,A
Sb,2289.69,120,,1,nist,L7406,A
Sb,2294.15,150,,1,nist,L7406,A
Sb,2307.17,300,,1,nist,L7406,A
Sb,2307.17,300,,1,nist,L7406,A
Sb,2312.18,2500,,1,nist,L7406,A
Sb,2316.60,150,,1,nist,L7406,A
Sb,2374.39,400,,1,nist,L7406,A
Sb,2384.37,300,,1,nist,L7406,A
Sb,2395.95,100,,1,nist,L7406,A
Sb,2422.87,150,,1,nist,L7406,A
Sb,2427.09,250,,1,nist,L7406,A
Sb,2446.25,400,,1,nist,L7406,A
Sb,2479.07,400,,1,nist,L7406,A
Sb,2481.19,150,,1,nist,L7406,A
Sb,2481.21,0,,2,nist,"L3304,L16370",A
Sb,2508.47,0,,3,nist,L3303,A
