element,wavelength,intensity,acc,state,source,reference,unit
Sb,10081.166,200,,1,nist,L10083,A
Sb,10263.661,300,,1,nist,L10083,A
Sb,10367.005,0,,1,nist,L10083,A
Sb,10491.2,0,,1,nist,L7406,A
Sb,10588.336,200,,1,nist,L10083,A
Sb,10680.171,1000,,1,nist,L10083,A
Sb,10744.842,800,,1,nist,L10083,A
Sb,10796.954,0,,1,nist,L10083,A
Sb,10842.540,600,,1,nist,L10083,A
Sb,10871.481,200,,1,nist,L10083,A
Sb,10882.676,400,,1,nist,L10083,A
Sb,11015.743,300,,1,nist,L10083,A
Sb,11082.814,0,,1,nist,L10083,A
Sb,11088.217,0,,1,nist,L10083,A
Sb,11107.657,0,,1,nist,L10083,A
Sb,11111.530,0,,1,nist,L10083,A
Sb,11192.624,0,,1,nist,L10083,A
Sb,11269.166,150,,1,nist,L10083,A
Sb,11866.476,0,,1,nist,L10083,A
Sb,11960.886,0,,1,nist,L10083,A
Sb,12119.335,0,,1,nist,L10083,A
Sb,12280.186,0,,1,nist,L10083,A
Sb,12470.064,0,,1,nist,L10083,A
Sb,1430.76,0,,1,nist,L7406,A
Sb,1464.19,0,,1,nist,L7406,A
Sb,1486.57,0,,1,nist,L7406,A
Sb,1491.36,0,,1,nist,L7406,A
Sb,1512.57,0,,1,nist,L7406,A
Sb,1532.74,120,,1,nist,L7406,A
Sb,1535.06,0,,1,nist,L7406,A
Sb,1599.96,0,,1,nist,L7406,A
Sb,1612.8,200,,1,nist,L7406,A
Sb,1623.3,100,,1,nist,L7406,A
Sb,1651.20,0,,1,nist,L7406,A
Sb,1662.6,100,,1,nist,L7406,A
Sb,1698.85,0,,1,nist,L7406,A
Sb,1716.93,0,,1,nist,L7406,A
Sb,1717.45,150,,1,nist,L7406,A
Sb,1723.43,150,,1,nist,L7406,A
Sb,1736.19,100,,1,nist,L7406,A
Sb,1757.79,0,,1,nist,L7406,A
Sb,1765.76,100,,1,nist,L7406,A
Sb,1780.87,100,,1,nist,L7406,A
Sb,1788.24,100,,1,nist,L7406,A
Sb,1800.18,150,,1,nist,L7406,A
Sb,1810.50,0,,1,nist,L7406,A
Sb,1814.20,0,,1,nist,L7406,A
Sb,1829.50,100,,1,nist,L7406,A
Sb,1858.89,0,,1,nist,L7406,A
Sb,1868.17,0,,1,nist,L7406,A
