element,wavelength,intensity,acc,state,source,reference,unit
Sb,1001.144,0,,2,nist,"L16370,L3304",A
Sb,1009.442,0,,2,nist,"L16325,L3304",A
Sb,1052.236,0,,2,nist,"L16325,L3304",A
Sb,1056.228,0,,2,nist,"L16325,L3304",A
Sb,1057.276,0,,2,nist,"L16325,L3304",A
Sb,1073.828,0,,2,nist,"L16370,L3304",A
Sb,1230.236,0,,2,nist,"L16325,L3304",A
Sb,1274.670,0,,2,nist,"L16325,L3304",A
Sb,1274.938,0,,2,nist,"L16325,L3304",A
Sb,1327.378,0,,2,nist,"L16325,L3304",A
Sb,1358.009,0,,2,nist,"L16325,L3304",A
Sb,1384.656,0,,2,nist,"L16325,L3304",A
Sb,1407.784,0,,2,nist,"L16325,L3304",A
Sb,1436.447,0,,2,nist,"L16325,L3304",A
Sb,1565.501,0,,2,nist,"L16325,L3304",A
Sb,1576.099,0,,2,nist,"L16325,L3304",A
Sb,1581.353,0,,2,nist,"L16325,L3304",A
Sb,1606.952,0,,2,nist,"L16325,L3304",A
Sb,1657.036,0,,2,nist,L3304,A
Sb,1736.469,0,,2,nist,"L16370,L3304",A
Sb,1990.17,0,,2,nist,"L16370,L3304",A
Sb,1990.34,0,,2,nist,"L16370,L3304",A
Sb,2142.47,0,,2,nist,"L3304,L16370",A
Sb,2225.84,0,,2,nist,"L3304,L16370",A
Sb,2481.21,0,,2,nist,"L3304,L16370",A
Sb,2529.295,0,,2,nist,"L3304,L16370",A
Sb,2568.523,0,,2,nist,"L3304,L16370",A
Sb,2657.34,0,,2,nist,"L3304,L16370",A
Sb,2657.34,0,,2,nist,"L3304,L16370",A
Sb,2966.97,0,,2,nist,"L3304,L16370",A
Sb,2981.832,0,,2,nist,"L3304,L16370",A
Sb,3034.89,0,,2,nist,"L3304,L16370",A
Sb,3041.554,0,,2,nist,"L3304,L16370",A
Sb,3041.554,0,,2,nist,"L3304,L16370",A
Sb,3242.215,0,,2,nist,"L3304,L16370",A
Sb,3499.46,0,,2,nist,"L3304,L16370",A
Sb,3521.481,0,,2,nist,L3304,A
Sb,3851.31,0,,2,nist,"L3304,L16370",A
Sb,4134.80,0,,2,nist,"L3304,L16370",A
Sb,4141.71,0,,2,nist,"L3304,L16370",A
Sb,4196.35,0,,2,nist,"L3304,L16370",A
Sb,4220.26,0,,2,nist,"L3304,L16370",A
Sb,4315.53,0,,2,nist,"L3304,L16370",A
Sb,4346.05,0,,2,nist,"L3304,L16370",A
Sb,4412.66,0,,2,nist,"L3304,L16370",A
Sb,4412.66,0,,2,nist,"L3304,L16370",A
Sb,4447.73,0,,2,nist,"L3304,L16370",A
Sb,4508.18,0,,2,nist,"L3304,L16370",A
Sb,4515.77,0,,2,nist,"L3304,L16370",A
Sb,4598.19,0,,2,nist,"L3304,L16370",A
Sb,4600.38,0,,2,nist,"L3304,L16370",A
Sb,4606.06,0,,2,nist,L3304,A
Sb,4648.617,0,,2,nist,"L3304,L16370",A
Sb,4677.054,0,,2,nist,"L3304,L16370",A
Sb,4712.58,0,,2,nist,L3304,A
Sb,4736.76,0,,2,nist,L3304,A
Sb,4759.14,0,,2,nist,L3304,A
Sb,4766.69,0,,2,nist,L3304,A
Sb,4768.24,0,,2,nist,L3304,A
Sb,4785.37,0,,2,nist,L3304,A
Sb,4803.35,0,,2,nist,"L3304,L16370",A
Sb,4834.17,0,,2,nist,L3304,A
Sb,4878.60,0,,2,nist,"L3304,L16370",A
Sb,4948.78,0,,2,nist,L3304,A
Sb,5045.97,0,,2,nist,L3304,A
Sb,5167.76,0,,2,nist,"L3304,L16370",A
Sb,5177.99,0,,2,nist,L3304,A
Sb,5240.40,0,,2,nist,"L3304,L16370",A
Sb,5355.73,0,,2,nist,L3304,A
Sb,5465.60,0,,2,nist,"L3304,L16370",A
Sb,5569.68,0,,2,nist,"L3304,L16370",A
Sb,5641.32,0,,2,nist,"L3304,L16370",A
Sb,5896.72,0,,2,nist,L3304,A
Sb,6006.873,100,,2,nist,"L3304,L16370",A
Sb,6055.087,0,,2,nist,"L3304,L16370",A
Sb,6081.480,0,,2,nist,"L3304,L16370",A
Sb,6131.74,0,,2,nist,"L3304,L16370",A
Sb,6131.740,0,,2,nist,"L3304,L16370",A
Sb,6156.648,0,,2,nist,"L3304,L16370",A
Sb,6304.507,0,,2,nist,"L3304,L16370",A
Sb,6649.28,0,,2,nist,L3304,A
Sb,6689.86,0,,2,nist,L3304,A
Sb,6808.55,0,,2,nist,L3304,A
Sb,764.381,0,,2,nist,"L16370,L3304",A
Sb,814.793,0,,2,nist,"L16370,L3304",A
Sb,849.39,0,,2,nist,L3304,A
Sb,854.625,0,,2,nist,"L16370,L3304",A
Sb,876.796,0,,2,nist,"L16325,L3304",A
Sb,921.049,0,,2,nist,"L16325,L3304",A
Sb,983.592,0,,2,nist,"L16325,L3304",A
