element,wavelength,intensity,acc,state,source,reference,unit
Sb,1011.94,0,,3,nist,L3303,A
Sb,1056.58,0,,3,nist,L3303,A
Sb,1065.90,0,,3,nist,L3303,A
Sb,1069.93,0,,3,nist,L3303,A
Sb,1070.43,0,,3,nist,L3303,A
Sb,1073.76,0,,3,nist,L3303,A
Sb,1075.82,0,,3,nist,L3303,A
Sb,1078.10,0,,3,nist,L3303,A
Sb,1084.06,0,,3,nist,L3303,A
Sb,1098.34,0,,3,nist,L3303,A
Sb,1135.43,0,,3,nist,L3303,A
Sb,1151.49,0,,3,nist,L3303,A
Sb,1157.74,0,,3,nist,L3303,A
Sb,1166.96,0,,3,nist,L3303,A
Sb,1205.20,0,,3,nist,L3303,A
Sb,1210.64,0,,3,nist,L3303,A
Sb,1306.69,0,,3,nist,L3303,A
Sb,1379.58,0,,3,nist,L3303,A
Sb,1404.18,0,,3,nist,L3303,A
Sb,1429.57,0,,3,nist,L3303,A
Sb,1673.89,0,,3,nist,L3303,A
Sb,1710.23,0,,3,nist,L3303,A
Sb,1711.84,0,,3,nist,L3303,A
Sb,1725.33,0,,3,nist,L3303,A
Sb,1762.30,0,,3,nist,L3303,A
Sb,1839.32,0,,3,nist,L3303,A
Sb,1946.13,0,,3,nist,L3303,A
Sb,2054.76,0,,3,nist,L3303,A
Sb,2092.52,0,,3,nist,L3303,A
Sb,2127.67,0,,3,nist,L3303,A
Sb,2508.47,0,,3,nist,L3303,A
Sb,2590.90,0,,3,nist,L3303,A
Sb,2614.98,0,,3,nist,L3303,A
Sb,2617.95,0,,3,nist,L3303,A
Sb,2618.41,0,,3,nist,L3303,A
Sb,2670.18,0,,3,nist,L3303,A
Sb,2786.69,0,,3,nist,L3303,A
Sb,2791.09,0,,3,nist,L3303,A
Sb,3337.57,0,,3,nist,L3303,A
Sb,3505.07,0,,3,nist,L3303,A
Sb,3520.07,0,,3,nist,L3303,A
Sb,3534.46,0,,3,nist,L3303,A
Sb,3560.20,0,,3,nist,L3303,A
Sb,3567.27,0,,3,nist,L3303,A
Sb,3739.96,0,,3,nist,L3303,A
Sb,4266.29,0,,3,nist,L3303,A
Sb,4353.38,0,,3,nist,L3303,A
Sb,4593.18,0,,3,nist,L3303,A
Sb,4694.22,0,,3,nist,L3303,A
Sb,5249.17,0,,3,nist,L3303,A
Sb,5692.4,0,,3,nist,L3303,A
Sb,5718.9,0,,3,nist,L3303,A
Sb,5847.1,0,,3,nist,L3303,A
Sb,6248.4,0,,3,nist,L3303,A
Sb,6289.3,0,,3,nist,L3303,A
Sb,691.18,0,,3,nist,L3303,A
Sb,698.69,0,,3,nist,L3303,A
Sb,722.86,0,,3,nist,L3303,A
Sb,724.81,0,,3,nist,L3303,A
Sb,732.33,0,,3,nist,L3303,A
Sb,999.62,0,,3,nist,L3303,A
