element,wavelength,intensity,acc,state,source,reference,unit
Sc,1148.241,0,D,3,nist,L1891,A
Sc,1154.523,0,D,3,nist,L1891,A
Sc,1162.443,0,D,3,nist,L1891,A
Sc,1168.607,0,D,3,nist,L1891,A
Sc,1168.883,0,D,3,nist,L1891,A
Sc,1493.502,0,E,3,nist,L1891,A
Sc,1494.506,0,E,3,nist,L1891,A
Sc,1598.002,0,D,3,nist,L1891,A
Sc,1603.063,180,D,3,nist,L1891,A
Sc,1610.194,150,D,3,nist,L1891,A
Sc,1679.824,0,E,3,nist,L1891,A
Sc,1681.105,0,E,3,nist,L1891,A
Sc,1742.690,0,,3,nist,L1891,A
Sc,1895.441,0,D,3,nist,L1891,A
Sc,1912.620,0,C,3,nist,L1891,A
Sc,1993.886,0,C,3,nist,L1891,A
Sc,2011.070,0,C,3,nist,L1891,A
Sc,2012.906,0,D,3,nist,L1891,A
Sc,2096.936,0,E,3,nist,L1891,A
Sc,2104.709,0,D,3,nist,L1891,A
Sc,2111.937,0,D,3,nist,L1891,A
Sc,2112.351,0,,3,nist,L1891,A
Sc,2119.524,0,D,3,nist,L1891,A
Sc,2119.828,0,E,3,nist,L1891,A
Sc,2308.532,0,E,3,nist,L1891,A
Sc,2310.950,0,E,3,nist,L1891,A
Sc,2313.093,0,E,3,nist,L1891,A
Sc,2347.238,0,,3,nist,L1891,A
Sc,2456.26,0,E,3,nist,L1891,A
Sc,2628.118,0,D,3,nist,L1891,A
Sc,2640.333,0,D,3,nist,L1891,A
Sc,2667.700,0,D,3,nist,L1891,A
Sc,2679.521,0,D,3,nist,L1891,A
Sc,2680.289,0,D,3,nist,L1891,A
Sc,2699.868,350,C,3,nist,L1891,A
Sc,2734.857,230,D,3,nist,L1891,A
Sc,2832.587,0,,3,nist,L1891,A
Sc,3480.781,0,E,3,nist,L1891,A
Sc,3482.060,0,E,3,nist,L1891,A
Sc,4041.652,0,,3,nist,L1891,A
Sc,4041.652,0,,3,nist,L1891,A
Sc,4041.652,0,,3,nist,L1891,A
Sc,4062.356,0,D,3,nist,L1891,A
Sc,4069.810,100,D,3,nist,L1891,A
Sc,4226.969,0,E,3,nist,L1891,A
Sc,4230.562,0,E,3,nist,L1891,A
Sc,4310.683,0,,3,nist,L1891,A
Sc,4643.38,0,E,3,nist,L1891,A
Sc,4649.449,0,E,3,nist,L1891,A
Sc,4742.280,0,D,3,nist,L1891,A
Sc,4782.205,0,C,3,nist,L1891,A
Sc,4945.452,0,D,3,nist,L1891,A
Sc,4994.279,0,C,3,nist,L1891,A
Sc,4998.759,0,,3,nist,L1891,A
Sc,4998.759,0,,3,nist,L1891,A
Sc,4998.759,0,,3,nist,L1891,A
Sc,5008.201,0,D,3,nist,L1891,A
Sc,5028.067,0,D,3,nist,L1891,A
Sc,5033.490,0,C,3,nist,L1891,A
Sc,5038.581,0,D,3,nist,L1891,A
Sc,5145.042,0,,3,nist,L2625,A
Sc,5145.042,0,,3,nist,L2625,A
Sc,5145.042,0,,3,nist,L2625,A
Sc,558.608,0,,3,nist,L1891,A
Sc,582.114,0,,3,nist,L1891,A
Sc,582.784,0,,3,nist,L1891,A
Sc,589.320,0,,3,nist,L2625,A
Sc,589.487,0,,3,nist,L2625,A
Sc,590.006,0,,3,nist,L2625,A
Sc,6240.040,0,D,3,nist,L1891,A
Sc,6253.427,0,E,3,nist,L1891,A
Sc,6255.994,0,E,3,nist,L1891,A
Sc,6257.740,0,C,3,nist,L1891,A
Sc,627.069,0,D,3,nist,L1891,A
Sc,627.846,0,D,3,nist,L1891,A
Sc,6309.339,0,C,3,nist,L1891,A
Sc,642.766,0,,3,nist,L2625,A
Sc,643.133,0,,3,nist,L1891,A
Sc,643.597,0,,3,nist,L1891,A
Sc,693.724,0,E,3,nist,L2625,A
Sc,693.969,0,E,3,nist,L2625,A
Sc,730.599,0,D,3,nist,L1891,A
Sc,731.654,0,D,3,nist,L1891,A
Sc,7341.055,0,E,3,nist,L1891,A
Sc,7451.207,0,C,3,nist,L1891,A
Sc,7550.226,0,D,3,nist,L1891,A
Sc,769.019,0,E,3,nist,L1891,A
Sc,769.524,0,E,3,nist,L1891,A
Sc,779.538,0,E,3,nist,L2625,A
Sc,780.596,0,E,3,nist,L1891,A
Sc,780.729,0,E,3,nist,L1891,A
Sc,7870.813,0,,3,nist,L1891,A
Sc,7870.813,0,,3,nist,L1891,A
Sc,7870.813,0,,3,nist,L1891,A
Sc,8047.011,0,,3,nist,L1891,A
Sc,8047.011,0,,3,nist,L1891,A
Sc,8047.011,0,,3,nist,L1891,A
Sc,8228.831,0,,3,nist,L2625,A
Sc,8228.831,0,,3,nist,L2625,A
Sc,8228.831,0,,3,nist,L2625,A
Sc,8535.727,0,,3,nist,L1891,A
Sc,8535.727,0,,3,nist,L1891,A
Sc,8535.727,0,,3,nist,L1891,A
Sc,8816.713,0,D,3,nist,L1891,A
Sc,8832.210,0,D,3,nist,L1891,A
Sc,8868.325,0,D,3,nist,L1891,A
Sc,8884.024,0,D,3,nist,L1891,A
Sc,9374.31,0,D,3,nist,L1891,A
Sc,961.052,0,E,3,nist,L1891,A
Sc,965.448,0,D,3,nist,L1891,A
Sc,966.293,0,D,3,nist,L1891,A
Sc,970.637,0,D,3,nist,L1891,A
Sc,973.295,0,E,3,nist,L1891,A
Sc,974.965,0,E,3,nist,L1891,A
