element,wavelength,intensity,acc,state,source,reference,unit
Se,10220.05,200,,1,nist,L2647,A
Se,10310.27,377,,1,nist,L2647,A
Se,10330.09,900,,1,nist,L2647,A
Se,10389.21,640,,1,nist,L2647,A
Se,10653.22,124,,1,nist,L2647,A
Se,11937.83,125,,1,nist,L2647,A
Se,11950.14,275,,1,nist,L2647,A
Se,11951.19,100,,1,nist,L2647,A
Se,11955.54,105,,1,nist,L2647,A
Se,11955.91,170,,1,nist,L2647,A
Se,11969.31,100,,1,nist,L2647,A
Se,11976.21,205,,1,nist,L2647,A
Se,11976.35,115,,1,nist,L2647,A
Se,1405.4,100,,1,nist,L3316,A
Se,1406.4,100,,1,nist,L3316,A
Se,1406.6,100,,1,nist,L3316,A
Se,1435.3,120,,1,nist,L3316,A
Se,1435.8,120,,1,nist,L3316,A
Se,1444.8,100,,1,nist,L3316,A
Se,1446.8,100,,1,nist,L3316,A
Se,1447.0,100,,1,nist,L3316,A
Se,1449.2,150,,1,nist,L3316,A
Se,1456.3,120,,1,nist,L3316,A
Se,14821.98,315,,1,nist,L2647,A
Se,14921.55,410,,1,nist,L2647,A
Se,1500.9,150,,1,nist,L3316,A
Se,15155.58,500,,1,nist,L2647,A
Se,1530.4,250,,1,nist,L3316,A
Se,1531.3,150,,1,nist,L3316,A
Se,1531.8,200,,1,nist,L3316,A
Se,1547.1,120,,1,nist,L3316,A
Se,15473.29,115,,1,nist,L2647,A
Se,15475.23,320,,1,nist,L2647,A
Se,15525.21,265,,1,nist,L2647,A
Se,1560.3,120,,1,nist,L3316,A
Se,15622.67,395,,1,nist,L2647,A
Se,15624.65,115,,1,nist,L2647,A
Se,1575.3,150,,1,nist,L3316,A
Se,1577.6,150,,1,nist,L3316,A
Se,1577.9,150,,1,nist,L3316,A
Se,1579.5,150,,1,nist,L3316,A
Se,1580.0,200,,1,nist,L3316,A
Se,1587.5,150,,1,nist,L3316,A
Se,1593.2,150,,1,nist,L3316,A
Se,1606.5,250,,1,nist,L3316,A
Se,1610.7,100,,1,nist,L3316,A
Se,1611.3,100,,1,nist,L3316,A
Se,1617.4,200,,1,nist,L3316,A
Se,1621.2,150,,1,nist,L3316,A
Se,1622.7,100,,1,nist,L3316,A
Se,1626.2,120,,1,nist,L3316,A
Se,1643.4,150,,1,nist,L3316,A
Se,16663.99,360,,1,nist,L2647,A
Se,1671.2,250,,1,nist,L3316,A
Se,1675.3,250,,1,nist,L3316,A
