element,wavelength,intensity,acc,state,source,reference,unit
Se,1013.4,360,,2,nist,L3276,A
Se,1014.0,360,,2,nist,L3276,A
Se,1033.6,450,,2,nist,L3276,A
Se,1049.6,450,,2,nist,L3276,A
Se,1057.4,360,,2,nist,L3276,A
Se,1097.8,285,,2,nist,L3276,A
Se,1141.9,360,,2,nist,L3276,A
Se,1156.0,220,,2,nist,L3276,A
Se,1156.9,285,,2,nist,L3276,A
Se,1168.5,285,,2,nist,L3276,A
Se,1192.3,450,,2,nist,L3276,A
Se,1205.7,220,,2,nist,L3276,A
Se,1234.9,220,,2,nist,L3276,A
Se,1291.0,285,,2,nist,L3276,A
Se,1308.9,285,,2,nist,L3276,A
Se,3039.6,220,,2,nist,L3276,A
Se,3042.2,220,,2,nist,L3276,A
Se,4071.3,285,,2,nist,L3276,A
Se,4176.5,360,,2,nist,L3276,A
Se,4182.1,450,,2,nist,L3276,A
Se,4384.1,285,,2,nist,L3276,A
Se,4447.2,285,,2,nist,L3276,A
Se,4450.4,220,,2,nist,L3276,A
Se,4468.9,285,,2,nist,L3276,A
Se,4842.0,285,,2,nist,L3276,A
Se,4846.4,360,,2,nist,L3276,A
Se,5229.0,450,,2,nist,L3276,A
Se,5306.9,360,,2,nist,L3276,A
Se,5523.9,285,,2,nist,L3276,A
Se,5568.4,285,,2,nist,L3276,A
Se,5867.9,285,,2,nist,L3276,A
Se,6057.7,450,,2,nist,L3276,A
Se,6446.0,360,,2,nist,L3276,A
Se,6492.3,285,,2,nist,L3276,A
Se,6536.8,285,,2,nist,L3276,A
Se,828.5,285,,2,nist,L3276,A
Se,832.7,360,,2,nist,L3276,A
Se,906.6,285,,2,nist,L3276,A
Se,912.9,360,,2,nist,L3276,A
