element,wavelength,intensity,acc,state,source,reference,unit
Se,1094.7,360,,5,nist,L710,A
Se,1151.0,220,,5,nist,L710,A
Se,1227.6,450,,5,nist,L710,A
Se,596.0,285,,5,nist,L710,A
Se,601.0,285,,5,nist,L710,A
Se,608.7,220,,5,nist,L710,A
Se,613.0,360,,5,nist,L710,A
Se,614.3,285,,5,nist,L710,A
Se,759.1,450,,5,nist,L710,A
Se,785.8,285,,5,nist,L710,A
Se,804.3,285,,5,nist,L710,A
Se,808.7,360,,5,nist,L710,A
Se,814.8,220,,5,nist,L710,A
Se,820.7,220,,5,nist,L710,A
Se,830.3,360,,5,nist,L710,A
Se,839.5,450,,5,nist,L710,A
Se,845.8,360,,5,nist,L710,A
