element,wavelength,intensity,acc,state,source,reference,unit
Si,1005.37,0,D+,3,nist,L4833,A
Si,1031.16,0,C,3,nist,L4833,A
Si,1033.92,0,C+,3,nist,L4833,A
Si,1037.05,0,C,3,nist,L4833,A
Si,1083.22,0,C,3,nist,L4833,A
Si,1108.37,0,B+,3,nist,L4833,A
Si,1109.97,0,B+,3,nist,L4833,A
Si,1113.23,0,A,3,nist,L4833,A
Si,1140.55,0,B,3,nist,L4833,A
Si,1141.58,0,B+,3,nist,L4833,A
Si,1142.28,0,B,3,nist,L4833,A
Si,1144.31,0,B+,3,nist,L4833,A
Si,1144.96,0,B,3,nist,L4833,A
Si,1145.11,0,,3,nist,L4833,A
Si,1145.18,0,C,3,nist,L4833,A
Si,1155.00,0,B,3,nist,L4833,A
Si,1155.96,0,C+,3,nist,L4833,A
Si,1158.10,0,B,3,nist,L4833,A
Si,1160.26,0,B,3,nist,L4833,A
Si,1161.58,0,B,3,nist,L4833,A
Si,1174.37,0,C,3,nist,L4833,A
Si,1174.43,0,C,3,nist,L4833,A
Si,1178.00,0,,3,nist,L4833,A
Si,1206.51,0,A,3,nist,L4833,A
Si,1206.53,0,B,3,nist,L4833,A
Si,1207.52,0,B+,3,nist,L4833,A
Si,1210.46,0,B,3,nist,L4833,A
Si,1235.43,0,B,3,nist,L4833,A
Si,1280.35,0,B,3,nist,L4833,A
Si,1294.54,0,B+,3,nist,L4833,A
Si,1296.73,0,B+,3,nist,L4833,A
Si,1298.89,0,B+,3,nist,L4833,A
Si,1298.96,0,A,3,nist,L4833,A
Si,1301.15,0,B+,3,nist,L4833,A
Si,1303.32,0,B+,3,nist,L4833,A
Si,1312.59,0,D+,3,nist,L4833,A
Si,1341.47,0,B,3,nist,L4833,A
Si,1342.39,0,B,3,nist,L4833,A
Si,1343.39,0,B,3,nist,L4833,A
Si,1361.60,0,B,3,nist,L4833,A
Si,1362.37,0,C+,3,nist,L4833,A
Si,1363.47,0,B,3,nist,L4833,A
Si,1365.26,0,B,3,nist,L4833,A
Si,1367.05,0,B,3,nist,L4833,A
Si,1369.44,0,C+,3,nist,L4833,A
Si,1373.03,0,B,3,nist,L4833,A
Si,1387.99,0,D+,3,nist,L4833,A
Si,1417.24,0,B,3,nist,L4833,A
Si,1433.69,0,B,3,nist,L4833,A
Si,1435.77,0,D+,3,nist,L4833,A
Si,1436.17,0,C+,3,nist,L4833,A
Si,1441.73,0,,3,nist,L4833,A
Si,1447.20,0,,3,nist,L4833,A
Si,1457.25,0,C,3,nist,L4833,A
Si,1500.24,0,B+,3,nist,L4833,A
