element,wavelength,intensity,acc,state,source,reference,unit
Sm,2691.70,0,,2,nist,L3475,A
Sm,2768.67,0,,2,nist,L3475,A
Sm,2780.05,0,,2,nist,L3475,A
Sm,2790.20,150,,2,nist,L3475,A
Sm,2811.69,120,,2,nist,L3475,A
Sm,2818.03,0,,2,nist,L3475,A
Sm,2821.79,0,,2,nist,L3475,A
Sm,2848.33,0,,2,nist,L3475,A
Sm,2866.93,120,,2,nist,L3475,A
Sm,2869.24,0,,2,nist,L3475,A
Sm,2908.84,0,,2,nist,L3475,A
Sm,2911.13,130,,2,nist,L3475,A
Sm,2938.34,0,,2,nist,L3475,A
Sm,2944.35,0,,2,nist,L3475,A
Sm,2954.05,150,,2,nist,L3475,A
Sm,2963.61,0,,2,nist,L3475,A
Sm,2969.89,160,,2,nist,L3475,A
Sm,2984.30,100,,2,nist,L3475,A
Sm,2992.44,0,,2,nist,L3475,A
Sm,3035.72,150,,2,nist,L3475,A
Sm,3040.01,100,,2,nist,L3475,A
Sm,3047.82,120,,2,nist,L3475,A
Sm,3072.18,120,,2,nist,L3475,A
Sm,3087.35,100,,2,nist,L3475,A
Sm,3097.78,120,,2,nist,L3475,A
Sm,3103.20,100,,2,nist,L3475,A
Sm,3107.42,250,,2,nist,L3475,A
Sm,3111.10,220,,2,nist,L3475,A
Sm,3118.62,200,,2,nist,L3475,A
Sm,3137.21,270,,2,nist,L3475,A
Sm,3140.88,150,,2,nist,L3475,A
Sm,3148.10,150,,2,nist,L3475,A
Sm,3153.01,180,,2,nist,L3475,A
Sm,3153.43,410,,2,nist,L3475,A
Sm,3163.22,150,,2,nist,L3475,A
Sm,3170.80,360,,2,nist,L3475,A
Sm,3179.04,180,,2,nist,L3475,A
Sm,3184.84,720,,2,nist,L3475,A
Sm,3187.93,310,,2,nist,L3475,A
Sm,3188.14,430,,2,nist,L3475,A
Sm,3188.71,360,,2,nist,L3475,A
Sm,3193.93,360,,2,nist,L3475,A
Sm,3197.10,360,,2,nist,L3475,A
Sm,3202.73,150,,2,nist,L3475,A
Sm,3205.83,150,,2,nist,L3475,A
Sm,3208.11,360,,2,nist,L3475,A
Sm,3209.10,180,,2,nist,L3475,A
Sm,3212.66,600,,2,nist,L3475,A
Sm,3215.05,150,,2,nist,L3475,A
Sm,3216.19,270,,2,nist,L3475,A
Sm,3217.78,530,,2,nist,L3475,A
Sm,3219.54,600,,2,nist,L3475,A
