element,wavelength,intensity,acc,state,source,reference,unit
Sn,1016.238,16000,E,2,nist,L18891,A
Sn,1040.720,24000,D+,2,nist,L18891,A
Sn,1041.313,16000,E,2,nist,L18891,A
Sn,10610.340,1300,D+,2,nist,L3149,A
Sn,1062.123,25000,E,2,nist,L18891,A
Sn,10742.199,1200,D+,2,nist,L3149,A
Sn,1108.138,43000,B+,2,nist,L18891,A
Sn,1159.014,53000,C+,2,nist,L18891,A
Sn,1161.434,74000,B+,2,nist,L18891,A
Sn,1162.926,56000,B+,2,nist,L18891,A
Sn,1185.675,37000,,2,nist,L18891,A
Sn,1193.299,66000,,2,nist,L18891,A
Sn,1219.088,91000,B+,2,nist,L18891,A
Sn,1223.715,100000,B+,2,nist,L18891,A
Sn,1242.928,110000,B+,2,nist,L18891,A
Sn,1285.659,31000,,2,nist,L18891,A
Sn,1290.871,200000,B+,2,nist,L18891,A
Sn,1303.902,37000,D+,2,nist,L18891,A
Sn,1312.275,210000,B+,2,nist,L18891,A
Sn,1313.087,100000,D+,2,nist,L18891,A
Sn,1316.572,210000,B+,2,nist,L18891,A
Sn,1317.907,86000,D+,2,nist,L18891,A
Sn,1327.669,33000,,2,nist,L18891,A
Sn,1337.103,67000,D+,2,nist,L18891,A
Sn,1353.843,13000,D+,2,nist,L18891,A
Sn,1358.707,58000,D+,2,nist,L18891,A
Sn,1360.226,120000,D+,2,nist,L18891,A
Sn,1360.226,200000,D+,2,nist,L18891,A
Sn,1363.799,93000,D+,2,nist,L18891,A
Sn,1365.282,100000,D+,2,nist,L18891,A
Sn,1370.651,100000,D+,2,nist,L18891,A
Sn,1375.416,46000,D+,2,nist,L18891,A
Sn,1380.704,68000,D+,2,nist,L18891,A
Sn,1391.100,130000,D+,2,nist,L18891,A
Sn,1393.510,130000,D+,2,nist,L18891,A
Sn,1394.667,62000,E,2,nist,"L17864,L18891",A
Sn,1394.764,19000,D+,2,nist,L18891,A
Sn,1396.399,15000,D+,2,nist,L18891,A
Sn,1400.454,360000,B+,2,nist,L18891,A
Sn,1438.365,5000,,2,nist,L18891,A
Sn,1474.995,530000,B+,2,nist,L18891,A
Sn,1481.747,15000,,2,nist,L18891,A
Sn,1489.091,79000,B+,2,nist,L18891,A
Sn,1495.037,32000,D+,2,nist,L18891,A
Sn,1517.961,33000,D+,2,nist,L18891,A
Sn,1522.206,24000,D+,2,nist,L18891,A
Sn,1527.856,15000,,2,nist,L18891,A
Sn,1543.653,14000,,2,nist,"L17864,L18891",A
Sn,1554.881,60000,D+,2,nist,L18891,A
Sn,1570.056,13000,,2,nist,"L17864,L18891",A
Sn,1574.426,33000,D+,2,nist,L18891,A
Sn,1585.071,14000,D+,2,nist,L18891,A
Sn,1587.532,9200,D+,2,nist,L17864,A
Sn,1593.418,15000,,2,nist,L18891,A
Sn,1602.325,16000,D+,2,nist,L18891,A
Sn,1628.422,22000,,2,nist,L18891,A
Sn,1637.059,16000,D+,2,nist,L18891,A
Sn,1643.262,8100,D+,2,nist,L18891,A
Sn,1648.562,6300,,2,nist,L18891,A
Sn,1665.364,19000,D+,2,nist,L18891,A
