element,wavelength,intensity,acc,state,source,reference,unit
Sn,1010.033,0,,3,nist,L18161,A
Sn,1010.929,150,,3,nist,L18161,A
Sn,1053.885,130,,3,nist,L18161,A
Sn,1118.379,0,,3,nist,L18161,A
Sn,1122.877,0,,3,nist,L18161,A
Sn,1129.336,0,,3,nist,L18161,A
Sn,1131.279,0,,3,nist,L18161,A
Sn,1132.321,0,,3,nist,L18161,A
Sn,1139.300,320,,3,nist,L18161,A
Sn,1140.861,0,,3,nist,L18161,A
Sn,1141.896,0,,3,nist,L18161,A
Sn,1142.846,0,,3,nist,L18161,A
Sn,1143.382,0,,3,nist,L18161,A
Sn,1154.298,0,,3,nist,L18161,A
Sn,1158.347,370,,3,nist,L18161,A
Sn,1161.100,300,,3,nist,L18161,A
Sn,1161.560,190,,3,nist,L18161,A
Sn,1163.505,0,,3,nist,L18161,A
Sn,1164.663,0,,3,nist,L18161,A
Sn,1177.173,0,,3,nist,L18161,A
Sn,1180.612,100,,3,nist,L18161,A
Sn,1184.240,230,,3,nist,L18161,A
Sn,1184.943,0,,3,nist,L18161,A
Sn,1189.731,0,,3,nist,L18161,A
Sn,1190.014,115,,3,nist,L18161,A
Sn,1204.048,0,,3,nist,L18161,A
Sn,1204.075,0,,3,nist,L18161,A
Sn,1209.264,0,,3,nist,L18161,A
Sn,1210.511,400,,3,nist,L18161,A
Sn,1212.418,0,,3,nist,L18161,A
Sn,1212.446,0,,3,nist,L18161,A
Sn,1214.598,0,,3,nist,L18161,A
Sn,1215.090,280,,3,nist,L18161,A
Sn,1216.760,0,,3,nist,L18161,A
Sn,1218.128,180,,3,nist,L18161,A
Sn,1220.226,0,,3,nist,L18161,A
Sn,1221.141,0,,3,nist,L18161,A
Sn,1225.736,0,,3,nist,L18161,A
Sn,1230.149,108,,3,nist,L18161,A
Sn,1231.349,122,,3,nist,L18161,A
Sn,1241.826,102,,3,nist,L18161,A
Sn,1242.143,0,,3,nist,L18161,A
Sn,1243.610,270,,3,nist,L18161,A
Sn,1248.302,0,,3,nist,L18161,A
Sn,1251.383,1000,,3,nist,L18161,A
Sn,1255.195,0,,3,nist,L18161,A
Sn,1256.509,0,,3,nist,L18161,A
Sn,1257.570,0,,3,nist,L18161,A
Sn,1259.898,280,,3,nist,L18161,A
Sn,1272.072,0,,3,nist,L18161,A
Sn,1272.213,0,,3,nist,L18161,A
Sn,1276.294,110,,3,nist,L18161,A
Sn,1281.552,0,,3,nist,L18161,A
Sn,1282.344,0,,3,nist,L18161,A
Sn,1287.156,0,,3,nist,L18161,A
Sn,1291.267,0,,3,nist,L18161,A
Sn,1298.944,0,,3,nist,L18161,A
Sn,1305.961,250,,3,nist,L18161,A
Sn,1310.623,0,,3,nist,L18161,A
Sn,1311.331,0,,3,nist,L18161,A
Sn,1312.003,0,,3,nist,L18161,A
Sn,1313.090,0,,3,nist,L18161,A
Sn,1314.152,0,,3,nist,L18161,A
Sn,1319.560,0,,3,nist,L18161,A
Sn,1320.375,0,,3,nist,L18161,A
Sn,1321.842,0,,3,nist,L18161,A
Sn,1325.701,0,,3,nist,L18161,A
Sn,1325.828,0,,3,nist,L18161,A
Sn,1327.327,350,,3,nist,L18161,A
Sn,1329.306,0,,3,nist,L18161,A
Sn,1329.404,0,,3,nist,L18161,A
Sn,1329.589,0,,3,nist,L18161,A
Sn,1331.730,0,,3,nist,L18161,A
Sn,1333.450,0,,3,nist,L18161,A
Sn,1334.688,220,,3,nist,L18161,A
Sn,1339.014,0,,3,nist,L18161,A
Sn,1341.608,0,,3,nist,L18161,A
Sn,1342.034,0,,3,nist,L18161,A
Sn,1345.311,0,,3,nist,L18161,A
Sn,1346.043,260,,3,nist,L18161,A
Sn,1346.363,0,,3,nist,L18161,A
Sn,1346.747,0,,3,nist,L18161,A
Sn,1347.637,390,,3,nist,L18161,A
Sn,1348.725,0,,3,nist,L18161,A
Sn,1352.427,0,,3,nist,L18161,A
Sn,1354.378,0,,3,nist,L18161,A
Sn,1359.963,0,,3,nist,L18161,A
Sn,1360.224,0,,3,nist,L18161,A
Sn,1366.840,0,,3,nist,L18161,A
Sn,1369.685,180,,3,nist,L18161,A
Sn,1370.633,0,,3,nist,L18161,A
Sn,1373.026,0,,3,nist,L18161,A
Sn,1376.900,0,,3,nist,L18161,A
Sn,1377.035,0,,3,nist,L18161,A
Sn,1382.834,0,,3,nist,L18161,A
Sn,1386.714,230,,3,nist,L18161,A
Sn,1389.085,0,,3,nist,L18161,A
Sn,1391.802,0,,3,nist,L18161,A
Sn,1395.779,0,,3,nist,L18161,A
Sn,1402.977,0,,3,nist,L18161,A
Sn,1410.587,250,,3,nist,L18161,A
Sn,1413.226,0,,3,nist,L18161,A
Sn,1413.775,0,,3,nist,L18161,A
Sn,1414.624,0,,3,nist,L18161,A
Sn,1418.740,0,,3,nist,L18161,A
Sn,1425.505,0,,3,nist,L18161,A
Sn,1428.577,0,,3,nist,L18161,A
Sn,1436.925,145,,3,nist,L18161,A
Sn,1449.738,200,,3,nist,L18161,A
Sn,1455.00,657,,3,nist,L17864,A
Sn,1456.314,0,,3,nist,L18161,A
Sn,1473.892,0,,3,nist,L18161,A
Sn,1483.430,0,,3,nist,L18161,A
Sn,1487.952,0,,3,nist,L18161,A
Sn,1488.405,130,,3,nist,L18161,A
Sn,1488.775,0,,3,nist,L18161,A
Sn,1494.887,0,,3,nist,L18161,A
Sn,1495.346,0,,3,nist,L18161,A
Sn,1510.623,0,,3,nist,L18161,A
Sn,1532.891,0,,3,nist,L18161,A
Sn,1537.715,0,,3,nist,L18161,A
Sn,1570.342,210,,3,nist,L18161,A
Sn,1602.444,0,,3,nist,L18161,A
Sn,1621.693,0,,3,nist,L18161,A
Sn,1622.994,100,,3,nist,L18161,A
Sn,1626.398,0,,3,nist,L18161,A
Sn,1628.409,0,,3,nist,L18161,A
Sn,1637.042,0,,3,nist,L18161,A
Sn,1640.593,0,,3,nist,L18161,A
Sn,1646.937,0,,3,nist,L18161,A
Sn,1649.021,0,,3,nist,L18161,A
Sn,1652.506,0,,3,nist,L18161,A
Sn,1674.274,0,,3,nist,L18161,A
Sn,1686.52,959,,3,nist,L17864,A
Sn,1707.95,859,,3,nist,L17864,A
Sn,1722.03,808,,3,nist,L17864,A
Sn,1796.171,0,,3,nist,L18161,A
Sn,1811.710,800,,3,nist,L18161,A
Sn,1829.621,0,,3,nist,L18161,A
Sn,1931.13,914,,3,nist,L17864,A
Sn,1941.837,0,,3,nist,L18161,A
Sn,1955.501,0,,3,nist,L18161,A
Sn,1991.673,0,,3,nist,L18161,A
Sn,2033.304,0,,3,nist,L18161,A
Sn,2052.75,744,,3,nist,L17864,A
Sn,2062.43,521,,3,nist,L17864,A
Sn,2064.44,817,,3,nist,L17864,A
Sn,2067.651,0,,3,nist,L18161,A
Sn,2069.23,452,,3,nist,L17864,A
Sn,2070.637,130,,3,nist,L18161,A
Sn,2082.45,876,,3,nist,L17864,A
Sn,2094.47,661,,3,nist,L17864,A
Sn,2109.80,351,,3,nist,L17864,A
Sn,2112.40,355,,3,nist,L17864,A
Sn,2115.81,549,,3,nist,L17864,A
Sn,2148.97,390,,3,nist,L17864,A
Sn,2149.53,380,,3,nist,L17864,A
Sn,2155.95,260,,3,nist,L17864,A
Sn,2156.86,803,,3,nist,L17864,A
Sn,2157.68,691,,3,nist,L17864,A
Sn,2157.68,691,,3,nist,L17864,A
Sn,2161.40,592,,3,nist,L17864,A
Sn,2162.27,935,,3,nist,L17864,A
Sn,2174.54,313,,3,nist,L17864,A
Sn,2174.54,313,,3,nist,L17864,A
Sn,2175.01,810,,3,nist,L17864,A
Sn,2177.25,945,,3,nist,L17864,A
Sn,2182.56,550,,3,nist,L17864,A
Sn,2210.66,861,,3,nist,L17864,A
Sn,2215.54,149,,3,nist,L17864,A
Sn,2233.35,588,,3,nist,L17864,A
Sn,2563.28,260,,3,nist,L17864,A
Sn,2564.23,283,,3,nist,L17864,A
Sn,2565.70,496,,3,nist,L17864,A
Sn,2565.70,496,,3,nist,L17864,A
Sn,2570.72,386,,3,nist,L17864,A
Sn,2588.15,299,,3,nist,L17864,A
Sn,2589.49,374,,3,nist,L17864,A
Sn,2589.49,374,,3,nist,L17864,A
Sn,2619.46,291,,3,nist,L17864,A
Sn,2632.59,228,,3,nist,L17864,A
Sn,2640.97,435,,3,nist,L17864,A
Sn,2644.32,228,,3,nist,L17864,A
Sn,2646.86,280,,3,nist,L17864,A
Sn,2659.35,224,,3,nist,L17864,A
Sn,2666.27,261,,3,nist,L17864,A
Sn,2668.88,370,,3,nist,L17864,A
Sn,2896.92,0,,3,nist,L17864,A
Sn,3392.90,437,,3,nist,L17864,A
Sn,3599.38,210,,3,nist,L17864,A
Sn,3609.87,182,,3,nist,L17864,A
Sn,3708.66,177,,3,nist,L17864,A
Sn,3730.81,216,,3,nist,L17864,A
Sn,3735.94,168,,3,nist,L17864,A
Sn,3735.94,168,,3,nist,L17864,A
Sn,3740.89,212,,3,nist,L17864,A
Sn,3746.31,165,,3,nist,L17864,A
Sn,3746.31,165,,3,nist,L17864,A
Sn,3747.50,171,,3,nist,L17864,A
Sn,3764.96,184,,3,nist,L17864,A
Sn,3779.87,242,,3,nist,L17864,A
Sn,3784.62,202,,3,nist,L17864,A
Sn,3786.95,215,,3,nist,L17864,A
Sn,3786.95,215,,3,nist,L17864,A
Sn,3907.9,170,,3,nist,L17864,A
Sn,3963.1,231,,3,nist,L17864,A
Sn,4331.4,309,,3,nist,L17864,A
Sn,4587.1,0,,3,nist,L17864,A
Sn,4672.0,241,,3,nist,L17864,A
Sn,4717.1,164,,3,nist,L17864,A
Sn,4859.8,0,,3,nist,L17864,A
Sn,4925.6,131,,3,nist,L17864,A
Sn,5021.8,302,,3,nist,L17864,A
Sn,510.066,0,,3,nist,L18161,A
Sn,5101.7,145,,3,nist,L17864,A
Sn,511.836,0,,3,nist,L18161,A
Sn,5226.5,225,,3,nist,L17864,A
Sn,5292.7,448,,3,nist,L17864,A
Sn,5350.6,271,,3,nist,L17864,A
Sn,5370.9,421,,3,nist,L17864,A
Sn,6014.9,419,,3,nist,L17864,A
Sn,602.55,858,,3,nist,L17864,A
Sn,607.02,863,,3,nist,L17864,A
Sn,608.59,841,,3,nist,L17864,A
Sn,614.528,180,,3,nist,L18161,A
Sn,622.04,848,,3,nist,L17864,A
Sn,623.90,763,,3,nist,L17864,A
Sn,624.154,120,,3,nist,L18161,A
Sn,644.721,0,,3,nist,L18161,A
Sn,647.607,0,,3,nist,L18161,A
Sn,651.438,0,,3,nist,L18161,A
Sn,654.595,0,,3,nist,L18161,A
Sn,668.667,0,,3,nist,L18161,A
Sn,672.341,0,,3,nist,L18161,A
Sn,6905.6,538,,3,nist,L17864,A
Sn,7081.3,485,,3,nist,L17864,A
Sn,713.00,819,,3,nist,L17864,A
Sn,714.74,881,,3,nist,L17864,A
Sn,7202.6,373,,3,nist,L17864,A
Sn,7349.2,0,,3,nist,L17864,A
Sn,743.525,0,,3,nist,L18161,A
Sn,744.213,130,,3,nist,L18161,A
Sn,751.167,0,,3,nist,L18161,A
Sn,752.985,150,,3,nist,L18161,A
Sn,753.455,110,,3,nist,L18161,A
Sn,7574.3,0,,3,nist,L17864,A
Sn,760.585,150,,3,nist,L18161,A
Sn,773.094,0,,3,nist,L18161,A
Sn,7742.4,0,,3,nist,L17864,A
Sn,775.760,180,,3,nist,L18161,A
Sn,776.564,0,,3,nist,L18161,A
Sn,777.058,0,,3,nist,L18161,A
Sn,777.401,0,,3,nist,L18161,A
Sn,784.648,180,,3,nist,L18161,A
Sn,7897.3,132,,3,nist,L17864,A
Sn,8267.2,256,,3,nist,L17864,A
Sn,910.922,150,,3,nist,L18161,A
Sn,925.216,100,,3,nist,L18161,A
