element,wavelength,intensity,acc,state,source,reference,unit
Sr,100.034,650,,14,nist,L9211,A
Sr,100.123,0,,25,nist,L11012,A
Sr,100.540,0,,23,nist,L10543,A
Sr,100.591,0,,10,nist,L5322,A
Sr,100.904,0,,10,nist,L5322,A
Sr,1000.327,0,,3,nist,L1771,A
Sr,1000.567,0,,5,nist,L6378,A
Sr,1001.446,0,,3,nist,L1771,A
Sr,1002.933,0,,5,nist,L6378,A
Sr,1003.106,0,,4,nist,L4311,A
Sr,1003.905,0,,3,nist,L1771,A
Sr,10039.405,9000,C+,2,nist,"L7362,L2631",A
Sr,10039.410,300,,1,nist,L7362,A
Sr,10039.410,300,,1,nist,L7362,A
Sr,1006.113,0,,4,nist,L4311,A
Sr,1007.198,0,,5,nist,L6378,A
Sr,1008.909,0,,4,nist,L4311,A
Sr,101.347,0,,24,nist,L10627,A
Sr,101.765,0,,25,nist,L11012,A
Sr,101.860,0,,26,nist,L10862,A
Sr,1011.419,0,,5,nist,L6378,A
Sr,1011.693,0,,4,nist,L4311,A
Sr,1011.813,0,,3,nist,L1771,A
Sr,1012.339,0,,4,nist,L4311,A
Sr,1012.520,0,,3,nist,L1771,A
Sr,1013.353,0,,4,nist,L4311,A
Sr,1013.711,0,,5,nist,L6378,A
Sr,1015.736,0,,5,nist,L6378,A
Sr,1016.919,0,,3,nist,L1771,A
Sr,102.077,0,,26,nist,L10862,A
Sr,102.077,0,,26,nist,L10862,A
Sr,102.223,130,,14,nist,L9211,A
Sr,102.506,0,,26,nist,L10862,A
Sr,102.798,0,,24,nist,L10627,A
Sr,102.909,0,,25,nist,L11012,A
Sr,1020.001,0,,5,nist,L6378,A
Sr,1020.437,0,,5,nist,L6378,A
Sr,1022.522,0,,3,nist,L1771,A
Sr,1023.715,0,,3,nist,L1771,A
Sr,1025.233,100,,3,nist,L1771,A
Sr,1027.408,0,,5,nist,L6378,A
Sr,1028.228,0,,4,nist,L4311,A
Sr,1029.070,0,,4,nist,L3647,A
Sr,1029.970,0,,4,nist,L4311,A
Sr,103.316,0,,25,nist,L11012,A
Sr,1030.441,0,,5,nist,L6378,A
Sr,1031.343,0,,5,nist,L6378,A
Sr,1032.524,0,,3,nist,L1771,A
Sr,1032.9,0,,24,nist,L10627,A
Sr,1033.265,0,,3,nist,L1771,A
Sr,1033.509,0,,5,nist,L6378,A
Sr,10330.139,100000,C+,2,nist,"L7362,L2631",A
Sr,1037.840,0,,3,nist,L1771,A
Sr,1037.925,0,,4,nist,L4311,A
Sr,1038.991,0,,5,nist,L6378,A
Sr,104.060,0,,27,nist,L10765,A
Sr,104.239,0,,25,nist,L11012,A
Sr,104.389,0,,26,nist,L10862,A
Sr,104.900,0,,25,nist,L11012,A
Sr,1041.466,0,,5,nist,L6378,A
Sr,1041.936,0,,5,nist,L6378,A
Sr,1042.459,0,,3,nist,L1771,A
Sr,1042.818,0,,4,nist,L4311,A
Sr,1043.678,0,,3,nist,L1771,A
Sr,1044.920,0,,3,nist,L1771,A
Sr,105.178,0,,26,nist,L10862,A
Sr,105.349,0,,24,nist,L10627,A
Sr,105.686,0,,26,nist,L10862,A
Sr,105.815,0,,25,nist,L11012,A
Sr,1050.430,0,,5,nist,L6378,A
Sr,1051.034,0,,4,nist,L3647,A
Sr,1051.656,0,,3,nist,L1771,A
Sr,1051.804,0,,3,nist,L1771,A
Sr,1053.498,0,,3,nist,L1771,A
