element,wavelength,intensity,acc,state,source,reference,unit
Sr,10039.410,300,,1,nist,L7362,A
Sr,10039.410,300,,1,nist,L7362,A
Sr,10867.3,0,,1,nist,L2631,A
Sr,10987.0,0,,1,nist,L2631,A
Sr,11244.33,700,,1,nist,L2631,A
Sr,12051.0,0,,1,nist,L2631,A
Sr,12101.3,0,,1,nist,L2631,A
Sr,12174.9,0,,1,nist,L2631,A
Sr,12239.5,0,,1,nist,L2631,A
Sr,12425.8,0,,1,nist,L2631,A
Sr,12425.8,0,,1,nist,L2631,A
Sr,12483.0,0,,1,nist,L2631,A
Sr,12498.4,0,,1,nist,L2631,A
Sr,12505.8,0,,1,nist,L2631,A
Sr,12558.4,0,,1,nist,L2631,A
Sr,12655.7,0,,1,nist,L2631,A
Sr,12665.0,0,,1,nist,L2631,A
Sr,12932.1,0,,1,nist,L2631,A
Sr,12932.1,0,,1,nist,L2631,A
Sr,13464.8,0,,1,nist,L2631,A
Sr,13526.5,0,,1,nist,L2631,A
Sr,14504.9,0,,1,nist,L2631,A
Sr,14724.0,0,C,1,nist,L2631,A
Sr,14729.1,0,,1,nist,L2631,A
Sr,15516.4,0,C,1,nist,L2631,A
Sr,15730.7,0,,1,nist,L2631,A
Sr,15765.4,0,,1,nist,L2631,A
Sr,15765.4,0,,1,nist,L2631,A
Sr,15821.0,0,,1,nist,L2631,A
Sr,15821.0,0,,1,nist,L2631,A
Sr,1676.13,0,,1,nist,L7603,A
Sr,1684.62,0,,1,nist,L7603,A
Sr,1684.62,0,,1,nist,L7603,A
Sr,1688.09,0,,1,nist,L7603,A
Sr,1693.97,0,,1,nist,L7603,A
Sr,1695.76,0,,1,nist,L7603,A
Sr,1697.03,0,,1,nist,L7603,A
Sr,17018.4,0,,1,nist,L2631,A
Sr,1703.20,0,,1,nist,L7603,A
Sr,1705.95,0,,1,nist,L7603,A
Sr,17053.3,0,,1,nist,L2631,A
Sr,1710.58,0,,1,nist,L7603,A
Sr,1711.67,0,,1,nist,L7603,A
Sr,1712.44,0,,1,nist,L7603,A
Sr,17145.6,0,,1,nist,L2631,A
Sr,1715.65,0,,1,nist,L7603,A
Sr,17175.2,0,,1,nist,L2631,A
Sr,17189.1,0,,1,nist,L2631,A
Sr,1721.71,0,,1,nist,L413,A
Sr,1723.50,0,,1,nist,L7603,A
Sr,1731.81,0,,1,nist,L7603,A
Sr,1734.71,0,,1,nist,L7603,A
Sr,1737.03,0,,1,nist,L7603,A
Sr,1739.82,0,,1,nist,L7603,A
Sr,17452.2,0,,1,nist,L2631,A
Sr,1747.17,0,,1,nist,L7603,A
Sr,17489.5,0,,1,nist,L2631,A
Sr,1756.22,0,,1,nist,L413,A
Sr,1766.47,0,,1,nist,L7603,A
Sr,17713.7,0,,1,nist,L2631,A
Sr,1772.79,0,,1,nist,L7603,A
Sr,17747.8,0,,1,nist,L2631,A
Sr,1780.32,0,,1,nist,L7603,A
Sr,1782.29,0,,1,nist,L7603,A
Sr,1790.60,0,,1,nist,L7603,A
Sr,1811.74,0,,1,nist,L413,A
Sr,1827.19,0,,1,nist,L7603,A
Sr,1867.55,0,,1,nist,L7603,A
Sr,1877.83,0,,1,nist,L7603,A
Sr,1957.0,0,,1,nist,L7603,A
Sr,19765.0,0,,1,nist,L2631,A
Sr,2018.3,0,,1,nist,L7603,A
Sr,2023.86,0,,1,nist,L7603,A
Sr,20267.0,230,,1,nist,L2631,A
Sr,20706.3,120,,1,nist,L2631,A
Sr,20770.1,0,,1,nist,L2631,A
Sr,20784.4,0,C,1,nist,L2631,A
Sr,20884.7,0,,1,nist,L2631,A
Sr,2194.663,0,A',1,nist,L7603,A
Sr,2196.900,0,B',1,nist,L7603,A
Sr,2198.350,0,,1,nist,L14021,A
Sr,2199.579,0,B',1,nist,L7603,A
Sr,2201.350,0,,1,nist,L14021,A
Sr,2202.863,0,B',1,nist,L7603,A
Sr,2205.050,0,,1,nist,L14021,A
Sr,2206.927,0,B',1,nist,L7603,A
Sr,2209.700,0,,1,nist,L14021,A
Sr,2211.999,0,B',1,nist,L7603,A
Sr,2215.575,0,,1,nist,L14021,A
Sr,2218.507,0,B',1,nist,L7603,A
Sr,2223.256,0,,1,nist,L14021,A
Sr,2226.996,0,B',1,nist,L7603,A
Sr,2233.465,0,,1,nist,L14021,A
Sr,2235.665,0,,1,nist,L14021,A
Sr,2238.350,0,B',1,nist,L7603,A
Sr,2245.869,0,,1,nist,L14021,A
Sr,2247.560,0,,1,nist,L14021,A
Sr,2253.954,0,B,1,nist,L7603,A
Sr,2276.007,0,B',1,nist,L7603,A
Sr,2307.974,0,B',1,nist,L7603,A
Sr,2355.039,0,C+,1,nist,L7362,A
Sr,2428.832,160,C+,1,nist,L7362,A
Sr,2570.239,0,B,1,nist,L7362,A
Sr,26030.7,0,,1,nist,L2631,A
Sr,2932.688,130,C+,1,nist,L7362,A
Sr,3173.20,0,,1,nist,L7603,A
Sr,3179.95,0,,1,nist,L7603,A
Sr,3183.50,0,,1,nist,L7603,A
Sr,3184.79,0,,1,nist,L7603,A
Sr,3190.15,0,,1,nist,L7603,A
Sr,3190.86,0,,1,nist,L7603,A
Sr,3199.92,0,,1,nist,L7603,A
Sr,3201.12,0,,1,nist,L7603,A
Sr,3206.04,0,,1,nist,L7603,A
Sr,3302.685,420,B',1,nist,L7362,A
Sr,3308.486,430,,1,nist,L7362,A
Sr,3323.187,260,,1,nist,L7362,A
Sr,3330.946,270,,1,nist,L7362,A
Sr,3352.209,1400,,1,nist,L7362,A
Sr,3367.300,500,,1,nist,L7362,A
Sr,3500.673,200,,1,nist,L7362,A
Sr,3549.097,190,,1,nist,L7362,A
Sr,3578.264,0,,1,nist,L7362,A
Sr,3629.379,0,,1,nist,L7362,A
Sr,3630.179,150,,1,nist,L7362,A
Sr,3640.939,0,,1,nist,L4447,A
Sr,3644.876,0,,1,nist,L4447,A
Sr,3645.634,0,,1,nist,L4447,A
Sr,3648.869,0,,1,nist,L4447,A
Sr,3651.199,0,,1,nist,L4447,A
Sr,3653.574,0,,1,nist,L4447,A
Sr,3654.311,180,,1,nist,L7362,A
Sr,3654.969,0,,1,nist,L7362,A
Sr,3657.861,0,,1,nist,L4447,A
Sr,3658.255,0,,1,nist,L4447,A
Sr,3659.167,100,,1,nist,L4447,A
Sr,3662.310,100,,1,nist,L4447,A
Sr,3665.871,110,,1,nist,L4447,A
Sr,3665.951,0,,1,nist,L4447,A
Sr,3667.037,120,,1,nist,L4447,A
Sr,3672.673,120,,1,nist,L4447,A
Sr,3673.997,120,,1,nist,L4447,A
Sr,3675.905,0,,1,nist,L4447,A
Sr,3679.415,140,,1,nist,L4447,A
Sr,3683.968,130,,1,nist,L4447,A
Sr,3687.608,140,,1,nist,L4447,A
Sr,3688.311,0,,1,nist,L4447,A
Sr,3696.461,150,,1,nist,L4447,A
Sr,3697.665,150,,1,nist,L4447,A
Sr,3704.132,100,,1,nist,L4447,A
Sr,3706.955,250,,1,nist,L7362,A
Sr,3707.729,180,,1,nist,L4447,A
Sr,3710.228,150,,1,nist,L4447,A
Sr,3712.335,140,,1,nist,L4447,A
Sr,3724.687,100,,1,nist,L4447,A
Sr,3726.224,190,,1,nist,L4447,A
Sr,3732.987,180,,1,nist,L4447,A
Sr,3747.023,200,,1,nist,L4447,A
Sr,3752.136,140,,1,nist,L4447,A
Sr,3760.561,190,,1,nist,L4447,A
Sr,3774.802,220,,1,nist,L4447,A
Sr,3781.601,0,,1,nist,L7362,A
Sr,3789.994,190,,1,nist,L4447,A
Sr,3798.580,240,,1,nist,L4447,A
Sr,3798.604,100,,1,nist,L4447,A
Sr,3808.505,200,,1,nist,L7362,A
Sr,3813.102,200,,1,nist,L4447,A
Sr,3813.126,0,,1,nist,L4447,A
Sr,3844.415,220,,1,nist,L4447,A
Sr,3853.236,280,,1,nist,L4447,A
Sr,3866.547,240,,1,nist,L7362,A
Sr,3868.163,290,,1,nist,L4447,A
Sr,3920.676,250,,1,nist,L4447,A
Sr,3925.295,280,,1,nist,L4447,A
Sr,3926.984,280,,1,nist,L4447,A
Sr,3930.720,280,,1,nist,L4447,A
