element,wavelength,intensity,acc,state,source,reference,unit
Sr,1000.327,0,,3,nist,L1771,A
Sr,1001.446,0,,3,nist,L1771,A
Sr,1003.905,0,,3,nist,L1771,A
Sr,1011.813,0,,3,nist,L1771,A
Sr,1012.520,0,,3,nist,L1771,A
Sr,1016.919,0,,3,nist,L1771,A
Sr,1022.522,0,,3,nist,L1771,A
Sr,1023.715,0,,3,nist,L1771,A
Sr,1025.233,100,,3,nist,L1771,A
Sr,1032.524,0,,3,nist,L1771,A
Sr,1033.265,0,,3,nist,L1771,A
Sr,1037.840,0,,3,nist,L1771,A
Sr,1042.459,0,,3,nist,L1771,A
Sr,1043.678,0,,3,nist,L1771,A
Sr,1044.920,0,,3,nist,L1771,A
Sr,1051.656,0,,3,nist,L1771,A
Sr,1051.804,0,,3,nist,L1771,A
Sr,1053.498,0,,3,nist,L1771,A
Sr,1055.295,0,,3,nist,L1771,A
Sr,1057.737,0,,3,nist,L1771,A
Sr,1058.832,0,,3,nist,L1771,A
Sr,1059.831,0,,3,nist,L1771,A
Sr,1060.196,0,,3,nist,L1771,A
Sr,1060.931,0,,3,nist,L1771,A
Sr,1062.112,0,,3,nist,L1771,A
Sr,1063.987,0,,3,nist,L1771,A
Sr,1065.018,0,,3,nist,L1771,A
Sr,1079.449,0,,3,nist,L1771,A
Sr,1079.720,0,,3,nist,L1771,A
Sr,1080.829,0,,3,nist,L1771,A
Sr,1081.386,0,,3,nist,L1771,A
Sr,1085.855,0,,3,nist,L1771,A
Sr,1087.009,0,,3,nist,L1771,A
Sr,1093.355,0,,3,nist,L1771,A
Sr,1098.771,0,,3,nist,L1771,A
Sr,1099.925,0,,3,nist,L1771,A
Sr,1101.109,0,,3,nist,L1771,A
Sr,1120.847,0,,3,nist,L1771,A
Sr,1125.494,0,,3,nist,L1771,A
Sr,1131.818,0,,3,nist,L1771,A
Sr,1132.951,0,,3,nist,L1771,A
Sr,1138.761,0,,3,nist,L1771,A
Sr,1140.239,0,,3,nist,L1771,A
Sr,1143.995,0,,3,nist,L1771,A
Sr,1148.444,0,,3,nist,L1771,A
Sr,1148.444,0,,3,nist,L1771,A
Sr,1154.448,0,,3,nist,L1771,A
Sr,1162.323,0,,3,nist,L1771,A
Sr,1168.270,0,,3,nist,L1771,A
Sr,1169.162,0,,3,nist,L1771,A
Sr,1170.397,0,,3,nist,L1771,A
Sr,1174.127,0,,3,nist,L1771,A
Sr,1180.047,0,,3,nist,L1771,A
Sr,1180.727,0,,3,nist,L1771,A
Sr,1181.601,0,,3,nist,L1771,A
Sr,1182.090,0,,3,nist,L1771,A
Sr,1193.219,0,,3,nist,L1771,A
Sr,1203.611,0,,3,nist,L1771,A
Sr,1205.475,0,,3,nist,L1771,A
Sr,1208.873,0,,3,nist,L1771,A
Sr,1210.676,0,,3,nist,L1771,A
Sr,1215.149,0,,3,nist,L1771,A
Sr,1216.797,0,,3,nist,L1771,A
Sr,1218.922,0,,3,nist,L1771,A
Sr,1219.948,0,,3,nist,L1771,A
Sr,1226.336,0,,3,nist,L1771,A
Sr,1227.858,0,,3,nist,L1771,A
Sr,1233.254,0,,3,nist,L1771,A
Sr,1234.491,0,,3,nist,L1771,A
Sr,1236.233,100,,3,nist,L1771,A
Sr,1245.876,0,,3,nist,L1771,A
Sr,1279.134,0,,3,nist,L1771,A
Sr,1286.003,0,,3,nist,L1771,A
Sr,1290.178,0,,3,nist,L1771,A
Sr,1291.147,0,,3,nist,L1771,A
Sr,1294.748,0,,3,nist,L1771,A
Sr,1312.657,0,,3,nist,L1771,A
Sr,1314.768,0,,3,nist,L1771,A
Sr,1327.831,0,,3,nist,L1771,A
Sr,1331.504,0,,3,nist,L1771,A
Sr,1332.358,0,,3,nist,L1771,A
Sr,1337.287,0,,3,nist,L1771,A
