element,wavelength,intensity,acc,state,source,reference,unit
Sr,1003.106,0,,4,nist,L4311,A
Sr,1006.113,0,,4,nist,L4311,A
Sr,1008.909,0,,4,nist,L4311,A
Sr,1011.693,0,,4,nist,L4311,A
Sr,1012.339,0,,4,nist,L4311,A
Sr,1013.353,0,,4,nist,L4311,A
Sr,1028.228,0,,4,nist,L4311,A
Sr,1029.070,0,,4,nist,L3647,A
Sr,1029.970,0,,4,nist,L4311,A
Sr,1037.925,0,,4,nist,L4311,A
Sr,1042.818,0,,4,nist,L4311,A
Sr,1051.034,0,,4,nist,L3647,A
Sr,1055.616,0,,4,nist,L4311,A
Sr,1059.971,0,,4,nist,L3647,A
Sr,1060.011,0,,4,nist,L3647,A
Sr,1076.997,0,,4,nist,L4311,A
Sr,1086.907,0,,4,nist,L3647,A
Sr,1087.371,0,,4,nist,L3647,A
Sr,1096.599,0,,4,nist,L4311,A
Sr,1097.198,0,,4,nist,L3647,A
Sr,1100.391,0,,4,nist,L3647,A
Sr,1107.303,0,,4,nist,L3647,A
Sr,1110.449,0,,4,nist,L3647,A
Sr,1112.475,0,,4,nist,L3647,A
Sr,1116.115,0,,4,nist,L4311,A
Sr,1124.120,0,,4,nist,L3647,A
Sr,1124.120,0,,4,nist,L3647,A
Sr,1126.202,0,,4,nist,L3647,A
Sr,1128.736,0,,4,nist,L3647,A
Sr,1130.635,0,,4,nist,L4311,A
Sr,1131.942,0,,4,nist,L3647,A
Sr,1135.969,0,,4,nist,L3647,A
Sr,1136.975,0,,4,nist,L4311,A
Sr,1141.026,0,,4,nist,L3647,A
Sr,1148.024,0,,4,nist,L4311,A
Sr,1149.618,0,,4,nist,L4311,A
Sr,1150.288,0,,4,nist,L3647,A
Sr,1160.348,0,,4,nist,L3647,A
Sr,1163.730,0,,4,nist,L3647,A
Sr,1163.730,0,,4,nist,L3647,A
Sr,1164.038,0,,4,nist,L3647,A
Sr,1167.446,0,,4,nist,L3647,A
Sr,1185.687,0,,4,nist,L4311,A
Sr,1188.100,0,,4,nist,L3647,A
Sr,1188.666,0,,4,nist,L3647,A
Sr,1189.212,0,,4,nist,L3647,A
Sr,1189.780,0,,4,nist,L3647,A
Sr,1197.360,0,,4,nist,L3647,A
Sr,1197.698,0,,4,nist,L4311,A
Sr,1200.169,0,,4,nist,L4311,A
Sr,1200.412,0,,4,nist,L3647,A
Sr,1201.290,0,,4,nist,L3647,A
Sr,1202.699,0,,4,nist,L3647,A
Sr,1204.910,0,,4,nist,L4311,A
