element,wavelength,intensity,acc,state,source,reference,unit
Sr,1000.567,0,,5,nist,L6378,A
Sr,1002.933,0,,5,nist,L6378,A
Sr,1007.198,0,,5,nist,L6378,A
Sr,1011.419,0,,5,nist,L6378,A
Sr,1013.711,0,,5,nist,L6378,A
Sr,1015.736,0,,5,nist,L6378,A
Sr,1020.001,0,,5,nist,L6378,A
Sr,1020.437,0,,5,nist,L6378,A
Sr,1027.408,0,,5,nist,L6378,A
Sr,1030.441,0,,5,nist,L6378,A
Sr,1031.343,0,,5,nist,L6378,A
Sr,1033.509,0,,5,nist,L6378,A
Sr,1038.991,0,,5,nist,L6378,A
Sr,1041.466,0,,5,nist,L6378,A
Sr,1041.936,0,,5,nist,L6378,A
Sr,1050.430,0,,5,nist,L6378,A
Sr,1056.108,0,,5,nist,L6378,A
Sr,1060.409,0,,5,nist,L6378,A
Sr,1065.209,0,,5,nist,L6378,A
Sr,1066.652,0,,5,nist,L6378,A
Sr,1068.251,0,,5,nist,L6378,A
Sr,1069.103,0,,5,nist,L6378,A
Sr,1070.577,0,,5,nist,L6378,A
Sr,1070.817,0,,5,nist,L6378,A
Sr,1073.897,0,,5,nist,L6378,A
Sr,1076.756,0,,5,nist,L6378,A
Sr,1086.146,0,,5,nist,L6378,A
Sr,1087.524,0,,5,nist,L6378,A
Sr,1088.030,0,,5,nist,L6378,A
Sr,1089.684,0,,5,nist,L6378,A
Sr,1132.347,0,,5,nist,L6378,A
Sr,1141.260,0,,5,nist,L6378,A
Sr,1159.599,0,,5,nist,L6378,A
Sr,1163.039,0,,5,nist,L6378,A
Sr,1164.174,0,,5,nist,L6378,A
Sr,1195.612,0,,5,nist,L6378,A
Sr,1207.514,0,,5,nist,L6378,A
Sr,1208.691,0,,5,nist,L6378,A
Sr,1210.831,0,,5,nist,L6378,A
Sr,1222.166,0,,5,nist,L6378,A
Sr,1238.651,0,,5,nist,L6378,A
Sr,1243.371,0,,5,nist,L6378,A
Sr,1243.628,0,,5,nist,L6378,A
Sr,1252.542,0,,5,nist,L6378,A
Sr,1264.520,0,,5,nist,L6378,A
Sr,1266.369,0,,5,nist,L6378,A
Sr,1275.431,0,,5,nist,L6378,A
Sr,1280.601,0,,5,nist,L6378,A
Sr,1280.994,0,,5,nist,L6378,A
Sr,1281.227,0,,5,nist,L6378,A
Sr,1281.911,0,,5,nist,L6378,A
Sr,1282.514,0,,5,nist,L6378,A
Sr,1283.984,0,,5,nist,L6378,A
Sr,1290.546,0,,5,nist,L6378,A
Sr,1292.191,0,,5,nist,L6378,A
Sr,1294.366,0,,5,nist,L6378,A
Sr,1295.654,0,,5,nist,L6378,A
Sr,1302.906,0,,5,nist,L6378,A
Sr,1307.190,0,,5,nist,L6378,A
Sr,1309.154,0,,5,nist,L6378,A
Sr,1309.154,0,,5,nist,L6378,A
Sr,1309.442,0,,5,nist,L6378,A
Sr,1311.331,0,,5,nist,L6378,A
Sr,1313.163,0,,5,nist,L6378,A
Sr,1315.924,0,,5,nist,L6378,A
Sr,1317.874,0,,5,nist,L6378,A
Sr,1318.047,0,,5,nist,L6378,A
