element,wavelength,intensity,acc,state,source,reference,unit
Ta,2140.80,1100,,2,nist,L3475,A
Ta,2147.55,1500,,2,nist,L3475,A
Ta,2151.30,740,,2,nist,L3475,A
Ta,2165.69,600,,2,nist,L3475,A
Ta,2178.71,740,,2,nist,L3475,A
Ta,2183.39,1200,,2,nist,L3475,A
Ta,2193.89,540,,2,nist,L3475,A
Ta,2194.57,1100,,2,nist,L3475,A
Ta,2196.72,1500,,2,nist,L3475,A
Ta,2200.36,1500,,2,nist,L3475,A
Ta,2207.83,500,,2,nist,L3475,A
Ta,2210.72,1400,,2,nist,L3475,A
Ta,2210.88,1400,,2,nist,L3475,A
Ta,2216.29,420,,2,nist,L3475,A
Ta,2240.18,1400,,2,nist,L3475,A
Ta,2240.18,1400,,2,nist,L3475,A
Ta,2249.18,240,,2,nist,L3475,A
Ta,2250.49,480,,2,nist,L3475,A
Ta,2251.46,1200,,2,nist,L3475,A
Ta,2255.56,260,,2,nist,L3475,A
Ta,2256.47,440,,2,nist,L3475,A
Ta,2257.21,360,,2,nist,L3475,A
Ta,2259.41,500,,2,nist,L3475,A
Ta,2262.12,840,,2,nist,L3475,A
Ta,2262.32,260,,2,nist,L3475,A
Ta,2263.00,990,,2,nist,L3475,A
Ta,2270.26,220,,2,nist,L3475,A
Ta,2272.55,740,,2,nist,L3475,A
Ta,2273.29,990,,2,nist,L3475,A
Ta,2282.89,320,,2,nist,L3475,A
Ta,2285.73,130,,2,nist,L3475,A
Ta,2285.96,790,,2,nist,L3475,A
Ta,2287.30,600,,2,nist,L3475,A
Ta,2287.98,240,,2,nist,L3475,A
Ta,2289.87,990,,2,nist,L3475,A
Ta,2293.25,180,,2,nist,L3475,A
Ta,2302.18,160,,2,nist,L3475,A
Ta,2302.95,440,,2,nist,L3475,A
Ta,2303.64,440,,2,nist,L3475,A
Ta,2304.20,300,,2,nist,L3475,A
Ta,2309.17,100,,2,nist,L3475,A
Ta,2313.31,440,,2,nist,L3475,A
Ta,2316.17,420,,2,nist,L3475,A
Ta,2319.87,260,,2,nist,L3475,A
Ta,2332.01,100,,2,nist,L3475,A
Ta,2332.70,690,,2,nist,L3475,A
Ta,2332.91,550,,2,nist,L3475,A
Ta,2334.85,110,,2,nist,L3475,A
Ta,2335.60,180,,2,nist,L3475,A
Ta,2336.47,140,,2,nist,L3475,A
Ta,2339.00,300,,2,nist,L3475,A
Ta,2341.66,200,,2,nist,L3475,A
Ta,2342.33,200,,2,nist,L3475,A
Ta,2344.36,130,,2,nist,L3475,A
Ta,2347.14,100,,2,nist,L3475,A
Ta,2352.71,0,,2,nist,L3475,A
Ta,2354.58,170,,2,nist,L3475,A
Ta,2355.94,120,,2,nist,L3475,A
Ta,2356.77,170,,2,nist,L3475,A
Ta,2357.62,140,,2,nist,L3475,A
Ta,2359.88,170,,2,nist,L3475,A
Ta,2363.50,160,,2,nist,L3475,A
Ta,2364.04,130,,2,nist,L3475,A
Ta,2364.96,600,,2,nist,L3475,A
Ta,2367.96,0,,2,nist,L3475,A
Ta,2370.04,150,,2,nist,L3475,A
Ta,2371.48,300,,2,nist,L3475,A
Ta,2374.66,100,,2,nist,L3475,A
Ta,2379.04,150,,2,nist,L3475,A
Ta,2381.86,440,,2,nist,L3475,A
Ta,2382.25,240,,2,nist,L3475,A
Ta,2384.45,170,,2,nist,L3475,A
Ta,2385.01,240,,2,nist,L3475,A
Ta,2387.79,1400,,2,nist,L3475,A
Ta,2389.10,0,,2,nist,L3475,A
Ta,2389.84,160,,2,nist,L3475,A
Ta,2400.65,0,,2,nist,L3475,A
Ta,2401.36,2400,,2,nist,L3475,A
Ta,2402.86,140,,2,nist,L3475,A
Ta,2404.41,100,,2,nist,L3475,A
Ta,2408.99,130,,2,nist,L3475,A
Ta,2415.94,240,,2,nist,L3475,A
Ta,2417.62,320,,2,nist,L3475,A
Ta,2418.59,220,,2,nist,L3475,A
Ta,2419.50,150,,2,nist,L3475,A
Ta,2422.59,150,,2,nist,L3475,A
Ta,2424.22,170,,2,nist,L3475,A
Ta,2426.65,130,,2,nist,L3475,A
Ta,2430.45,360,,2,nist,L3475,A
Ta,2431.80,170,,2,nist,L3475,A
Ta,2433.44,480,,2,nist,L3475,A
Ta,2434.33,130,,2,nist,L3475,A
Ta,2437.25,130,,2,nist,L3475,A
Ta,2439.38,110,,2,nist,L3475,A
Ta,2444.87,100,,2,nist,L3475,A
Ta,2464.57,160,,2,nist,L3475,A
Ta,2467.74,130,,2,nist,L3475,A
Ta,2468.12,130,,2,nist,L3475,A
Ta,2471.65,380,,2,nist,L3475,A
Ta,2474.06,120,,2,nist,L3475,A
Ta,2477.42,200,,2,nist,L3475,A
Ta,2482.61,120,,2,nist,L3475,A
Ta,2483.33,100,,2,nist,L3475,A
Ta,2484.79,100,,2,nist,L3475,A
Ta,2489.45,600,,2,nist,L3475,A
Ta,2532.88,600,,2,nist,L3475,A
Ta,2546.25,240,,2,nist,L3475,A
Ta,2555.39,460,,2,nist,L3475,A
Ta,2572.28,340,,2,nist,L3475,A
Ta,2578.14,600,,2,nist,L3475,A
Ta,2584.80,340,,2,nist,L3475,A
Ta,2594.44,410,,2,nist,L3475,A
Ta,2595.03,310,,2,nist,L3475,A
Ta,2597.23,310,,2,nist,L3475,A
Ta,2604.27,600,,2,nist,L3475,A
Ta,2636.37,1200,,2,nist,L3475,A
Ta,2652.01,270,,2,nist,L3475,A
Ta,2666.39,220,,2,nist,L3475,A
Ta,2676.70,770,,2,nist,L3475,A
Ta,2680.86,270,,2,nist,L3475,A
Ta,2681.46,220,,2,nist,L3475,A
Ta,2685.97,1500,,2,nist,L3475,A
Ta,2685.97,1500,,2,nist,L3475,A
Ta,2695.32,470,,2,nist,L3475,A
Ta,2710.07,310,,2,nist,L3475,A
Ta,2728.25,470,,2,nist,L3475,A
Ta,2737.06,310,,2,nist,L3475,A
Ta,2740.07,210,,2,nist,L3475,A
Ta,2753.30,410,,2,nist,L3475,A
Ta,2762.50,430,,2,nist,L3475,A
Ta,2798.58,680,,2,nist,L3475,A
Ta,2817.93,260,,2,nist,L3475,A
Ta,2845.30,290,,2,nist,L3475,A
Ta,2859.28,220,,2,nist,L3475,A
Ta,2966.00,770,,2,nist,L3475,A
Ta,3013.42,1800,,2,nist,L3475,A
Ta,3042.95,290,,2,nist,L3475,A
Ta,3214.84,200,,2,nist,L3475,A
Ta,3275.89,210,,2,nist,L3475,A
Ta,3331.95,330,,2,nist,L3475,A
Ta,3834.83,210,,2,nist,L3475,A
