element,wavelength,intensity,acc,state,source,reference,unit
Tc,2120.076,0,,1,nist,L4515,A
Tc,2156.950,0,,1,nist,L4515,A
Tc,2186.078,0,,1,nist,L4515,A
Tc,2189.740,0,,1,nist,L4515,A
Tc,2194.032,0,,1,nist,L4515,A
Tc,2282.825,0,,1,nist,L149,A
Tc,2283.418,0,,1,nist,L4515,A
Tc,2286.156,0,,1,nist,L4515,A
Tc,2298.788,100,,1,nist,L4515,A
Tc,2416.951,0,,1,nist,L4515,A
Tc,2423.964,0,,1,nist,L4515,A
Tc,2425.274,0,,1,nist,L149,A
Tc,2436.568,0,,1,nist,L4515,A
Tc,2437.733,0,,1,nist,L149,A
Tc,2464.439,0,,1,nist,L4515,A
Tc,2465.832,0,,1,nist,L149,A
Tc,2467.619,0,,1,nist,L149,A
Tc,2475.855,0,,1,nist,L149,A
Tc,2481.448,0,,1,nist,L149,A
Tc,2483.974,0,,1,nist,L4515,A
Tc,2487.246,0,,1,nist,L149,A
Tc,2493.473,0,,1,nist,L149,A
Tc,2493.473,0,,1,nist,L149,A
Tc,2494.184,0,,1,nist,L4515,A
Tc,2510.923,0,,1,nist,L4515,A
Tc,2579.563,300,,1,nist,L149,A
Tc,2590.636,200,,1,nist,L149,A
Tc,2590.964,0,,1,nist,L4515,A
Tc,2593.591,100,,1,nist,L149,A
Tc,2609.634,500,,1,nist,L149,A
Tc,2615.013,1500,,1,nist,L149,A
Tc,2616.654,1000,,1,nist,L149,A
Tc,2619.060,0,,1,nist,L4515,A
Tc,2637.143,0,,1,nist,"L4515,L14280",A
Tc,2642.042,0,,1,nist,L4515,A
Tc,2643.159,100,,1,nist,L149,A
Tc,2649.996,300,,1,nist,L4515,A
Tc,2654.356,0,,1,nist,L4515,A
Tc,2655.096,100,,1,nist,L149,A
Tc,2661.676,120,,1,nist,L149,A
Tc,2663.088,100,,1,nist,L149,A
Tc,2683.936,0,,1,nist,"L4515,L14280",A
Tc,2684.683,0,,1,nist,L149,A
Tc,2693.911,0,,1,nist,L149,A
Tc,2697.436,0,,1,nist,L149,A
Tc,2703.073,0,,1,nist,L149,A
Tc,2709.588,1000,,1,nist,L4515,A
Tc,2716.010,0,,1,nist,L149,A
Tc,2724.357,0,,1,nist,L149,A
Tc,2727.498,1000,,1,nist,"L4515,L14280",A
Tc,2729.279,0,,1,nist,L4515,A
Tc,2731.337,500,,1,nist,L149,A
Tc,2733.681,300,,1,nist,"L4515,L14280",A
Tc,2737.041,150,,1,nist,L149,A
Tc,2738.783,100,,1,nist,L149,A
Tc,2756.576,100,,1,nist,L149,A
Tc,2762.950,100,,1,nist,L149,A
Tc,2763.153,200,,1,nist,L149,A
Tc,2766.764,0,,1,nist,L4515,A
Tc,2766.764,0,,1,nist,L4515,A
Tc,2767.703,500,,1,nist,"L4515,L14280",A
Tc,2779.728,150,,1,nist,L149,A
Tc,2782.043,0,,1,nist,L4515,A
Tc,2782.873,1000,,1,nist,L149,A
Tc,2786.408,500,,1,nist,L149,A
Tc,2789.711,0,,1,nist,L4515,A
Tc,2790.069,500,,1,nist,L149,A
Tc,2795.350,100,,1,nist,L4515,A
Tc,2796.474,0,,1,nist,L149,A
Tc,2803.636,1000,,1,nist,L149,A
Tc,2803.844,150,,1,nist,L149,A
Tc,2809.183,500,,1,nist,L4515,A
Tc,2815.689,0,,1,nist,L149,A
Tc,2820.290,0,,1,nist,L149,A
Tc,2828.874,200,,1,nist,L149,A
Tc,2845.880,0,,1,nist,"L4515,L14280",A
Tc,2850.033,0,,1,nist,L4515,A
Tc,2851.794,150,,1,nist,L149,A
Tc,2857.967,500,,1,nist,L149,A
Tc,2859.950,2000,,1,nist,L149,A
Tc,2865.327,500,,1,nist,L149,A
Tc,2868.929,100,,1,nist,L149,A
Tc,2888.581,1000,,1,nist,L149,A
Tc,2889.305,100,,1,nist,"L4515,L14280",A
Tc,2894.008,200,,1,nist,L149,A
Tc,2894.296,150,,1,nist,L4515,A
Tc,2895.170,200,,1,nist,L149,A
Tc,2897.189,1000,,1,nist,L149,A
Tc,2897.189,1000,,1,nist,L149,A
Tc,2904.664,0,,1,nist,L4515,A
Tc,2914.000,1000,,1,nist,L149,A
Tc,2922.767,500,,1,nist,L149,A
Tc,2929.055,1000,,1,nist,L149,A
Tc,2934.746,0,,1,nist,L149,A
Tc,2956.792,200,,1,nist,L4515,A
Tc,2974.518,200,,1,nist,L4515,A
Tc,2980.207,100,,1,nist,L149,A
Tc,2986.235,150,,1,nist,L4515,A
Tc,3011.708,100,,1,nist,L149,A
Tc,3018.111,300,,1,nist,L149,A
Tc,3022.435,150,,1,nist,L149,A
Tc,3023.545,100,,1,nist,L4515,A
Tc,3024.561,200,,1,nist,L149,A
Tc,3026.144,0,,1,nist,L4515,A
Tc,3027.768,300,,1,nist,L149,A
Tc,3034.041,0,,1,nist,L4515,A
Tc,3035.451,0,,1,nist,L149,A
Tc,3037.762,0,,1,nist,L149,A
Tc,3039.110,100,,1,nist,L4515,A
Tc,3043.528,0,,1,nist,L149,A
Tc,3052.438,100,,1,nist,L4515,A
Tc,3053.362,0,,1,nist,L4515,A
Tc,3063.002,0,,1,nist,L4515,A
Tc,3063.251,200,,1,nist,L4515,A
Tc,3065.558,300,,1,nist,L149,A
Tc,3067.493,100,,1,nist,L4515,A
Tc,3069.229,120,,1,nist,L4515,A
Tc,3077.132,0,,1,nist,L4515,A
Tc,3090.237,150,,1,nist,L4515,A
Tc,3099.997,1000,,1,nist,L149,A
Tc,3100.417,200,,1,nist,L149,A
Tc,3109.156,0,,1,nist,L4515,A
Tc,3110.053,0,,1,nist,L4515,A
Tc,3110.053,0,,1,nist,L149,A
Tc,3116.881,0,,1,nist,L149,A
Tc,3120.075,0,,1,nist,L149,A
Tc,3120.567,0,,1,nist,L149,A
Tc,3123.547,700,,1,nist,L149,A
Tc,3132.141,1500,,1,nist,L149,A
Tc,3151.177,0,,1,nist,L149,A
Tc,3162.589,300,,1,nist,L149,A
Tc,3174.213,3000,,1,nist,L149,A
Tc,3181.225,200,,1,nist,L149,A
Tc,3183.287,2000,,1,nist,L149,A
Tc,3184.029,2000,,1,nist,L149,A
Tc,3198.454,0,,1,nist,L149,A
Tc,3203.757,300,,1,nist,L149,A
Tc,3221.667,0,,1,nist,L149,A
Tc,3230.954,0,,1,nist,L4515,A
Tc,3242.772,100,,1,nist,L149,A
Tc,3245.129,500,,1,nist,"L4515,L14280",A
Tc,3245.129,500,,1,nist,L4515,A
Tc,3252.986,300,,1,nist,L149,A
Tc,3257.041,0,,1,nist,L149,A
Tc,3262.878,0,,1,nist,"L4515,L14280",A
Tc,3288.090,100,,1,nist,"L4515,L14280",A
Tc,3301.720,100,,1,nist,"L4515,L14280",A
Tc,3306.843,0,,1,nist,L149,A
Tc,3311.599,200,,1,nist,L149,A
Tc,3314.606,150,,1,nist,L149,A
Tc,3326.509,200,,1,nist,L4515,A
Tc,3326.509,200,,1,nist,L4515,A
Tc,3328.059,150,,1,nist,L4515,A
Tc,3331.724,100,,1,nist,L149,A
Tc,3333.426,0,,1,nist,L149,A
Tc,3351.526,0,,1,nist,L149,A
Tc,3351.793,0,,1,nist,L149,A
Tc,3367.720,400,,1,nist,"L4515,L14280",A
Tc,3387.646,0,,1,nist,L149,A
Tc,3393.201,0,,1,nist,L4515,A
Tc,3395.153,300,,1,nist,"L4515,L14280",A
Tc,3397.878,0,,1,nist,L149,A
Tc,3398.805,0,,1,nist,L4515,A
Tc,3399.302,300,,1,nist,"L4515,L14280",A
Tc,3399.302,300,,1,nist,L149,A
Tc,3403.081,200,,1,nist,L149,A
Tc,3404.908,200,,1,nist,L149,A
Tc,3406.305,0,,1,nist,L149,A
Tc,3408.259,0,,1,nist,L149,A
Tc,3409.309,0,,1,nist,L4515,A
Tc,3412.783,0,,1,nist,L149,A
Tc,3419.183,0,,1,nist,L149,A
Tc,3420.081,100,,1,nist,L4515,A
Tc,3420.081,100,,1,nist,L4515,A
Tc,3428.836,0,,1,nist,L149,A
Tc,3432.734,0,,1,nist,"L4515,L14280",A
Tc,3435.686,200,,1,nist,L149,A
Tc,3436.664,0,,1,nist,L149,A
Tc,3438.424,150,,1,nist,L149,A
Tc,3439.715,0,,1,nist,L149,A
Tc,3444.459,200,,1,nist,L149,A
Tc,3444.459,200,,1,nist,L4515,A
Tc,3452.039,200,,1,nist,L149,A
Tc,3457.839,200,,1,nist,L149,A
Tc,3458.233,400,,1,nist,L149,A
Tc,3458.593,0,,1,nist,L149,A
Tc,3467.271,5000,,1,nist,L149,A
Tc,3471.508,150,,1,nist,L4515,A
Tc,3476.173,0,,1,nist,L149,A
Tc,3476.587,1000,,1,nist,L149,A
Tc,3485.617,0,,1,nist,L149,A
Tc,3487.224,1000,,1,nist,L149,A
Tc,3491.298,100,,1,nist,L149,A
Tc,3494.394,400,,1,nist,L149,A
Tc,3495.623,500,,1,nist,L149,A
Tc,3500.142,0,,1,nist,"L4515,L14280",A
Tc,3501.706,1000,,1,nist,L149,A
Tc,3502.243,200,,1,nist,L149,A
Tc,3503.706,800,,1,nist,L149,A
Tc,3508.190,100,,1,nist,L149,A
Tc,3509.274,100,,1,nist,L149,A
Tc,3511.916,100,,1,nist,L4515,A
Tc,3526.836,800,,1,nist,L149,A
Tc,3527.186,300,,1,nist,L149,A
Tc,3530.838,100,,1,nist,L149,A
Tc,3535.888,150,,1,nist,L149,A
Tc,3536.516,500,,1,nist,L149,A
Tc,3539.130,300,,1,nist,L149,A
Tc,3539.689,800,,1,nist,L149,A
Tc,3542.784,2000,,1,nist,L149,A
Tc,3550.739,6000,,1,nist,L149,A
Tc,3551.659,4000,,1,nist,L149,A
Tc,3560.771,300,,1,nist,L149,A
Tc,3561.336,800,,1,nist,L149,A
Tc,3566.235,100,,1,nist,L149,A
Tc,3569.872,800,,1,nist,L149,A
Tc,3571.674,100,,1,nist,L149,A
Tc,3571.674,100,,1,nist,L149,A
Tc,3576.441,100,,1,nist,L149,A
Tc,3581.081,1000,,1,nist,L149,A
Tc,3582.280,600,,1,nist,L149,A
Tc,3583.097,800,,1,nist,L149,A
Tc,3583.651,2000,,1,nist,L149,A
Tc,3583.651,2000,,1,nist,L149,A
