element,wavelength,intensity,acc,state,source,reference,unit
Te,1003.760,89000,,2,nist,L15043,A
Te,1007.766,150000,,2,nist,L15043,A
Te,1014.223,140000,,2,nist,L15043,A
Te,1022.713,140000,,2,nist,L15043,A
Te,1023.397,180000,,2,nist,L15043,A
Te,1025.782,91000,,2,nist,L15043,A
Te,1034.696,110000,,2,nist,L15043,A
Te,1037.370,100000,,2,nist,L15043,A
Te,1050.915,42000,,2,nist,L15043,A
Te,1054.185,84000,,2,nist,L15043,A
Te,1054.602,150000,,2,nist,L15043,A
Te,1057.00,150000,,2,nist,L3546,A
Te,1059.447,340000,,2,nist,L15043,A
Te,1068.87,160000,,2,nist,L3546,A
Te,1072.590,110000,,2,nist,L15043,A
Te,1077.663,180000,,2,nist,L15043,A
Te,1081.295,90000,,2,nist,L15043,A
Te,1090.11,490000,,2,nist,L3546,A
Te,1090.877,53000,,2,nist,L15043,A
Te,1095.170,73000,,2,nist,L15043,A
Te,1104.740,93000,,2,nist,L15043,A
Te,1107.654,53000,,2,nist,L15043,A
Te,1113.302,68000,,2,nist,L15043,A
Te,1116.909,99000,,2,nist,L15043,A
Te,1124.097,100000,,2,nist,L15043,A
Te,1126.159,47000,,2,nist,L15043,A
Te,1130.457,35000,,2,nist,L15043,A
Te,1131.044,81000,,2,nist,L15043,A
Te,1138.644,34000,,2,nist,L15043,A
Te,1144.099,47000,,2,nist,L15043,A
Te,1152.588,57000,,2,nist,L15043,A
Te,1161.377,53000,,2,nist,L15043,A
Te,1168.333,110000,,2,nist,L15043,A
Te,1174.281,43000,,2,nist,L15043,A
Te,1175.789,69000,,2,nist,L15043,A
Te,1176.671,45000,,2,nist,L15043,A
Te,1176.842,28000,,2,nist,L15043,A
Te,1179.425,37000,,2,nist,L15043,A
Te,1181.511,30000,,2,nist,L15043,A
Te,1188.880,57000,,2,nist,L15043,A
Te,1196.499,32000,,2,nist,L15043,A
Te,1197.761,34000,,2,nist,L15043,A
Te,1207.953,24000,,2,nist,L15043,A
Te,1208.564,68000,,2,nist,L15043,A
Te,1211.082,40000,,2,nist,L15043,A
Te,1212.583,31000,,2,nist,L15043,A
Te,1213.046,52000,,2,nist,L15043,A
Te,1219.969,34000,,2,nist,L15043,A
Te,1221.067,51000,,2,nist,L15043,A
Te,1224.029,33000,,2,nist,L15043,A
Te,1225.774,18000,,2,nist,L15043,A
Te,1244.211,37000,,2,nist,L15043,A
Te,1246.975,23000,,2,nist,L15043,A
Te,1253.620,41000,,2,nist,L15043,A
Te,1270.024,31000,,2,nist,L15043,A
Te,1270.593,32000,,2,nist,L15043,A
Te,1271.113,18000,,2,nist,L15043,A
Te,1272.689,30000,,2,nist,L15043,A
Te,1274.738,59000,,2,nist,L15043,A
Te,1278.571,15000,,2,nist,L15043,A
Te,1280.457,24000,,2,nist,L15043,A
Te,1295.639,24000,,2,nist,L15043,A
Te,1298.069,69000,,2,nist,L15043,A
Te,1303.648,13000,,2,nist,L15043,A
Te,1306.523,33000,,2,nist,L15043,A
Te,1306.523,33000,,2,nist,L15043,A
Te,1307.130,21000,,2,nist,L15043,A
Te,1310.609,38000,,2,nist,L15043,A
Te,1324.914,26000,,2,nist,L15043,A
Te,1329.828,9400,,2,nist,L15043,A
Te,1334.472,26000,,2,nist,L15043,A
Te,1336.427,28000,,2,nist,L15043,A
Te,1345.207,35000,,2,nist,L15043,A
Te,1363.234,30000,,2,nist,L15043,A
Te,1366.680,30000,,2,nist,L15043,A
Te,1374.812,28000,,2,nist,L15043,A
Te,1376.898,12000,,2,nist,L15043,A
Te,1378.930,14000,,2,nist,L15043,A
Te,1386.115,16000,,2,nist,L15043,A
Te,1395.235,19000,,2,nist,L15043,A
Te,1395.784,13000,,2,nist,L15043,A
Te,1404.662,24000,,2,nist,L15043,A
Te,1404.984,17000,,2,nist,L15043,A
Te,1422.069,7700,,2,nist,L15043,A
Te,1439.406,31000,,2,nist,L15043,A
Te,1461.663,12000,,2,nist,L15043,A
Te,1465.206,12000,,2,nist,L15043,A
Te,1465.715,10000,,2,nist,L15043,A
Te,1467.147,4200,,2,nist,L15043,A
Te,1489.56,10000,,2,nist,L3546,A
Te,1513.354,4600,,2,nist,L15043,A
Te,1540.137,4600,,2,nist,L15043,A
Te,1544.061,2000,,2,nist,L15043,A
Te,1546.279,3900,,2,nist,L15043,A
Te,1547.712,2200,,2,nist,L15043,A
Te,1586.496,3800,,2,nist,L15043,A
Te,1594.179,2700,,2,nist,L15043,A
Te,1600.748,5000,,2,nist,L15043,A
Te,1607.839,4300,,2,nist,L15043,A
Te,1608.41,5100,,2,nist,L3546,A
Te,1613.15,5000,,2,nist,L3546,A
Te,1630.032,2400,,2,nist,L15043,A
Te,1635.928,2300,,2,nist,L15043,A
Te,1638.928,5300,,2,nist,L15043,A
Te,1640.143,2900,,2,nist,L15043,A
Te,1701.537,3700,,2,nist,L15043,A
Te,1727.056,1200,,2,nist,L15043,A
Te,1728.193,1400,,2,nist,L15043,A
Te,1793.603,1300,,2,nist,L15043,A
Te,1837.705,580,,2,nist,L15043,A
Te,1962.87805,2200,,2,nist,L3546,A
Te,2373.78,900,,2,nist,L3546,A
Te,2388.55,510,,2,nist,L3546,A
Te,2402.36,490,,2,nist,L3546,A
Te,2437.21,660,,2,nist,L3546,A
Te,2439.43,1400,,2,nist,L3546,A
Te,2568.59,600,,2,nist,L3546,A
Te,2575.73,300,,2,nist,L3546,A
Te,2576.87,190,,2,nist,L3546,A
Te,2580.01,1600,,2,nist,L3546,A
Te,2591.89,300,,2,nist,L3546,A
Te,2593.63,300,,2,nist,L3546,A
Te,2606.50,300,,2,nist,L3546,A
Te,2622.70,100,,2,nist,L3546,A
Te,2625.64,290,,2,nist,L3546,A
Te,2628.75,570,,2,nist,L3546,A
Te,2642.68,600,,2,nist,L3546,A
Te,2649.27,560,,2,nist,L3546,A
Te,2650.45,1800,,2,nist,L3546,A
Te,2658.49,870,,2,nist,L3546,A
Te,2661.89,1700,,2,nist,L3546,A
Te,2712.378,2000,,2,nist,L3546,A
Te,2842.007,1600,,2,nist,L3546,A
Te,2846.991,970,,2,nist,L3546,A
Te,2859.127,2700,,2,nist,L3546,A
Te,2861.84,1400,,2,nist,L3546,A
Te,2869.659,2300,,2,nist,L3546,A
Te,2896.256,2600,,2,nist,L3546,A
Te,2920.742,1500,,2,nist,L3546,A
Te,2942.972,2200,,2,nist,L3546,A
Te,2947.536,540,,2,nist,L3546,A
Te,2968.154,2800,,2,nist,L3546,A
Te,2974.54,1900,,2,nist,L3546,A
Te,2976.77,5000,,2,nist,L3546,A
Te,2997.91,1600,,2,nist,L3546,A
Te,3012.899,900,,2,nist,L3546,A
Te,3018.460,2000,,2,nist,L3546,A
Te,3024.190,970,,2,nist,L3546,A
