element,wavelength,intensity,acc,state,source,reference,unit
Th,10001.2498,130,,1,nist,L5951,A
Th,10001.7007,260,,1,nist,L5951,A
Th,10002.1702,0,,1,nist,L5951,A
Th,10002.3514,0,,1,nist,L5951,A
Th,10014.1395,270,,1,nist,L5951,A
Th,10019.6478,0,,1,nist,L5951,A
Th,10031.4562,0,,1,nist,L5951,A
Th,10032.2922,0,,1,nist,L5951,A
Th,10034.922,0,,2,nist,L2351,A
Th,10035.7108,0,,1,nist,L5951,A
Th,10035.9718,300,,1,nist,L5951,A
Th,10039.126,0,,2,nist,L2351,A
Th,10039.8700,150,,1,nist,L5951,A
Th,10041.8476,260,,1,nist,L5951,A
Th,10042.11560,6700,,1,nist,L18702,A
Th,10046.6357,0,,3,nist,L5951,A
Th,10046.7792,0,,1,nist,L5951,A
Th,10048.0658,220,,1,nist,L5951,A
Th,10048.7540,0,,2,nist,L5951,A
Th,10050.79054,410,,1,nist,L5951,A
Th,10056.128,380,,1,nist,L3552,A
Th,10056.9403,0,,1,nist,L5951,A
Th,10057.7179,0,,1,nist,L5951,A
Th,10058.5884,0,,1,nist,L5951,A
Th,10058.9654,180,,1,nist,L5951,A
Th,10061.6908,0,,1,nist,L5951,A
Th,10067.9419,0,,1,nist,L5951,A
Th,10081.6666,0,,1,nist,L5951,A
Th,10082.174,0,,1,nist,L2351,A
Th,10082.3041,160,,1,nist,L5951,A
Th,10083.9865,110,,1,nist,L5951,A
Th,10085.4773,0,,1,nist,L5951,A
Th,10085.64280,710,,1,nist,L5951,A
Th,10086.54912,2600,,1,nist,L18702,A
Th,10088.0961,0,,2,nist,L5951,A
Th,10089.1679,270,,1,nist,L5951,A
Th,10091.90010,8300,,1,nist,L18702,A
Th,10095.2953,0,,1,nist,L5951,A
Th,10100.2279,0,,1,nist,L5951,A
Th,10101.3881,0,,1,nist,L5951,A
Th,10105.3433,150,,1,nist,L5951,A
Th,10105.9425,0,,1,nist,L5951,A
Th,10106.5375,0,,1,nist,L5951,A
Th,10107.0767,0,,1,nist,L5951,A
Th,10107.8465,150,,1,nist,L5951,A
Th,10108.3146,0,,1,nist,L5951,A
Th,10109.768,360,,1,nist,L3552,A
Th,10114.6454,130,,1,nist,L5951,A
Th,10116.755,0,,1,nist,L2351,A
Th,10117.5547,0,,1,nist,L5951,A
Th,10120.7631,270,,1,nist,L5951,A
Th,10120.9539,0,,1,nist,L5951,A
Th,10121.5424,0,,1,nist,L5951,A
Th,10123.4282,0,,1,nist,L5951,A
Th,10125.8729,0,,1,nist,L5951,A
Th,10129.3264,0,,1,nist,L5951,A
Th,10130.3230,0,,1,nist,L5951,A
Th,10134.1441,130,,1,nist,L5951,A
Th,10135.7965,0,,1,nist,L5951,A
Th,10136.34339,2100,,2,nist,L5951,A
Th,10139.5647,0,,1,nist,L5951,A
Th,10140.1647,190,,1,nist,L5951,A
Th,10143.20999,1300,,1,nist,L5951,A
Th,10144.17629,4200,,1,nist,L18702,A
Th,10147.04503,720,,1,nist,L5951,A
Th,10159.1903,0,,1,nist,L5951,A
Th,10163.106,380,,1,nist,L3552,A
Th,10172.0883,0,,1,nist,L5951,A
Th,10172.0883,0,,2,nist,L5951,A
Th,10177.79637,1200,,1,nist,L5951,A
Th,10179.8723,0,,1,nist,L5951,A
Th,10181.30859,1500,,1,nist,L5951,A
Th,10183.3833,290,,1,nist,L5951,A
Th,10183.698,0,,2,nist,L2351,A
Th,10187.3301,180,,1,nist,L5951,A
Th,10191.20769,490,,1,nist,L5951,A
