element,wavelength,intensity,acc,state,source,reference,unit
Th,10034.922,0,,2,nist,L2351,A
Th,10039.126,0,,2,nist,L2351,A
Th,10048.7540,0,,2,nist,L5951,A
Th,10088.0961,0,,2,nist,L5951,A
Th,10136.34339,2100,,2,nist,L5951,A
Th,10172.0883,0,,2,nist,L5951,A
Th,10183.698,0,,2,nist,L2351,A
Th,10199.9552,0,,2,nist,L5951,A
Th,10211.0796,0,,2,nist,L5951,A
Th,10222.1824,0,,2,nist,L5951,A
Th,10244.2757,0,,2,nist,L5951,A
Th,10247.7911,0,,2,nist,L5951,A
Th,10250.2257,0,,2,nist,L5951,A
Th,10252.121,0,,2,nist,L2351,A
Th,10291.8112,120,,2,nist,L5951,A
Th,10303.98949,430,,2,nist,L5951,A
Th,10307.6364,0,,2,nist,L5951,A
Th,10318.8381,0,,2,nist,L5951,A
Th,10358.6422,0,,2,nist,L5951,A
Th,10359.2096,0,,2,nist,L5951,A
Th,10362.8403,0,,2,nist,L5951,A
Th,10376.303,0,,2,nist,L2351,A
Th,10394.198,0,,2,nist,L2351,A
Th,10405.1972,0,,2,nist,L5951,A
Th,10407.3610,0,,2,nist,L5951,A
Th,10422.43344,1200,,2,nist,L5951,A
Th,10426.6526,0,,2,nist,L5951,A
Th,10432.52804,540,,2,nist,L5951,A
Th,10486.2384,170,,2,nist,L5951,A
Th,10541.2061,0,,2,nist,L5951,A
Th,10542.286,0,,2,nist,L2351,A
Th,10563.509,0,,2,nist,L2351,A
Th,10575.719,0,,2,nist,L2351,A
Th,10579.496,0,,2,nist,L2351,A
Th,10590.487,0,,2,nist,L2351,A
Th,10598.892,0,,2,nist,L2351,A
Th,10645.775,0,,2,nist,L2372,A
Th,10661.5022,0,,2,nist,L5951,A
Th,10663.7751,0,,2,nist,L5951,A
Th,10726.86153,1400,,2,nist,L5951,A
Th,10743.4029,0,,2,nist,L5951,A
Th,10760.716,0,,2,nist,L2351,A
Th,10793.495,0,,2,nist,L2351,A
Th,10797.0194,0,,2,nist,L5951,A
Th,10823.0431,340,,2,nist,L5951,A
Th,10837.5798,0,,2,nist,L5951,A
Th,10838.2750,0,,2,nist,L5951,A
Th,10864.7761,0,,2,nist,L5951,A
Th,10895.612,0,,2,nist,L2351,A
Th,10927.4798,220,,2,nist,L9974,A
Th,10944.6213,590,,2,nist,L9974,A
Th,10945.24243,2600,,2,nist,L5951,A
Th,10984.867,0,,2,nist,L2351,A
Th,11013.278,0,,2,nist,L2351,A
Th,11016.307,0,,2,nist,L2351,A
Th,11019.032,0,,2,nist,L2351,A
Th,11063.747,0,,2,nist,L2351,A
Th,11072.0797,200,,2,nist,L9974,A
Th,11074.909,0,,2,nist,L2372,A
Th,11110.774,0,,2,nist,L2351,A
Th,11189.776,0,,2,nist,L2351,A
Th,11205.1460,0,,2,nist,L9974,A
Th,11207.8968,170,,2,nist,L9974,A
