element,wavelength,intensity,acc,state,source,reference,unit
Th,10046.6357,0,,3,nist,L5951,A
Th,10257.0209,0,,3,nist,L5951,A
Th,10260.97774,3500,,3,nist,L5951,A
Th,10532.86957,3100,,3,nist,L5951,A
Th,10581.3569,0,,3,nist,L5951,A
Th,10706.57708,920,,3,nist,L5951,A
Th,11216.3025,0,,3,nist,L9974,A
Th,11227.31166,1000,,3,nist,L5951,A
Th,11428.8106,0,,3,nist,L9974,A
Th,11516.6198,0,,3,nist,L9974,A
Th,11720.8818,0,,3,nist,L9974,A
Th,11810.54359,910,,3,nist,L5951,A
Th,12081.2271,0,,3,nist,L9974,A
Th,12320.5001,220,,3,nist,L5951,A
Th,12726.1742,260,,3,nist,L5951,A
Th,12918.7456,0,,3,nist,L9974,A
Th,13075.4609,170,,3,nist,L5951,A
Th,13102.2534,0,,3,nist,L9974,A
Th,13445.6701,0,,3,nist,L9974,A
Th,13465.3190,170,,3,nist,L5951,A
Th,13577.6114,0,,3,nist,L9974,A
Th,13596.9355,0,,3,nist,L9974,A
Th,14271.9111,0,,3,nist,L9974,A
Th,14363.1451,0,,3,nist,L9974,A
Th,14766.5150,0,,3,nist,L9974,A
Th,14781.3542,110,,3,nist,L9974,A
Th,14958.5620,0,,3,nist,L9974,A
Th,15002.9665,180,,3,nist,L9974,A
Th,15127.2142,0,,3,nist,L9974,A
Th,15295.6247,130,,3,nist,L9974,A
Th,15511.6992,0,,3,nist,L9974,A
Th,16064.3736,0,,3,nist,L9974,A
Th,16212.8114,0,,3,nist,L9974,A
Th,16327.1960,0,,3,nist,L9974,A
Th,16488.8131,460,,3,nist,L9974,A
Th,16577.9544,0,,3,nist,L9974,A
Th,17073.9510,0,,3,nist,L9974,A
Th,17494.5290,190,,3,nist,L9974,A
Th,17517.0180,0,,3,nist,L9974,A
Th,17814.480,0,,3,nist,L9974,A
Th,17859.3830,0,,3,nist,L9974,A
Th,18182.379,0,,3,nist,L9974,A
Th,18240.3408,0,,3,nist,L9974,A
Th,18588.420,0,,3,nist,L9974,A
Th,18880.424,0,,3,nist,L9974,A
Th,19947.4409,130,,3,nist,L9974,A
Th,19947.6466,280,,3,nist,L9974,A
Th,20010.8979,250,,3,nist,L14361,A
Th,20306.4569,440,,3,nist,L9974,A
Th,20364.4736,100,,3,nist,L9974,A
Th,20437.205,0,,3,nist,L9974,A
Th,20992.7051,680,,3,nist,L9974,A
Th,21101.5436,1200,,3,nist,L9974,A
Th,21398.121,0,,3,nist,L9974,A
Th,21473.588,0,,3,nist,L9974,A
Th,21509.9517,190,,3,nist,L9974,A
Th,22689.272,0,,3,nist,L9974,A
Th,23628.981,0,,3,nist,L9974,A
Th,23790.6448,0,,3,nist,L9974,A
Th,24005.7180,110,,3,nist,L9974,A
Th,24475.4070,1100,,3,nist,L9974,A
Th,24752.208,0,,3,nist,L9974,A
Th,25335.234,0,,3,nist,L9974,A
Th,25897.409,0,,3,nist,L9974,A
Th,27282.456,0,,3,nist,L9974,A
Th,27451.614,140,,3,nist,L9974,A
Th,2761.48082,140,,3,nist,L5951,A
Th,2766.62421,130,,3,nist,L5951,A
Th,2775.86291,260,,3,nist,L5951,A
Th,2778.98996,0,,3,nist,L5951,A
Th,2785.16261,260,,3,nist,L5951,A
Th,28050.149,0,,3,nist,L9974,A
Th,2812.15505,140,,3,nist,L5951,A
Th,28206.697,0,,3,nist,L9974,A
Th,2825.47348,470,,3,nist,L5951,A
Th,2837.41529,130,,3,nist,L5951,A
Th,2872.53538,150,,3,nist,L5951,A
Th,2889.8032,150,,3,nist,L5951,A
Th,2897.59504,480,,3,nist,L5951,A
Th,2899.78380,2700,,3,nist,L5951,A
Th,2908.3390,150,,3,nist,L5951,A
Th,2924.76277,390,,3,nist,L5951,A
Th,2926.43191,210,,3,nist,L5951,A
Th,2929.57004,280,,3,nist,L5951,A
Th,2933.32908,820,,3,nist,L5951,A
Th,2939.0397,130,,3,nist,L5951,A
Th,2962.34996,570,,3,nist,L5951,A
Th,2962.6317,110,,3,nist,L5951,A
Th,2975.76420,250,,3,nist,L5951,A
Th,2978.1000,0,,3,nist,L5951,A
Th,2979.52911,5000,,3,nist,L5951,A
Th,29790.373,0,,3,nist,L9974,A
Th,29855.059,110,,3,nist,L9974,A
Th,2986.8648,130,,3,nist,L5951,A
Th,2996.60527,230,,3,nist,L5951,A
Th,2996.6596,0,,3,nist,L5951,A
Th,3000.0752,0,,3,nist,L5951,A
Th,3028.6443,100,,3,nist,L5951,A
Th,3064.0967,110,,3,nist,L5951,A
Th,3067.12733,850,,3,nist,L5951,A
Th,30725.434,0,,3,nist,L9974,A
Th,3079.86147,1100,,3,nist,L5951,A
Th,30794.294,0,,3,nist,L9974,A
Th,30819.914,0,,3,nist,L9974,A
Th,3084.05365,310,,3,nist,L5951,A
Th,3090.5678,150,,3,nist,L5951,A
Th,3098.87331,1100,,3,nist,L5951,A
Th,3113.24429,570,,3,nist,L5951,A
Th,3114.8032,170,,3,nist,L5951,A
Th,3143.21244,690,,3,nist,L5951,A
Th,3143.8941,0,,3,nist,L5951,A
Th,3148.97658,1600,,3,nist,L5951,A
Th,3167.3724,0,,3,nist,L5951,A
Th,32069.418,0,,3,nist,L9974,A
Th,3217.50370,750,,3,nist,L5951,A
Th,3222.14202,4300,,3,nist,L5951,A
Th,3232.99859,640,,3,nist,L5951,A
Th,32869.942,0,,3,nist,L9974,A
Th,3291.54728,3700,,3,nist,L5951,A
Th,3292.2844,150,,3,nist,L5951,A
Th,3301.43147,830,,3,nist,L5951,A
Th,3314.63196,1700,,3,nist,L5951,A
Th,3321.80410,340,,3,nist,L5951,A
Th,33281.647,0,,3,nist,L9974,A
Th,3340.51041,610,,3,nist,L5951,A
Th,3378.37312,410,,3,nist,L5951,A
Th,3395.4606,0,,3,nist,L5951,A
Th,34017.863,0,,3,nist,L9974,A
Th,3480.0125,130,,3,nist,L5951,A
Th,3508.54947,1300,,3,nist,L5951,A
Th,3517.7425,0,,3,nist,L5951,A
Th,35322.814,0,,3,nist,L9974,A
Th,3539.6735,170,,3,nist,L5951,A
Th,3539.7136,220,,3,nist,L5951,A
Th,35408.601,0,,3,nist,L9974,A
Th,3592.0255,150,,3,nist,L5951,A
Th,3607.27664,770,,3,nist,L5951,A
Th,3611.3478,0,,3,nist,L5951,A
Th,36127.468,0,,3,nist,L9974,A
Th,3660.3571,0,,3,nist,L5951,A
Th,3662.4946,190,,3,nist,L5951,A
Th,3693.4440,390,,3,nist,L5951,A
Th,3850.27466,980,,3,nist,L5951,A
Th,3991.8570,310,,3,nist,L5951,A
Th,4008.6286,0,,3,nist,L5951,A
Th,4029.7678,0,,3,nist,L5951,A
Th,4049.9344,0,,3,nist,L5951,A
Th,40587.239,200,,3,nist,L9974,A
Th,40766.819,0,,3,nist,L9974,A
Th,40937.639,0,,3,nist,L9974,A
Th,41646.725,0,,3,nist,L9974,A
Th,41715.213,0,,3,nist,L9974,A
Th,4191.0585,0,,3,nist,L5951,A
Th,42566.226,0,,3,nist,L9974,A
Th,42691.656,0,,3,nist,L9974,A
Th,4272.4676,0,,3,nist,L5951,A
Th,43385.049,0,,3,nist,L9974,A
Th,4389.06958,820,,3,nist,L5951,A
Th,4407.9062,0,,3,nist,L5951,A
Th,44349.991,0,,3,nist,L9974,A
Th,4448.0489,0,,3,nist,L5951,A
Th,4519.5442,170,,3,nist,L5951,A
Th,4556.99595,1600,,3,nist,L5951,A
Th,4590.55263,1400,,3,nist,L5951,A
Th,4598.9495,130,,3,nist,L5951,A
Th,46525.990,0,,3,nist,L9974,A
Th,4677.61280,370,,3,nist,L5951,A
Th,4782.0284,0,,3,nist,L5951,A
Th,4843.1587,0,,3,nist,L5951,A
Th,4918.9043,270,,3,nist,L5951,A
Th,4929.1314,140,,3,nist,L5951,A
Th,4945.08750,620,,3,nist,L5951,A
Th,5021.8104,0,,3,nist,L5951,A
Th,5086.11678,1200,,3,nist,L5951,A
Th,5086.71302,700,,3,nist,L5951,A
Th,5109.6808,0,,3,nist,L5951,A
Th,5186.8093,280,,3,nist,L5951,A
Th,5192.97784,420,,3,nist,L5951,A
Th,5216.4188,260,,3,nist,L5951,A
Th,5377.62537,4200,,3,nist,L5951,A
Th,5413.7258,190,,3,nist,L5951,A
Th,5448.66756,6500,,3,nist,L5951,A
Th,5460.48469,1700,,3,nist,L5951,A
Th,5501.6589,0,,3,nist,L5951,A
Th,5665.0204,0,,3,nist,L5951,A
Th,5717.1107,610,,3,nist,L5951,A
Th,5742.5512,310,,3,nist,L5951,A
Th,5844.7658,200,,3,nist,L5951,A
Th,5885.25528,1200,,3,nist,L5951,A
Th,5897.2538,0,,3,nist,L5951,A
Th,6121.1596,540,,3,nist,L5951,A
Th,6244.66764,1500,,3,nist,L5951,A
Th,6337.15782,1600,,3,nist,L5951,A
Th,6376.5880,350,,3,nist,L5951,A
Th,6440.4427,120,,3,nist,L5951,A
Th,6462.8451,460,,3,nist,L5951,A
Th,6601.30516,5900,,3,nist,L5951,A
Th,6803.1345,270,,3,nist,L5951,A
Th,6804.8661,150,,3,nist,L5951,A
Th,6871.7809,530,,3,nist,L5951,A
Th,6882.4635,270,,3,nist,L5951,A
Th,7001.2009,330,,3,nist,L5951,A
Th,7124.0075,610,,3,nist,L5951,A
Th,7244.6310,320,,3,nist,L5951,A
Th,7463.92953,3200,,3,nist,L5951,A
Th,7496.3173,170,,3,nist,L5951,A
Th,7810.4790,440,,3,nist,L5951,A
Th,7874.7976,900,,3,nist,L5951,A
Th,7923.0360,430,,3,nist,L5951,A
Th,7951.8762,160,,3,nist,L5951,A
Th,8017.9008,200,,3,nist,L5951,A
Th,8107.6236,1600,,3,nist,L5951,A
Th,8638.1137,220,,3,nist,L5951,A
Th,8919.9578,230,,3,nist,L5951,A
Th,9055.7404,1100,,3,nist,L5951,A
Th,9109.87635,240,,3,nist,L5951,A
Th,9138.44455,590,,3,nist,L5951,A
Th,9279.03780,460,,3,nist,L5951,A
Th,9365.1513,0,,3,nist,L5951,A
Th,9381.10718,770,,3,nist,L5951,A
Th,9381.8502,0,,3,nist,L5951,A
Th,9485.0581,0,,3,nist,L5951,A
Th,9506.82257,490,,3,nist,L5951,A
Th,9517.40814,430,,3,nist,L5951,A
Th,9688.33297,1200,,3,nist,L5951,A
Th,9901.6379,0,,3,nist,L5951,A
Th,9912.79170,4500,,3,nist,L5951,A
