element,wavelength,intensity,acc,state,source,reference,unit
Ti,10000.703,230,D,1,nist,L10989,A
Ti,10005.239,0,,1,nist,L10989,A
Ti,10005.831,490,E,1,nist,L10989,A
Ti,10008.407,0,C+,1,nist,L10989,A
Ti,10009.651,0,,1,nist,L10989,A
Ti,10014.493,350,,1,nist,L10989,A
Ti,10037.247,560,B,1,nist,L10989,A
Ti,10041.386,0,,1,nist,L10989,A
Ti,10051.583,410,B,1,nist,L10989,A
Ti,10052.999,0,,1,nist,L10989,A
Ti,10060.489,810,,1,nist,L10989,A
Ti,10062.659,310,B',1,nist,L10989,A
Ti,10069.276,120,,1,nist,L10989,A
Ti,10077.879,0,,1,nist,L10989,A
Ti,10104.892,0,,1,nist,L10989,A
Ti,10121.949,0,,1,nist,L10989,A
Ti,10123.673,130,E,1,nist,L10989,A
Ti,10127.984,0,,1,nist,L10989,A
Ti,10129.310,0,,1,nist,L10989,A
Ti,10136.178,0,,1,nist,L10989,A
Ti,10148.297,0,,1,nist,L10989,A
Ti,10149.686,0,,1,nist,L10989,A
Ti,10173.278,0,C+,1,nist,L10989,A
Ti,10182.714,0,,1,nist,L10989,A
Ti,10191.933,0,C+,1,nist,L10989,A
Ti,10198.247,0,,1,nist,L10989,A
Ti,10204.366,0,,1,nist,L10989,A
Ti,10207.520,0,,1,nist,L10989,A
Ti,10218.507,0,,1,nist,L10989,A
Ti,10244.103,0,,1,nist,L10989,A
Ti,10259.825,0,,1,nist,L10989,A
Ti,10271.588,0,,1,nist,L10989,A
Ti,10273.529,0,,1,nist,L10989,A
Ti,10325.763,0,,1,nist,L10989,A
Ti,10341.335,0,,1,nist,L10989,A
Ti,10393.587,0,,1,nist,L10989,A
Ti,10399.660,3500,E,1,nist,L10989,A
Ti,10401.641,0,,1,nist,L10989,A
Ti,10403.468,0,,1,nist,L10989,A
Ti,10407.047,0,,1,nist,L10989,A
Ti,10418.297,0,,1,nist,L10989,A
Ti,10441.191,0,,1,nist,L10989,A
Ti,10462.921,100,,1,nist,L10989,A
Ti,10484.286,0,,1,nist,L10989,A
Ti,10492.304,0,,1,nist,L10989,A
Ti,10498.998,3000,E,1,nist,L10989,A
Ti,10554.649,0,,1,nist,L10989,A
Ti,10555.855,0,,1,nist,L10989,A
Ti,10568.865,0,,1,nist,L10989,A
Ti,10582.925,0,,1,nist,L10989,A
Ti,10586.852,0,,1,nist,L10989,A
Ti,10587.541,2200,,1,nist,L10989,A
Ti,10592.485,0,,1,nist,L10989,A
Ti,10594.199,0,,1,nist,L10989,A
Ti,10597.765,0,,1,nist,L10989,A
Ti,10610.630,180,,1,nist,L10989,A
Ti,10630.696,0,,1,nist,L10989,A
Ti,10649.379,0,,1,nist,L10989,A
Ti,10661.479,0,,1,nist,L10989,A
Ti,10664.549,1700,,1,nist,L10989,A
Ti,10679.978,320,,1,nist,L10989,A
Ti,10692.054,0,,1,nist,L10989,A
Ti,10692.320,110,,1,nist,L10989,A
Ti,10693.929,0,C+,1,nist,L9011,A
Ti,10729.330,1200,,1,nist,L10989,A
Ti,10733.874,0,,1,nist,L10989,A
Ti,10735.808,350,E,1,nist,L10989,A
Ti,10742.759,0,,1,nist,L10989,A
Ti,10744.514,0,,1,nist,L10989,A
Ti,10750.296,0,,1,nist,L10989,A
Ti,10754.753,0,,1,nist,L10989,A
Ti,10759.602,0,,1,nist,L10989,A
Ti,10760.016,0,,1,nist,L10989,A
Ti,10777.822,280,,1,nist,L10989,A
Ti,10778.249,0,,1,nist,L10989,A
Ti,10784.301,0,,1,nist,L10989,A
Ti,10795.511,0,,1,nist,L10989,A
Ti,10796.751,0,,1,nist,L10989,A
Ti,10808.705,0,,1,nist,L10989,A
Ti,10819.978,0,,1,nist,L10989,A
Ti,10820.180,0,,1,nist,L10989,A
Ti,10823.273,0,,1,nist,L10989,A
Ti,10830.865,0,,1,nist,L10989,A
Ti,10836.392,0,,1,nist,L10989,A
Ti,10849.317,0,,1,nist,L10989,A
Ti,10850.608,0,,1,nist,L10989,A
Ti,10856.084,0,,1,nist,L10989,A
Ti,10857.992,0,,1,nist,L10989,A
Ti,10899.101,0,,1,nist,L10989,A
Ti,10902.123,0,,1,nist,L10989,A
Ti,10908.002,0,,1,nist,L10989,A
Ti,10977.33,0,,1,nist,L10989,A
Ti,10981.019,0,,1,nist,L10989,A
Ti,10993.745,0,,1,nist,L10989,A
Ti,11011.725,0,,1,nist,L10989,A
Ti,11060.411,0,,1,nist,L10989,A
Ti,11098.761,0,,1,nist,L10989,A
Ti,11099.082,0,,1,nist,L10989,A
Ti,11117.887,0,,1,nist,L10989,A
Ti,11122.963,0,,1,nist,L10989,A
Ti,11140.291,0,,1,nist,L10989,A
Ti,11213.606,0,,1,nist,L10989,A
Ti,11228.383,0,,1,nist,L10989,A
Ti,11234.040,0,,1,nist,L10989,A
Ti,11246.975,190,,1,nist,L10989,A
Ti,11249.955,120,,1,nist,L10989,A
Ti,11251.997,0,,1,nist,L10989,A
Ti,11290.677,0,,1,nist,L10989,A
Ti,11295.51,0,,1,nist,L113,A
Ti,11319.769,0,,1,nist,L10989,A
Ti,11345.780,0,,1,nist,L10989,A
Ti,11350.689,0,,1,nist,L10989,A
Ti,11357.816,0,,1,nist,L10989,A
Ti,11389.078,0,,1,nist,L10989,A
Ti,11414.320,0,,1,nist,L10989,A
Ti,11492.555,0,,1,nist,L10989,A
Ti,11505.401,0,,1,nist,L10989,A
Ti,11529.086,0,,1,nist,L10989,A
Ti,11542.706,0,,1,nist,L10989,A
Ti,11570.282,0,,1,nist,L10989,A
Ti,11584.738,0,,1,nist,L10989,A
Ti,11612.514,0,,1,nist,L10989,A
Ti,11635.606,0,,1,nist,L10989,A
Ti,11638.395,0,,1,nist,L10989,A
Ti,11645.126,0,,1,nist,L10989,A
Ti,11645.471,0,,1,nist,L10989,A
Ti,11655.115,0,,1,nist,L10989,A
Ti,11670.420,0,,1,nist,L10989,A
Ti,11673.393,0,,1,nist,L10989,A
Ti,11678.268,0,,1,nist,L10989,A
Ti,11713.778,0,,1,nist,L10989,A
Ti,11724.327,0,,1,nist,L10989,A
Ti,11740.394,0,,1,nist,L10989,A
Ti,11755.527,0,,1,nist,L10989,A
Ti,11761.975,0,,1,nist,L10989,A
