element,wavelength,intensity,acc,state,source,reference,unit
Ti,10069.71,0,E,2,nist,"L18001,L18000",A
Ti,10069.80,0,E,2,nist,"L18001,L18000",A
Ti,10128.74,0,E,2,nist,"L18001,L18000",A
Ti,10289.548,0,,2,nist,u37,A
Ti,10292.354,0,,2,nist,u37,A
Ti,10292.903,590,,2,nist,u37,A
Ti,10321.999,120,,2,nist,u37,A
Ti,10322.556,680,,2,nist,u37,A
Ti,10367.432,0,,2,nist,u37,A
Ti,10432.254,0,,2,nist,u37,A
Ti,10465.961,0,,2,nist,u37,A
Ti,10467.255,610,,2,nist,u37,A
Ti,10471.785,910,,2,nist,u37,A
Ti,10473.292,441,,2,nist,u37,A
Ti,10491.255,1350,,2,nist,u37,A
Ti,10568.751,0,,2,nist,u37,A
Ti,10575.176,0,,2,nist,u37,A
Ti,10580.950,0,,2,nist,u37,A
Ti,10594.906,0,,2,nist,u37,A
Ti,10621.317,126,,2,nist,u37,A
Ti,10662.135,0,,2,nist,u37,A
Ti,10669.572,0,,2,nist,u37,A
Ti,10677.751,0,,2,nist,u37,A
Ti,10694.140,1420,,2,nist,u37,A
Ti,10695.070,0,,2,nist,u37,A
Ti,10710.415,1140,,2,nist,u37,A
Ti,10736.683,820,,2,nist,u37,A
Ti,10774.246,530,,2,nist,u37,A
Ti,10784.296,0,,2,nist,u37,A
Ti,10882.097,0,,2,nist,u37,A
Ti,10898.840,0,,2,nist,u37,A
Ti,10925.973,0,,2,nist,u37,A
Ti,11744.799,0,,2,nist,u37,A
Ti,1229.48,0,,2,nist,L5432,A
Ti,1232.02,0,,2,nist,L5432,A
Ti,1233.04,0,,2,nist,L5432,A
Ti,1233.22,0,,2,nist,L5432,A
Ti,1233.59,0,,2,nist,L5432,A
Ti,1233.86,0,,2,nist,L5432,A
Ti,1234.37,0,,2,nist,L5432,A
Ti,1234.70,0,,2,nist,L5432,A
Ti,1235.06,0,,2,nist,L5432,A
Ti,1235.18,0,,2,nist,L5432,A
Ti,1235.18,0,,2,nist,L5432,A
Ti,1235.61,0,,2,nist,L5432,A
Ti,1235.82,0,,2,nist,L5432,A
Ti,1236.29,0,,2,nist,L5432,A
Ti,1236.45,0,,2,nist,L5432,A
Ti,1236.67,0,,2,nist,L5432,A
Ti,1236.67,0,,2,nist,L5432,A
Ti,1236.77,0,,2,nist,L5432,A
Ti,1237.06,0,,2,nist,L5432,A
Ti,1237.23,0,,2,nist,L5432,A
Ti,1237.38,0,,2,nist,L5432,A
Ti,1237.78,0,,2,nist,L5432,A
Ti,1238.03,0,,2,nist,L5432,A
Ti,1238.32,0,,2,nist,L5432,A
Ti,1239.03,0,,2,nist,L5432,A
Ti,1239.13,0,,2,nist,L5432,A
Ti,1239.56,0,,2,nist,L5432,A
Ti,1239.91,0,,2,nist,L5432,A
Ti,1240.02,0,,2,nist,L5432,A
Ti,1240.29,0,,2,nist,L5432,A
Ti,1240.72,0,,2,nist,L5432,A
Ti,1240.86,0,,2,nist,L5432,A
Ti,1241.65,0,,2,nist,L5432,A
Ti,12652.409,0,,2,nist,u37,A
Ti,12993.564,0,,2,nist,u37,A
Ti,13209.928,0,,2,nist,u37,A
Ti,13272.010,0,,2,nist,u37,A
Ti,13356.877,0,,2,nist,u37,A
Ti,13428.967,131,,2,nist,u37,A
Ti,13446.539,0,,2,nist,u37,A
Ti,1366.99,0,,2,nist,L5432,A
Ti,1368.35,0,,2,nist,L5432,A
Ti,1368.64,0,,2,nist,L5432,A
Ti,1369.24,0,,2,nist,L5432,A
Ti,1369.57,0,,2,nist,L5432,A
Ti,1370.61,0,,2,nist,L5432,A
Ti,1370.89,0,,2,nist,L5432,A
Ti,1371.25,0,,2,nist,L5432,A
Ti,1371.60,0,,2,nist,L5432,A
Ti,1372.44,0,,2,nist,L5432,A
Ti,1372.65,0,,2,nist,L5432,A
Ti,1372.79,0,,2,nist,L5432,A
Ti,1374.17,0,,2,nist,L5432,A
Ti,1374.75,0,,2,nist,L5432,A
Ti,1374.98,0,,2,nist,L5432,A
Ti,1375.07,0,,2,nist,L5432,A
Ti,1375.74,0,,2,nist,L5432,A
Ti,1376.73,0,,2,nist,L5432,A
Ti,1377.11,0,,2,nist,L5432,A
Ti,1377.39,0,,2,nist,L5432,A
Ti,1378.41,0,,2,nist,L5432,A
Ti,1378.95,0,,2,nist,L5432,A
Ti,1379.23,0,,2,nist,L5432,A
Ti,1380.73,0,,2,nist,L5432,A
Ti,1381.31,0,,2,nist,L5432,A
Ti,1381.63,0,,2,nist,L5432,A
Ti,1382.58,0,,2,nist,L5432,A
Ti,1383.69,0,,2,nist,L5432,A
Ti,1384.76,0,,2,nist,L5432,A
Ti,1385.66,0,,2,nist,L5432,A
Ti,13867.248,0,,2,nist,u37,A
Ti,1387.16,0,,2,nist,L5432,A
Ti,13933.645,0,,2,nist,u37,A
Ti,1397.58,0,,2,nist,L5432,A
