element,wavelength,intensity,acc,state,source,reference,unit
Ti,1002.371,0,D,3,nist,L3593,A
Ti,1004.669,0,D,3,nist,L3593,A
Ti,1005.797,0,D,3,nist,L3593,A
Ti,1007.163,0,D,3,nist,L3593,A
Ti,1008.119,0,D,3,nist,L3593,A
Ti,1077.236,0,,3,nist,L3593,A
Ti,1081.204,0,,3,nist,L3593,A
Ti,1082.896,0,,3,nist,L3593,A
Ti,1104.225,0,,3,nist,L3593,A
Ti,1106.646,0,,3,nist,L3593,A
Ti,1136.041,0,,3,nist,L3593,A
Ti,1235.461,0,,3,nist,L3593,A
Ti,1237.028,0,,3,nist,L3593,A
Ti,1282.484,0,,3,nist,"L3593,L11926",A
Ti,1286.228,0,,3,nist,"L3593,L11926",A
Ti,1286.365,0,D,3,nist,"L3593,L11926",A
Ti,1289.299,0,D,3,nist,"L3593,L11926",A
Ti,1291.622,0,D,3,nist,"L3593,L11926",A
Ti,1293.228,0,D,3,nist,"L3593,L11926",A
Ti,1294.698,0,,3,nist,"L3593,L11926",A
Ti,1294.698,0,,3,nist,L3593,A
Ti,1295.883,0,,3,nist,"L3593,L11926",A
Ti,1298.659,0,,3,nist,L3593,A
Ti,1298.659,0,,3,nist,"L3593,L11926",A
Ti,1298.970,0,D,3,nist,"L3593,L11926",A
Ti,1327.592,0,D,3,nist,"L3593,L11926",A
Ti,1329.837,0,,3,nist,L3593,A
Ti,1339.691,0,,3,nist,L3593,A
Ti,1365.021,0,,3,nist,L3593,A
Ti,1368.442,0,,3,nist,L3593,A
Ti,1379.960,0,,3,nist,L3593,A
Ti,1420.036,0,D,3,nist,"L3593,L11926",A
Ti,1420.440,0,D,3,nist,"L3593,L11926",A
Ti,1421.631,0,D,3,nist,"L3593,L11926",A
Ti,1421.767,0,,3,nist,"L3593,L11926",A
Ti,1422.405,0,D,3,nist,"L3593,L11926",A
Ti,1424.140,0,D,3,nist,"L3593,L11926",A
Ti,1450.358,0,,3,nist,L3593,A
Ti,1455.194,0,D,3,nist,"L3593,L11926",A
Ti,1455.734,0,,3,nist,L3593,A
Ti,1491.978,0,,3,nist,L3593,A
Ti,1496.597,0,,3,nist,L3593,A
Ti,1498.697,0,D,3,nist,"L3593,L11926",A
Ti,1499.173,0,D,3,nist,L3593,A
Ti,1502.311,0,,3,nist,L3593,A
Ti,1504.621,0,,3,nist,L3593,A
Ti,1504.974,0,,3,nist,L3593,A
Ti,1506.084,0,,3,nist,L3593,A
Ti,1948.508,0,D,3,nist,L3593,A
Ti,2008.009,0,D,3,nist,L3593,A
Ti,2008.253,0,D,3,nist,L3593,A
Ti,2011.450,0,D,3,nist,L3593,A
Ti,2097.965,0,D,3,nist,L3593,A
Ti,2100.529,0,D,3,nist,L3593,A
Ti,2104.27,0,D,3,nist,L3593,A
Ti,2105.525,0,D,3,nist,L3593,A
Ti,2105.760,0,D,3,nist,L3593,A
Ti,2130.25,0,,3,nist,L3593,A
Ti,2139.57,0,,3,nist,L3593,A
Ti,2193.08,0,,3,nist,L3593,A
Ti,2194.29,0,,3,nist,L3593,A
Ti,2199.910,0,D,3,nist,"L3593,L11926",A
Ti,2226.28,0,,3,nist,L3593,A
Ti,2237.59,0,,3,nist,L3593,A
Ti,2238.468,0,D,3,nist,"L3593,L11926",A
Ti,2240.32,0,,3,nist,L3593,A
Ti,2327.733,0,,3,nist,"L3593,L11926",A
Ti,2332.067,0,D,3,nist,"L3593,L11926",A
Ti,2332.38,0,D,3,nist,L3593,A
Ti,2335.056,0,D,3,nist,"L3593,L11926",A
Ti,2339.717,0,D,3,nist,"L3593,L11926",A
Ti,2347.505,0,D,3,nist,"L3593,L11926",A
Ti,2375.711,0,D,3,nist,"L3593,L11926",A
Ti,2414.723,0,D,3,nist,"L3593,L11926",A
Ti,2516.810,0,D,3,nist,"L3593,L11926",A
Ti,2528.600,0,,3,nist,"L3593,L11926",A
Ti,2540.820,0,,3,nist,"L3593,L11926",A
Ti,2543.208,0,,3,nist,L3593,A
Ti,2548.77,0,,3,nist,L3593,A
Ti,2549.353,0,,3,nist,L3593,A
Ti,2549.530,0,,3,nist,L3593,A
Ti,2557.334,0,,3,nist,L3593,A
Ti,2564.204,0,,3,nist,"L3593,L11926",A
Ti,2566.192,0,,3,nist,"L3593,L11926",A
Ti,2568.325,0,D,3,nist,"L3593,L11926",A
Ti,2577.242,0,D,3,nist,"L3593,L11926",A
Ti,2581.228,0,,3,nist,"L3593,L11926",A
Ti,2692.957,0,,3,nist,"L3593,L11926",A
Ti,2702.757,0,,3,nist,"L3593,L11926",A
Ti,2719.45,0,,3,nist,L3593,A
Ti,2774.54,0,,3,nist,L3593,A
Ti,2786.83,0,,3,nist,L3593,A
Ti,2799.54,0,,3,nist,L3593,A
Ti,2799.735,0,,3,nist,L3593,A
Ti,2803.77,0,,3,nist,L3593,A
Ti,2803.98,0,,3,nist,L3593,A
Ti,2808.03,0,,3,nist,L3593,A
Ti,2813.40,0,,3,nist,L3593,A
Ti,2819.822,0,,3,nist,L3593,A
Ti,2821.61,0,,3,nist,L3593,A
