element,wavelength,intensity,acc,state,source,reference,unit
Ti,1183.635,0,D,4,nist,"L2753,L11926",A
Ti,1195.208,0,D,4,nist,"L2753,L11926",A
Ti,1451.736,0,D,4,nist,"L2753,L11926",A
Ti,1467.338,0,D,4,nist,"L2753,L11926",A
Ti,1469.188,0,D,4,nist,"L2753,L11926",A
Ti,2068.224,0,D,4,nist,"L2753,L11926",A
Ti,2103.773,0,D,4,nist,"L2753,L11926",A
Ti,2359.863,0,,4,nist,"L2753,L11926",A
Ti,2360.221,0,,4,nist,"L2753,L11926",A
Ti,2542.549,0,D,4,nist,"L2753,L11926",A
Ti,2547.645,0,D,4,nist,"L2753,L11926",A
Ti,2548.079,0,D,4,nist,L2753,A
Ti,2689.12,0,,4,nist,L2753,A
Ti,2690.19,0,,4,nist,L2753,A
Ti,2837.806,0,D,4,nist,L2753,A
Ti,2863.437,0,D,4,nist,"L2753,L11926",A
Ti,2890.21,0,,4,nist,L2753,A
Ti,2930.818,0,D,4,nist,"L2753,L11926",A
Ti,2938.187,0,D,4,nist,"L2753,L11926",A
Ti,2958.170,0,D,4,nist,"L2753,L11926",A
Ti,3157.632,0,,4,nist,L2753,A
Ti,3171.873,0,,4,nist,L2753,A
Ti,3273.44,0,,4,nist,L2753,A
Ti,3273.716,0,,4,nist,L2753,A
Ti,3542.373,0,D,4,nist,"L2753,L11926",A
Ti,3577.459,0,D,4,nist,"L2753,L11926",A
Ti,3582.414,0,D,4,nist,"L2753,L11926",A
Ti,3967.278,0,,4,nist,L2753,A
Ti,4132.380,0,,4,nist,"L2753,L11926",A
Ti,4134.945,0,,4,nist,"L2753,L11926",A
Ti,4397.15,0,D,4,nist,L2753,A
Ti,4398.562,0,D,4,nist,"L2753,L11926",A
Ti,4404.688,0,D,4,nist,"L2753,L11926",A
Ti,4619.408,0,,4,nist,"L2753,L11926",A
Ti,4619.408,0,,4,nist,L2753,A
Ti,4619.408,0,,4,nist,L2753,A
Ti,4678.89,0,,4,nist,L2753,A
Ti,4678.89,0,,4,nist,L2753,A
Ti,4678.89,0,,4,nist,L2753,A
Ti,5400.43,0,D,4,nist,L2753,A
Ti,5472.50,0,,4,nist,"L2753,L11926",A
Ti,5494.04,0,D,4,nist,L2753,A
Ti,5519.25,0,,4,nist,"L2753,L11926",A
Ti,5879.42,0,,4,nist,"L2753,L11926",A
Ti,5887.59,0,,4,nist,"L2753,L11926",A
Ti,5892.78,0,,4,nist,"L2753,L11926",A
Ti,6233.34,0,,4,nist,"L2753,L11926",A
Ti,6248.38,0,,4,nist,"L2753,L11926",A
Ti,6249.47,0,,4,nist,"L2753,L11926",A
Ti,6264.59,0,,4,nist,L2753,A
Ti,6294.15,0,,4,nist,"L2753,L11926",A
Ti,6915.76,0,,4,nist,"L2753,L11926",A
Ti,6970.46,0,,4,nist,L2753,A
Ti,6980.43,0,,4,nist,"L2753,L11926",A
Ti,6990.67,0,,4,nist,L2753,A
Ti,7485.13,0,,4,nist,L2753,A
Ti,7493.43,0,,4,nist,"L2753,L11926",A
Ti,7496.83,0,,4,nist,"L2753,L11926",A
Ti,7654.23,0,,4,nist,"L2753,L11926",A
Ti,7654.23,0,,4,nist,L2753,A
Ti,7654.23,0,,4,nist,L2753,A
Ti,7708.97,0,,4,nist,L2753,A
Ti,7708.97,0,,4,nist,"L2753,L11926",A
Ti,7708.97,0,,4,nist,L2753,A
Ti,776.762,0,D,4,nist,"L2753,L11926",A
Ti,779.074,0,D,4,nist,"L2753,L11926",A
Ti,781.730,0,D,4,nist,"L2753,L11926",A
