element,wavelength,intensity,acc,state,source,reference,unit
Tl,10014.6,0,,1,nist,L4830,A
Tl,1018.85,0,,2,nist,L3272,A
Tl,1028.69,0,,4,nist,L3577,A
Tl,1034.73,0,,4,nist,L3577,A
Tl,1036.61,0,,4,nist,L3577,A
Tl,1049.48,0,,4,nist,L3577,A
Tl,1049.73,0,,2,nist,L3272,A
Tl,10491.67,0,,1,nist,L4830,A
Tl,1050.30,0,,2,nist,L3272,A
Tl,1057.56,0,,4,nist,L3577,A
Tl,1068.04,0,,4,nist,L3577,A
Tl,1070.47,0,,4,nist,L3577,A
Tl,1074.97,0,,2,nist,L3272,A
Tl,1079.68,0,,4,nist,L3577,A
Tl,1079.70,0,,4,nist,L3577,A
Tl,1092.90,0,,4,nist,L3577,A
Tl,1094.41,0,,4,nist,L3577,A
Tl,1099.60,0,,4,nist,L3577,A
Tl,11104.65,0,,1,nist,L4830,A
Tl,1125.52,0,,4,nist,L3577,A
Tl,1130.17,0,,2,nist,L3272,A
Tl,1139.30,0,,4,nist,L3577,A
Tl,1144.07,0,,4,nist,L3577,A
Tl,11486.8,0,,1,nist,L4830,A
Tl,11515.97,1000,,1,nist,L4830,A
Tl,11596.1,0,,1,nist,L4830,A
Tl,1162.55,0,,2,nist,L3272,A
Tl,1167.43,0,,2,nist,L3272,A
Tl,1183.41,0,,2,nist,L3272,A
Tl,1194.84,0,,2,nist,L3272,A
Tl,1225.45,0,,4,nist,L3577,A
Tl,1231.57,0,,3,nist,L664,A
Tl,1231.81,0,,2,nist,L3272,A
Tl,1246.00,0,,2,nist,L3272,A
Tl,12495.2,0,,1,nist,L4830,A
Tl,1266.33,0,,3,nist,L664,A
Tl,1273.03,0,,4,nist,L3577,A
Tl,12739.9,150,,1,nist,L4830,A
Tl,13016.8,700,,1,nist,L4830,A
Tl,1304.55,0,,4,nist,L3577,A
Tl,1307.50,0,,2,nist,L3272,A
Tl,1310.20,0,,2,nist,L3272,A
Tl,1321.71,0,,2,nist,L3272,A
Tl,1323.66,0,,4,nist,L3577,A
Tl,1330.40,0,,2,nist,L3272,A
Tl,1332.36,0,,3,nist,L664,A
Tl,1337.10,0,,4,nist,L3577,A
Tl,1358.56,0,,4,nist,L3577,A
Tl,1373.52,0,,2,nist,L3272,A
Tl,1374.62,0,,4,nist,L3577,A
Tl,1377.75,0,,4,nist,L3577,A
Tl,1404.60,0,,4,nist,L3577,A
Tl,1412.93,0,,4,nist,L3577,A
Tl,1423.2,0,,1,nist,L611,A
Tl,1434.72,0,,4,nist,L3577,A
Tl,1449.37,0,,4,nist,L3577,A
Tl,1477.14,0,,3,nist,L664,A
Tl,1489.65,0,,1,nist,L611,A
Tl,1490.50,0,,2,nist,L3272,A
Tl,1499.30,0,,2,nist,L3272,A
Tl,1506.37,0,,3,nist,L664,A
Tl,1507.82,0,,2,nist,L3272,A
Tl,1558.67,0,,3,nist,L664,A
Tl,1561.58,0,,2,nist,L3272,A
Tl,1568.57,0,,2,nist,L3272,A
Tl,1593.26,0,,2,nist,L3272,A
Tl,1616,0,,1,nist,L611,A
Tl,1650.2,0,,1,nist,L611,A
Tl,1660.05,0,,3,nist,L664,A
Tl,1685.40,0,,1,nist,L611,A
Tl,1728,0,,1,nist,L611,A
Tl,1792.76,0,,2,nist,L3272,A
Tl,1814.85,0,,2,nist,L3272,A
Tl,1847,0,,1,nist,L611,A
Tl,1883.2,0,,4,nist,L3577,A
Tl,1892.72,0,,2,nist,L3272,A
Tl,1908.64,0,,2,nist,L3272,A
Tl,1974.6,0,,4,nist,L3577,A
Tl,2008.21,100,,1,nist,L611,A
Tl,2105.7,0,D,1,nist,L3428,A
Tl,2119.8,0,D,1,nist,L3428,A
Tl,2129.95,0,D,1,nist,"L7608,L7609",A
Tl,2152.60,0,D,1,nist,"L7608,L7609",A
Tl,2169.27,0,D,1,nist,"L7608,L7609",A
Tl,2210.44,0,,1,nist,L611,A
Tl,2211.40,100,,1,nist,L611,A
Tl,2238.53,0,D,1,nist,L3428,A
Tl,2288.3,0,,1,nist,L611,A
Tl,2298.75,0,,2,nist,L3272,A
Tl,2316.69,140,D,1,nist,L3475,A
Tl,2380.42,900,C,1,nist,L3475,A
Tl,2452.57,0,,2,nist,L3272,A
Tl,2469.78,0,,2,nist,L3272,A
Tl,2508.70,0,C,1,nist,L3428,A
Tl,2509.0,0,,1,nist,L611,A
Tl,2531.62,0,,2,nist,L3272,A
Tl,2538.94,0,C,1,nist,L3428,A
Tl,2580.91,700,D,1,nist,L3475,A
Tl,2609.77,0,C,1,nist,L3475,A
Tl,2610.55,0,C,1,nist,L3428,A
Tl,2666.36,0,C,1,nist,L3475,A
Tl,2710.03,420,C,1,nist,L3475,A
Tl,2711.47,0,C,1,nist,L3475,A
Tl,2768.69,4400,C,1,nist,L3475,A
Tl,2826.99,280,C,1,nist,L3475,A
Tl,2850.64,0,,2,nist,L3272,A
Tl,2919.17,2800,C,1,nist,L3475,A
Tl,2922.38,440,C,1,nist,L3475,A
Tl,3029.89,0,,2,nist,L3272,A
Tl,3092.46,0,,2,nist,L3272,A
Tl,3164.45,0,,3,nist,L664,A
Tl,3186.43,0,,2,nist,L3272,A
Tl,3187.48,0,,2,nist,L3272,A
Tl,3188.66,0,,2,nist,L3272,A
Tl,3230.68,1200,C,1,nist,L3475,A
Tl,3291.96,0,,2,nist,L3272,A
Tl,3301.75,0,,3,nist,L664,A
Tl,3320.87,0,,2,nist,L3272,A
Tl,3322.00,0,,2,nist,L3272,A
Tl,3323.21,0,,2,nist,L3272,A
Tl,3370.12,0,,2,nist,L3272,A
Tl,3381.97,0,,2,nist,L3272,A
Tl,3382.77,0,,2,nist,L3272,A
Tl,3457.33,0,,3,nist,L664,A
Tl,3461.47,0,,2,nist,L3272,A
Tl,3508.41,0,,3,nist,L664,A
Tl,3520.25,20000,C,1,nist,L3475,A
Tl,3530.44,5000,C,1,nist,L3475,A
Tl,3541.09,0,,2,nist,L3272,A
Tl,3561.70,0,,2,nist,L3272,A
Tl,3568.69,0,,2,nist,L3272,A
Tl,3776.79,12000,B,1,nist,L3475,A
Tl,3795.03,0,,2,nist,L3272,A
Tl,3833.39,0,,2,nist,L3272,A
Tl,3870.25,0,,2,nist,L3272,A
Tl,3888.25,0,,2,nist,L3272,A
Tl,3934.16,0,,3,nist,L664,A
Tl,3947.14,0,,3,nist,L664,A
Tl,4111.01,0,,3,nist,L664,A
Tl,4156.92,0,,3,nist,L664,A
Tl,4224.24,0,,2,nist,L3272,A
Tl,4271.01,0,,3,nist,L664,A
Tl,4276.18,0,,2,nist,L3272,A
Tl,4308.01,0,,2,nist,L3272,A
Tl,4361.1,0,,1,nist,L611,A
Tl,4381.80,0,,3,nist,L664,A
Tl,4492.03,0,,2,nist,L3272,A
Tl,4738.38,0,,2,nist,L3272,A
Tl,4982.74,0,,2,nist,L3272,A
Tl,5079.96,0,,2,nist,L3272,A
Tl,5088.41,0,,3,nist,L664,A
Tl,5153.58,0,,2,nist,L3272,A
Tl,5183.39,0,,2,nist,L3272,A
Tl,5184.54,0,,2,nist,L3272,A
Tl,531.26,0,,4,nist,L3577,A
Tl,5351.95,18000,B,1,nist,L3475,A
Tl,5363.89,0,,3,nist,L664,A
Tl,5386.35,0,,2,nist,L3272,A
Tl,5411.42,0,,2,nist,L3272,A
Tl,5412.47,0,,2,nist,L3272,A
Tl,5500.9,0,,3,nist,L664,A
Tl,570.49,0,,4,nist,L3577,A
Tl,5929.4,0,,3,nist,L664,A
Tl,5951.13,0,,2,nist,L3272,A
Tl,597.01,0,,4,nist,L3577,A
Tl,6181.69,0,,2,nist,L3272,A
Tl,6240.76,0,,2,nist,L3272,A
Tl,6380.08,0,,2,nist,L3272,A
Tl,650.90,0,,2,nist,L3272,A
Tl,6551.65,0,,1,nist,L3475,A
Tl,670.87,0,,2,nist,L3272,A
Tl,6715.65,0,,1,nist,L3475,A
Tl,674.10,0,,2,nist,L3272,A
Tl,696.30,0,,2,nist,L3272,A
Tl,6968.4,0,,2,nist,L3272,A
Tl,709.23,0,,2,nist,L3272,A
Tl,7495.7,0,,1,nist,L4830,A
Tl,7681.04,0,,1,nist,L4830,A
Tl,7817.95,0,,1,nist,L4830,A
Tl,8003,0,,3,nist,L664,A
Tl,8132.2,0,,1,nist,L4830,A
Tl,817.18,0,,2,nist,L3272,A
Tl,836.34,0,,2,nist,L3272,A
Tl,8375.9,0,,1,nist,L4830,A
Tl,8448.1,0,,2,nist,L3272,A
Tl,8476.60,0,,1,nist,L4830,A
Tl,8635.3,0,,2,nist,L3272,A
Tl,8666.5,0,,2,nist,L3272,A
Tl,868.99,0,,4,nist,L3577,A
Tl,8852.8,0,,1,nist,L4830,A
Tl,8979.21,0,,1,nist,L4830,A
Tl,9040.9,0,,1,nist,L4830,A
Tl,912.74,0,,4,nist,L3577,A
Tl,9130,0,,2,nist,L3272,A
Tl,9133.0,0,,1,nist,L4830,A
Tl,917.31,0,,4,nist,L3577,A
Tl,9185.6,0,,1,nist,L4830,A
Tl,9228,0,,2,nist,L3272,A
Tl,9255.1,0,,1,nist,L4830,A
Tl,9257,0,,2,nist,L3272,A
Tl,9512.0,0,,1,nist,L4830,A
Tl,9866.1,0,,1,nist,L4830,A
Tl,9933.1,0,,1,nist,L4830,A
Tl,9940.1,0,,1,nist,L4830,A
