element,wavelength,intensity,acc,state,source,reference,unit
Tl,10014.6,0,,1,nist,L4830,A
Tl,10491.67,0,,1,nist,L4830,A
Tl,11104.65,0,,1,nist,L4830,A
Tl,11486.8,0,,1,nist,L4830,A
Tl,11515.97,1000,,1,nist,L4830,A
Tl,11596.1,0,,1,nist,L4830,A
Tl,12495.2,0,,1,nist,L4830,A
Tl,12739.9,150,,1,nist,L4830,A
Tl,13016.8,700,,1,nist,L4830,A
Tl,1423.2,0,,1,nist,L611,A
Tl,1489.65,0,,1,nist,L611,A
Tl,1616,0,,1,nist,L611,A
Tl,1650.2,0,,1,nist,L611,A
Tl,1685.40,0,,1,nist,L611,A
Tl,1728,0,,1,nist,L611,A
Tl,1847,0,,1,nist,L611,A
Tl,2008.21,100,,1,nist,L611,A
Tl,2105.7,0,D,1,nist,L3428,A
Tl,2119.8,0,D,1,nist,L3428,A
Tl,2129.95,0,D,1,nist,"L7608,L7609",A
Tl,2152.60,0,D,1,nist,"L7608,L7609",A
Tl,2169.27,0,D,1,nist,"L7608,L7609",A
Tl,2210.44,0,,1,nist,L611,A
Tl,2211.40,100,,1,nist,L611,A
Tl,2238.53,0,D,1,nist,L3428,A
Tl,2288.3,0,,1,nist,L611,A
Tl,2316.69,140,D,1,nist,L3475,A
Tl,2380.42,900,C,1,nist,L3475,A
Tl,2508.70,0,C,1,nist,L3428,A
Tl,2509.0,0,,1,nist,L611,A
Tl,2538.94,0,C,1,nist,L3428,A
Tl,2580.91,700,D,1,nist,L3475,A
Tl,2609.77,0,C,1,nist,L3475,A
Tl,2610.55,0,C,1,nist,L3428,A
Tl,2666.36,0,C,1,nist,L3475,A
Tl,2710.03,420,C,1,nist,L3475,A
Tl,2711.47,0,C,1,nist,L3475,A
Tl,2768.69,4400,C,1,nist,L3475,A
Tl,2826.99,280,C,1,nist,L3475,A
Tl,2919.17,2800,C,1,nist,L3475,A
Tl,2922.38,440,C,1,nist,L3475,A
Tl,3230.68,1200,C,1,nist,L3475,A
Tl,3520.25,20000,C,1,nist,L3475,A
Tl,3530.44,5000,C,1,nist,L3475,A
Tl,3776.79,12000,B,1,nist,L3475,A
Tl,4361.1,0,,1,nist,L611,A
Tl,5351.95,18000,B,1,nist,L3475,A
Tl,6551.65,0,,1,nist,L3475,A
Tl,6715.65,0,,1,nist,L3475,A
Tl,7495.7,0,,1,nist,L4830,A
Tl,7681.04,0,,1,nist,L4830,A
Tl,7817.95,0,,1,nist,L4830,A
Tl,8132.2,0,,1,nist,L4830,A
Tl,8375.9,0,,1,nist,L4830,A
Tl,8476.60,0,,1,nist,L4830,A
Tl,8852.8,0,,1,nist,L4830,A
Tl,8979.21,0,,1,nist,L4830,A
Tl,9040.9,0,,1,nist,L4830,A
Tl,9133.0,0,,1,nist,L4830,A
Tl,9185.6,0,,1,nist,L4830,A
Tl,9255.1,0,,1,nist,L4830,A
Tl,9512.0,0,,1,nist,L4830,A
Tl,9866.1,0,,1,nist,L4830,A
Tl,9933.1,0,,1,nist,L4830,A
Tl,9940.1,0,,1,nist,L4830,A
