element,wavelength,intensity,acc,state,source,reference,unit
Tm,2285.49,360,,2,nist,L3475,A
Tm,2330.48,120,,2,nist,L3475,A
Tm,2341.64,0,,2,nist,L3475,A
Tm,2364.63,120,,2,nist,L3475,A
Tm,2366.68,0,,2,nist,L3475,A
Tm,2367.83,160,,2,nist,L3475,A
Tm,2384.41,150,,2,nist,L3475,A
Tm,2389.68,110,,2,nist,L3475,A
Tm,2409.75,450,,2,nist,L3475,A
Tm,2413.17,110,,2,nist,L3475,A
Tm,2422.39,120,,2,nist,L3475,A
Tm,2426.91,450,,2,nist,L3475,A
Tm,2446.21,140,,2,nist,L3475,A
Tm,2480.88,770,,2,nist,L3475,A
Tm,2481.90,150,,2,nist,L3475,A
Tm,2488.27,130,,2,nist,L3475,A
Tm,2492.35,250,,2,nist,L3475,A
Tm,2500.29,100,,2,nist,L3475,A
Tm,2507.91,130,,2,nist,L3475,A
Tm,2509.84,1300,,2,nist,L3475,A
Tm,2521.63,200,,2,nist,L3475,A
Tm,2522.93,250,,2,nist,L3475,A
Tm,2524.87,180,,2,nist,L3475,A
Tm,2528.18,110,,2,nist,L3475,A
Tm,2543.42,120,,2,nist,L3475,A
Tm,2562.42,540,,2,nist,L3475,A
Tm,2564.63,150,,2,nist,L3475,A
Tm,2589.04,430,,2,nist,L3475,A
Tm,2606.80,220,,2,nist,L3475,A
Tm,2607.84,810,,2,nist,L3475,A
Tm,2625.11,730,,2,nist,L3475,A
Tm,2641.55,210,,2,nist,L3475,A
Tm,2647.24,130,,2,nist,L3475,A
Tm,2651.06,160,,2,nist,L3475,A
Tm,2659.27,190,,2,nist,L3475,A
Tm,2660.88,250,,2,nist,L3475,A
Tm,2668.99,140,,2,nist,L3475,A
Tm,2680.37,310,,2,nist,L3475,A
Tm,2698.30,170,,2,nist,L3475,A
Tm,2722.00,540,,2,nist,L3475,A
Tm,2744.89,200,,2,nist,L3475,A
Tm,2780.37,270,,2,nist,L3475,A
Tm,2785.89,350,,2,nist,L3475,A
Tm,2795.42,680,,2,nist,L3475,A
Tm,2798.09,730,,2,nist,L3475,A
Tm,2819.30,250,,2,nist,L3475,A
Tm,2827.85,250,,2,nist,L3475,A
Tm,2828.75,580,,2,nist,L3475,A
Tm,2832.38,200,,2,nist,L3475,A
Tm,2845.51,310,,2,nist,L3475,A
Tm,2860.96,200,,2,nist,L3475,A
Tm,2862.58,200,,2,nist,L3475,A
Tm,2870.07,1600,,2,nist,L3475,A
Tm,2891.79,630,,2,nist,L3475,A
Tm,2919.12,210,,2,nist,L3475,A
Tm,2926.51,270,,2,nist,L3475,A
Tm,2927.60,680,,2,nist,L3475,A
Tm,2936.85,630,,2,nist,L3475,A
Tm,2952.12,350,,2,nist,L3475,A
Tm,2966.73,430,,2,nist,L3475,A
Tm,2982.35,540,,2,nist,L3475,A
Tm,2987.39,350,,2,nist,L3475,A
Tm,2991.41,630,,2,nist,L3475,A
Tm,2994.13,200,,2,nist,L3475,A
Tm,3014.59,230,,2,nist,L3475,A
Tm,3015.53,430,,2,nist,L3475,A
Tm,3016.18,1500,,2,nist,L3475,A
Tm,3017.97,270,,2,nist,L3475,A
Tm,3026.95,330,,2,nist,L3475,A
Tm,3043.24,280,,2,nist,L3475,A
Tm,3047.65,340,,2,nist,L3475,A
Tm,3051.62,320,,2,nist,L3475,A
Tm,3056.96,340,,2,nist,L3475,A
Tm,3073.97,580,,2,nist,L3475,A
Tm,3099.50,740,,2,nist,L3475,A
Tm,3132.17,7400,,2,nist,L3475,A
Tm,3134.80,2300,,2,nist,L3475,A
Tm,3145.81,230,,2,nist,L3475,A
Tm,3147.07,230,,2,nist,L3475,A
Tm,3151.95,1900,,2,nist,L3475,A
Tm,3158.25,1500,,2,nist,L3475,A
Tm,3173.75,2300,,2,nist,L3475,A
Tm,3174.50,380,,2,nist,L3475,A
Tm,3196.25,230,,2,nist,L3475,A
Tm,3211.49,320,,2,nist,L3475,A
Tm,3211.75,320,,2,nist,L3475,A
Tm,3212.94,320,,2,nist,L3475,A
Tm,3232.44,230,,2,nist,L3475,A
Tm,3236.37,470,,2,nist,L3475,A
Tm,3237.74,1200,,2,nist,L3475,A
Tm,3241.17,1600,,2,nist,L3475,A
Tm,3242.48,2300,,2,nist,L3475,A
Tm,3248.40,420,,2,nist,L3475,A
Tm,3258.99,1900,,2,nist,L3475,A
Tm,3262.59,400,,2,nist,L3475,A
Tm,3265.04,320,,2,nist,L3475,A
Tm,3267.58,1600,,2,nist,L3475,A
Tm,3268.34,1200,,2,nist,L3475,A
Tm,3269.93,790,,2,nist,L3475,A
Tm,3277.75,1100,,2,nist,L3475,A
Tm,3284.35,1200,,2,nist,L3475,A
Tm,3286.56,1200,,2,nist,L3475,A
Tm,3291.95,2300,,2,nist,L3475,A
Tm,3303.41,2000,,2,nist,L3475,A
Tm,3306.96,210,,2,nist,L3475,A
Tm,3307.86,210,,2,nist,L3475,A
Tm,3308.96,210,,2,nist,L3475,A
Tm,3310.75,1200,,2,nist,L3475,A
Tm,3311.54,640,,2,nist,L3475,A
Tm,3317.83,400,,2,nist,L3475,A
Tm,3319.60,210,,2,nist,L3475,A
Tm,3355.82,230,,2,nist,L3475,A
Tm,3363.58,4000,,2,nist,L3475,A
Tm,3375.47,490,,2,nist,L3475,A
Tm,3385.96,420,,2,nist,L3475,A
Tm,3398.48,1700,,2,nist,L3475,A
Tm,3400.93,420,,2,nist,L3475,A
Tm,3426.06,6400,,2,nist,L3475,A
Tm,3426.61,950,,2,nist,L3475,A
Tm,3430.94,850,,2,nist,L3475,A
Tm,3432.17,420,,2,nist,L3475,A
Tm,3442.49,4900,,2,nist,L3475,A
Tm,3454.65,4900,,2,nist,L3475,A
Tm,3463.19,8500,,2,nist,L3475,A
Tm,3482.75,340,,2,nist,L3475,A
Tm,3493.58,210,,2,nist,L3475,A
Tm,3514.02,250,,2,nist,L3475,A
Tm,3535.86,250,,2,nist,L3475,A
Tm,3536.53,1700,,2,nist,L3475,A
Tm,3537.22,490,,2,nist,L3475,A
Tm,3537.59,850,,2,nist,L3475,A
Tm,3558.81,420,,2,nist,L3475,A
Tm,3566.93,490,,2,nist,L3475,A
Tm,3567.49,1300,,2,nist,L3475,A
Tm,3575.08,280,,2,nist,L3475,A
Tm,3609.80,2100,,2,nist,L3475,A
Tm,3610.56,250,,2,nist,L3475,A
Tm,3644.69,950,,2,nist,L3475,A
Tm,3648.76,240,,2,nist,L3475,A
Tm,3654.65,600,,2,nist,L3475,A
Tm,3666.85,500,,2,nist,L3475,A
Tm,3669.13,1100,,2,nist,L3475,A
Tm,3679.03,410,,2,nist,L3475,A
Tm,3679.90,450,,2,nist,L3475,A
Tm,3695.79,410,,2,nist,L3475,A
Tm,3701.31,4800,,2,nist,L3475,A
Tm,3702.41,3800,,2,nist,L3475,A
Tm,3705.90,330,,2,nist,L3475,A
Tm,3726.12,890,,2,nist,L3475,A
Tm,3735.18,2400,,2,nist,L3475,A
Tm,3757.93,310,,2,nist,L3475,A
Tm,3762.40,6000,,2,nist,L3475,A
Tm,3762.98,4800,,2,nist,L3475,A
Tm,3784.62,260,,2,nist,L3475,A
Tm,3796.24,380,,2,nist,L3475,A
Tm,3796.83,7100,,2,nist,L3475,A
Tm,3799.83,240,,2,nist,L3475,A
Tm,3811.80,380,,2,nist,L3475,A
Tm,3818.47,550,,2,nist,L3475,A
Tm,3839.29,1300,,2,nist,L3475,A
Tm,3849.11,8900,,2,nist,L3475,A
Tm,3858.93,140,,2,nist,L3475,A
Tm,3884.54,1800,,2,nist,L3475,A
Tm,3891.63,440,,2,nist,L3475,A
Tm,3901.90,680,,2,nist,L3475,A
Tm,3929.77,120,,2,nist,L3475,A
Tm,3930.69,570,,2,nist,L3475,A
Tm,3959.22,1500,,2,nist,L3475,A
Tm,3996.71,440,,2,nist,L3475,A
Tm,3997.65,1800,,2,nist,L3475,A
Tm,4133.86,120,,2,nist,L3475,A
Tm,4201.10,520,,2,nist,L3475,A
Tm,4207.18,220,,2,nist,L3475,A
Tm,4243.34,3000,,2,nist,L3475,A
Tm,4438.65,0,,2,nist,L3475,A
Tm,4482.52,540,,2,nist,L3475,A
Tm,4490.96,0,,2,nist,L3475,A
Tm,4523.84,260,,2,nist,L3475,A
Tm,4530.65,180,,2,nist,L3475,A
Tm,4557.96,0,,2,nist,L3475,A
Tm,4563.14,0,,2,nist,L3475,A
Tm,4568.39,0,,2,nist,L3475,A
Tm,4602.58,0,,2,nist,L3475,A
Tm,4604.72,0,,2,nist,L3475,A
Tm,4615.76,0,,2,nist,L3475,A
Tm,4617.23,300,,2,nist,L3475,A
Tm,4620.35,0,,2,nist,L3475,A
Tm,4627.63,0,,2,nist,L3475,A
Tm,4627.86,0,,2,nist,L3475,A
Tm,4635.56,110,,2,nist,L3475,A
Tm,4644.26,0,,2,nist,L3475,A
Tm,4668.01,0,,2,nist,L3475,A
Tm,4673.30,0,,2,nist,L3475,A
Tm,4679.17,0,,2,nist,L3475,A
Tm,4752.08,0,,2,nist,L3475,A
Tm,4791.26,0,,2,nist,L3475,A
Tm,4828.34,0,,2,nist,L3475,A
Tm,4832.55,0,,2,nist,L3475,A
Tm,4853.26,0,,2,nist,L3475,A
Tm,4873.64,0,,2,nist,L3475,A
Tm,4972.26,0,,2,nist,L3475,A
Tm,4976.51,0,,2,nist,L3475,A
Tm,4982.07,0,,2,nist,L3475,A
Tm,4990.71,0,,2,nist,L3475,A
Tm,4995.18,0,,2,nist,L3475,A
Tm,4996.11,0,,2,nist,L3475,A
Tm,5011.17,160,,2,nist,L3475,A
Tm,5015.96,0,,2,nist,L3475,A
Tm,5019.27,0,,2,nist,L3475,A
Tm,5035.62,160,,2,nist,L3475,A
Tm,5042.41,0,,2,nist,L3475,A
Tm,5061.83,0,,2,nist,L3475,A
Tm,5115.98,0,,2,nist,L3475,A
Tm,5141.71,0,,2,nist,L3475,A
Tm,5150.83,0,,2,nist,L3475,A
Tm,5205.96,0,,2,nist,L3475,A
Tm,5229.69,0,,2,nist,L3475,A
Tm,5262.39,0,,2,nist,L3475,A
Tm,5268.81,0,,2,nist,L3475,A
Tm,5307.35,0,,2,nist,L3475,A
Tm,5324.47,0,,2,nist,L3475,A
Tm,5347.98,0,,2,nist,L3475,A
Tm,5374.47,0,,2,nist,L3475,A
Tm,5393.46,0,,2,nist,L3475,A
Tm,5401.96,0,,2,nist,L3475,A
Tm,5407.48,0,,2,nist,L3475,A
Tm,5463.47,0,,2,nist,L3475,A
Tm,5467.06,0,,2,nist,L3475,A
Tm,5501.83,0,,2,nist,L3475,A
Tm,5528.36,0,,2,nist,L3475,A
Tm,5540.57,0,,2,nist,L3475,A
Tm,5588.20,0,,2,nist,L3475,A
Tm,5591.49,0,,2,nist,L3475,A
Tm,5686.34,0,,2,nist,L3475,A
Tm,5698.00,0,,2,nist,L3475,A
Tm,5711.55,0,,2,nist,L3475,A
Tm,5735.40,0,,2,nist,L3475,A
Tm,5738.79,0,,2,nist,L3475,A
Tm,5738.84,0,,2,nist,L3475,A
Tm,5740.51,0,,2,nist,L3475,A
Tm,5780.42,0,,2,nist,L3475,A
Tm,5783.96,0,,2,nist,L3475,A
Tm,5786.06,0,,2,nist,L3475,A
Tm,5801.58,0,,2,nist,L3475,A
Tm,5812.80,0,,2,nist,L3475,A
Tm,5840.38,0,,2,nist,L3475,A
Tm,6069.46,0,,2,nist,L3475,A
Tm,6183.12,0,,2,nist,L3475,A
Tm,6301.20,0,,2,nist,L3475,A
Tm,6432.72,0,,2,nist,L3475,A
Tm,6729.80,0,,2,nist,L3475,A
Tm,6831.00,0,,2,nist,L3475,A
Tm,6978.61,0,,2,nist,L3475,A
Tm,7016.24,0,,2,nist,L3475,A
Tm,7058.38,0,,2,nist,L3475,A
Tm,7081.73,0,,2,nist,L3475,A
Tm,7235.73,0,,2,nist,L3475,A
Tm,7338.65,0,,2,nist,L3475,A
Tm,7436.56,0,,2,nist,L3475,A
Tm,7442.00,0,,2,nist,L3475,A
Tm,7597.16,0,,2,nist,L3475,A
Tm,7650.87,0,,2,nist,L3475,A
Tm,7678.15,0,,2,nist,L3475,A
