element,wavelength,intensity,acc,state,source,reference,unit
V,1102.673,9700,,2,nist,L10089c179,A
V,1102.860,15000,,2,nist,L10089c179,A
V,1103.299,12000,,2,nist,L10089c179,A
V,1104.530,38000,,2,nist,L10089c179,A
V,1104.793,24000,,2,nist,L10089c179,A
V,1104.955,24000,,2,nist,L10089c179,A
V,1104.955,24000,,2,nist,L10089c179,A
V,1105.62,14000,,2,nist,L10089c179,A
V,1105.62,14000,,2,nist,L10089c179,A
V,1105.844,12000,,2,nist,L10089c179,A
V,1106.115,7000,,2,nist,L10089c179,A
V,1106.439,9300,,2,nist,L10089c179,A
V,1107.014,9300,,2,nist,L10089c179,A
V,1107.533,9300,,2,nist,L10089c179,A
V,1108.345,9200,,2,nist,L10089c179,A
V,1109.480,23000,,2,nist,L10089c179,A
V,1109.959,11000,,2,nist,L10089c179,A
V,1110.736,9000,,2,nist,L10089c179,A
V,1268.002,3800,,2,nist,L10089c179,A
V,1270.589,3000,,2,nist,L10089c179,A
V,1271.540,3700,,2,nist,L10089c179,A
V,1271.830,2200,,2,nist,L10089c179,A
V,1278.337,2900,,2,nist,L10089c179,A
V,1278.592,15000,,2,nist,L10089c179,A
V,1279.749,22000,D+,2,nist,L10089c179,A
V,1279.749,22000,,2,nist,L10089c179,A
V,1280.197,21000,,2,nist,L10089c179,A
V,1281.323,4300,,2,nist,L10089c179,A
V,1282.226,11000,,2,nist,L10089c179,A
V,1282.728,28000,,2,nist,L10089c179,A
V,1283.406,3500,,2,nist,L10089c179,A
V,1284.842,28000,,2,nist,L10089c179,A
V,1285.186,2600,,2,nist,L10089c179,A
V,1287.571,3200,,2,nist,L10089c179,A
V,1288.198,2900,,2,nist,L10089c179,A
V,1290.922,10000,D+,2,nist,L10089c179,A
V,1293.265,3400,,2,nist,L10089c179,A
V,1293.619,2000,,2,nist,L10089c179,A
V,1294.115,4000,,2,nist,L10089c179,A
V,1296.656,2000,,2,nist,L10089c179,A
V,1297.733,2600,,2,nist,L10089c179,A
V,1298.598,2600,,2,nist,L10089c179,A
V,1300.049,3200,,2,nist,L10089c179,A
V,1300.049,3200,,2,nist,L10089c179,A
V,1300.552,6400,,2,nist,L10089c179,A
V,1301.237,5900,D+,2,nist,L10089c179,A
V,1303.203,2900,D+,2,nist,L10089c179,A
V,1305.032,3100,,2,nist,L10089c179,A
V,1305.588,23000,D+,2,nist,L10089c179,A
V,1306.638,23000,D+,2,nist,L10089c179,A
V,1307.830,11000,D+,2,nist,L10089c179,A
V,1310.540,1500,,2,nist,L10089c179,A
V,1311.022,12000,,2,nist,L10089c179,A
V,1311.022,12000,D+,2,nist,L10089c179,A
V,1311.290,25000,,2,nist,L10089c179,A
V,1311.290,25000,,2,nist,L10089c179,A
V,1312.408,3700,,2,nist,L10089c179,A
V,1313.887,12000,,2,nist,L10089c179,A
V,1315.777,9600,,2,nist,L10089c179,A
V,1317.557,3200,,2,nist,L10089c179,A
V,1318.798,2700,,2,nist,L10089c179,A
V,1320.027,1600,,2,nist,L10089c179,A
V,1324.748,1300,,2,nist,L10089c179,A
V,1333.343,2700,,2,nist,L10089c179,A
V,1338.367,4400,,2,nist,L10089c179,A
V,1342.068,1600,,2,nist,L10089c179,A
V,1344.098,5300,,2,nist,L10089c179,A
V,1344.379,16000,,2,nist,L10089c179,A
V,1346.388,2100,,2,nist,L10089c179,A
V,1346.890,5200,,2,nist,L10089c179,A
V,1349.142,5100,,2,nist,L10089c179,A
V,1353.968,1300,,2,nist,L10089c179,A
V,1358.440,110000,,2,nist,L8201c179,A
V,1360.899,12000,D+,2,nist,L10089c179,A
V,1362.078,1500,,2,nist,L10089c179,A
V,1362.813,2300,D+,2,nist,L10089c179,A
V,1366.219,1300,,2,nist,L10089c179,A
V,1370.803,1500,,2,nist,L10089c179,A
V,1371.989,1100,,2,nist,L10089c179,A
V,1372.128,7300,,2,nist,L10089c179,A
V,1372.564,7300,D+,2,nist,L10089c179,A
V,1373.699,1400,,2,nist,L10089c179,A
V,1374.288,14000,D+,2,nist,L10089c179,A
V,1375.252,14000,D+,2,nist,L10089c179,A
V,1377.299,11000,D+,2,nist,L10089c179,A
V,1377.553,14000,D+,2,nist,L10089c179,A
V,1377.553,14000,D+,2,nist,L10089c179,A
V,1381.229,2800,,2,nist,L10089c179,A
V,1383.458,2200,,2,nist,L10089c179,A
V,1383.929,2200,,2,nist,L10089c179,A
V,1383.929,2200,,2,nist,L10089c179,A
V,1394.669,4100,D+,2,nist,L10089c179,A
V,1396.414,7800,,2,nist,L10089c179,A
V,1400.808,12000,,2,nist,L10089c179,A
V,1403.386,8000,D+,2,nist,L10089c179,A
V,1403.688,2100,,2,nist,L10089c179,A
V,1404.198,21000,,2,nist,L10089c179,A
V,1404.488,11000,,2,nist,L10089c179,A
V,1405.069,1700,,2,nist,L10089c179,A
V,1405.968,7500,,2,nist,L10089c179,A
V,1407.307,2100,,2,nist,L10089c179,A
V,1407.744,2300,D+,2,nist,L10089c179,A
V,1408.228,2100,,2,nist,L10089c179,A
V,1409.258,3400,,2,nist,L10089c179,A
V,1410.348,3700,,2,nist,L10089c179,A
V,1411.371,1800,,2,nist,L10089c179,A
V,1412.072,3700,D+,2,nist,L10089c179,A
V,1416.049,2000,,2,nist,L10089c179,A
V,1416.449,1700,,2,nist,L10089c179,A
V,1416.578,2000,,2,nist,L10089c179,A
V,1420.049,11000,,2,nist,L10089c179,A
V,1421.644,7100,,2,nist,L10089c179,A
V,1426.298,10000,,2,nist,L10089c179,A
V,1429.924,3400,,2,nist,L10089c179,A
V,1434.972,2000,D+,2,nist,L10089c179,A
V,1444.738,5900,,2,nist,L10089c179,A
V,1445.039,1200,,2,nist,L10089c179,A
V,1445.943,20000,D+,2,nist,L10089c179,A
V,1446.609,880,,2,nist,L10089c179,A
V,1449.278,5800,,2,nist,L10089c179,A
V,1449.278,5800,,2,nist,L10089c179,A
V,1450.273,13000,D+,2,nist,L10089c179,A
