element,wavelength,intensity,acc,state,source,reference,unit
V,1045.711,0,,5,nist,L3917,A
V,1092.00,0,,5,nist,L3917,A
V,1098.222,0,,5,nist,L3917,A
V,1142.737,0,,5,nist,"L3917,L11926",A
V,1143.395,0,,5,nist,L3917,A
V,1157.575,0,,5,nist,"L3917,L11926",A
V,1159.516,0,,5,nist,L3917,A
V,1188.161,0,,5,nist,L2284,A
V,1260.278,0,,5,nist,L3917,A
V,1490.107,0,,5,nist,"L3917,L11926",A
V,1499.596,0,,5,nist,L3917,A
V,1680.204,100,,5,nist,"L3917,L11926",A
V,1716.725,0,,5,nist,"L3917,L11926",A
V,1720.712,0,,5,nist,L3917,A
V,1724.994,0,,5,nist,"L3917,L11926",A
V,1736.182,0,,5,nist,L3917,A
V,1792.992,0,,5,nist,"L3917,L11926",A
V,1797.646,0,,5,nist,L3917,A
V,1811.425,0,,5,nist,"L3917,L11926",A
V,1910.062,0,,5,nist,L3917,A
V,1917.686,0,,5,nist,L3917,A
V,1921.915,0,,5,nist,L3917,A
V,1929.138,0,,5,nist,L3917,A
V,1962.154,0,,5,nist,L3917,A
V,199.799,0,,5,nist,L3917,A
V,199.955,0,,5,nist,L3917,A
V,200.050,0,,5,nist,L3917,A
V,200.202,0,,5,nist,L3917,A
V,201.235,0,,5,nist,L3917,A
V,201.493,0,,5,nist,L3917,A
V,201.746,0,,5,nist,L3917,A
V,203.194,0,,5,nist,L3917,A
V,203.428,0,,5,nist,L3917,A
V,207.031,0,,5,nist,L3917,A
V,207.291,0,,5,nist,L3917,A
V,208.958,0,,5,nist,L3917,A
V,209.230,0,,5,nist,L3917,A
V,210.568,0,,5,nist,L3917,A
V,212.901,0,,5,nist,L3917,A
V,213.178,0,,5,nist,L3917,A
V,222.533,0,,5,nist,L3917,A
V,222.818,0,,5,nist,L3917,A
V,222.842,0,,5,nist,L3917,A
V,224.913,0,D,5,nist,"L3917,L11926",A
V,225.146,0,E,5,nist,L3917,A
V,225.225,0,E,5,nist,L3917,A
V,225.465,0,D,5,nist,"L3917,L11926",A
V,227.561,0,E,5,nist,L3917,A
V,227.885,0,D,5,nist,"L3917,L11926",A
V,228.301,0,D,5,nist,L3917,A
V,2319.66,0,,5,nist,"L3917,L11926",A
V,2327.463,0,,5,nist,L3917,A
V,2370.984,0,,5,nist,L3917,A
V,2374.183,0,,5,nist,L3917,A
V,239.407,0,,5,nist,"L3917,L11926",A
V,239.485,0,,5,nist,"L3917,L11926",A
V,239.765,0,,5,nist,L3917,A
V,240.572,0,,5,nist,L3917,A
V,240.719,0,,5,nist,L3917,A
V,240.933,0,,5,nist,L3917,A
V,251.655,0,D,5,nist,"L3917,L11926",A
V,252.440,0,D,5,nist,"L3917,L11926",A
