element,wavelength,intensity,acc,state,source,reference,unit
W,1527.933,0,,2,nist,L6520,A
W,1563.433,0,,2,nist,L6520,A
W,1576.282,0,,2,nist,L6520,A
W,1588.007,0,,2,nist,L6520,A
W,1620.109,0,,2,nist,L6520,A
W,1631.028,0,,2,nist,L6520,A
W,1636.164,0,,2,nist,L6520,A
W,1640.902,0,,2,nist,L6520,A
W,1658.530,0,,2,nist,L6520,A
W,1671.778,0,,2,nist,L6520,A
W,1671.778,0,,2,nist,L6520,A
W,1680.773,0,,2,nist,L6520,A
W,1690.737,0,,2,nist,L6520,A
W,1692.842,0,,2,nist,L6520,A
W,1707.683,0,,2,nist,L6520,A
W,1710.562,0,,2,nist,L6520,A
W,1715.860,0,,2,nist,L6520,A
W,1715.860,0,,2,nist,L6520,A
W,1717.513,0,,2,nist,L6520,A
W,1717.930,0,,2,nist,L6520,A
W,1718.788,0,,2,nist,L6520,A
W,1726.391,0,,2,nist,L6520,A
W,1728.578,0,,2,nist,L6520,A
W,1731.917,0,,2,nist,L6520,A
W,1735.614,0,,2,nist,L6520,A
W,1735.672,0,,2,nist,L6520,A
W,1751.793,0,,2,nist,L6520,A
W,1759.006,0,,2,nist,L6520,A
W,1761.771,0,,2,nist,L6520,A
W,1766.480,0,,2,nist,L6520,A
W,1767.764,0,,2,nist,L6520,A
W,1770.272,0,,2,nist,L6520,A
W,1776.862,0,,2,nist,L6520,A
W,1783.042,150,,2,nist,L6520,A
W,1787.612,0,,2,nist,L6520,A
W,1795.088,0,,2,nist,L6520,A
W,1798.610,0,,2,nist,L6520,A
W,1799.553,0,,2,nist,L6520,A
W,1800.491,0,,2,nist,L6520,A
W,1800.599,0,,2,nist,L6520,A
W,1802.188,0,,2,nist,L6520,A
W,1807.695,0,,2,nist,L6520,A
W,1811.028,0,,2,nist,L6520,A
W,1812.279,0,,2,nist,L6520,A
W,1812.758,0,,2,nist,L6520,A
W,1815.095,0,,2,nist,L6520,A
W,1817.336,0,,2,nist,L6520,A
W,1821.199,0,,2,nist,L6520,A
W,1828.687,250,,2,nist,L6520,A
W,1832.658,0,,2,nist,L6520,A
W,1832.839,0,,2,nist,L6520,A
W,1832.943,0,,2,nist,L6520,A
W,1838.315,150,,2,nist,L6520,A
W,1842.397,0,,2,nist,L6520,A
W,1847.345,0,,2,nist,L6520,A
W,1848.106,250,,2,nist,L6520,A
W,1849.132,0,,2,nist,L6520,A
W,1852.086,0,,2,nist,L6520,A
W,1852.911,0,,2,nist,L6520,A
W,1855.102,350,,2,nist,L6520,A
W,1859.197,0,,2,nist,L6520,A
W,1861.257,0,,2,nist,L6520,A
W,1861.441,0,,2,nist,L6520,A
W,1861.593,0,,2,nist,L6520,A
W,1862.295,0,,2,nist,L6520,A
W,1864.948,0,,2,nist,L6520,A
W,1865.815,0,,2,nist,L6520,A
W,1871.260,0,,2,nist,L6520,A
W,1871.848,0,,2,nist,L6520,A
W,1873.6395,0,,2,nist,L11762,A
W,1875.126,0,,2,nist,L6520,A
W,1876.614,0,,2,nist,L6520,A
W,1877.218,0,,2,nist,L6520,A
W,1877.8540,0,,2,nist,L11762,A
W,1880.202,0,,2,nist,L6520,A
W,1881.807,0,,2,nist,L6520,A
W,1882.187,0,,2,nist,L6520,A
W,1886.305,0,,2,nist,L6520,A
W,1886.464,0,,2,nist,L6520,A
W,1886.677,0,,2,nist,L6520,A
W,1891.835,0,,2,nist,L6520,A
W,1891.886,0,,2,nist,L6520,A
W,1896.352,0,,2,nist,L6520,A
W,1896.468,0,,2,nist,L6520,A
W,1899.4381,0,,2,nist,L11762,A
W,1900.477,0,,2,nist,L6520,A
W,1901.367,0,,2,nist,L6520,A
W,1902.4950,0,,2,nist,L11762,A
W,1903.470,0,,2,nist,L6520,A
W,1904.500,0,,2,nist,L6520,A
W,1906.625,0,,2,nist,L6520,A
W,1909.368,0,,2,nist,L6520,A
W,1910.017,0,,2,nist,L6520,A
W,1911.4742,0,,2,nist,L11762,A
W,1915.350,0,,2,nist,L6520,A
