element,wavelength,intensity,acc,state,source,reference,unit
W,1000.142,0,,4,nist,L6352,A
W,1000.664,200,,4,nist,L6352,A
W,1000.953,0,,4,nist,L6352,A
W,1001.335,100,,4,nist,L6352,A
W,1001.883,200,,4,nist,L6352,A
W,1002.091,0,,4,nist,L6352,A
W,1002.753,0,,4,nist,L6352,A
W,1003.230,0,,4,nist,L6352,A
W,1003.860,500,,4,nist,L6352,A
W,1006.439,0,,4,nist,L6352,A
W,1006.669,0,,4,nist,L6352,A
W,1007.744,0,,4,nist,L6352,A
W,1007.889,0,,4,nist,L6352,A
W,1008.006,0,,4,nist,L6352,A
W,1008.681,100,,4,nist,L6352,A
W,1009.384,0,,4,nist,L6352,A
W,1010.914,0,,4,nist,L6352,A
W,1010.957,0,,4,nist,L6352,A
W,1011.354,0,,4,nist,L6352,A
W,1011.587,0,,4,nist,L6352,A
W,1012.649,0,,4,nist,L6352,A
W,1013.254,100,,4,nist,L6352,A
W,1013.254,100,,4,nist,L6352,A
W,1013.534,0,,4,nist,L6352,A
W,1015.042,0,,4,nist,L6352,A
W,1015.604,200,,4,nist,L6352,A
W,1016.677,100,,4,nist,L6352,A
W,1018.965,0,,4,nist,L6352,A
W,1019.082,100,,4,nist,L6352,A
W,1019.274,0,,4,nist,L6352,A
W,1019.390,0,,4,nist,L6352,A
W,1019.897,0,,4,nist,L6352,A
W,1021.476,0,,4,nist,L6352,A
W,1021.560,0,,4,nist,L6352,A
W,1024.970,0,,4,nist,L6352,A
W,1025.137,500,,4,nist,L6352,A
W,1025.948,200,,4,nist,L6352,A
W,1026.210,100,,4,nist,L6352,A
W,1026.419,200,,4,nist,L6352,A
W,1026.556,0,,4,nist,L6352,A
W,1026.902,100,,4,nist,L6352,A
W,1029.040,0,,4,nist,L6352,A
W,1029.348,0,,4,nist,L6352,A
W,1031.671,100,,4,nist,L6352,A
W,1031.859,300,,4,nist,L6352,A
W,1032.326,0,,4,nist,L6352,A
W,1033.221,0,,4,nist,L6352,A
W,1035.910,100,,4,nist,L6352,A
W,1036.163,100,,4,nist,L6352,A
W,1036.570,800,,4,nist,L6352,A
W,1037.952,300,,4,nist,L6352,A
W,1038.104,0,,4,nist,L6352,A
W,1038.290,0,,4,nist,L6352,A
W,1038.917,100,,4,nist,L6352,A
W,1039.152,0,,4,nist,L6352,A
W,1040.334,100,,4,nist,L6352,A
W,1041.589,500,,4,nist,L6352,A
W,1041.988,0,,4,nist,L6352,A
W,1043.256,0,,4,nist,L6352,A
W,1046.044,200,,4,nist,L6352,A
W,1047.165,100,,4,nist,L6352,A
W,1048.244,300,,4,nist,L6352,A
W,1049.200,500,,4,nist,L6352,A
W,1049.549,0,,4,nist,L6352,A
W,1050.772,0,,4,nist,L6352,A
W,1050.920,500,,4,nist,L6352,A
W,1051.511,0,,4,nist,L6352,A
W,1052.474,0,,4,nist,L6352,A
W,1052.725,0,,4,nist,L6352,A
W,1053.854,0,,4,nist,L6352,A
W,1054.802,100,,4,nist,L6352,A
W,1055.348,0,,4,nist,L6352,A
W,1055.957,0,,4,nist,L6352,A
W,1057.919,100,,4,nist,L6352,A
W,1058.243,100,,4,nist,L6352,A
