element,wavelength,intensity,acc,state,source,reference,unit
Xe,0.39639,0,AA,54,nist,L7264,A
Xe,0.40192,0,AA,54,nist,L7264,A
Xe,0.404774,0,,53,nist,L7282,A
Xe,0.410457,0,,53,nist,L7283,A
Xe,0.411578,0,,53,nist,L7283,A
Xe,1002.087,0,,3,nist,L10579,A
Xe,1002.480,0,,5,nist,L7287,A
Xe,1002.670,0,,4,nist,L11502,A
Xe,10026.47,0,,1,nist,L4739,A
Xe,10026.47,0,,1,nist,L4739,A
Xe,1003.380,0,,4,nist,L11173,A
Xe,10059.60,0,,1,nist,L4739,A
Xe,1006.731,0,,4,nist,L11173,A
Xe,10060.72,0,,1,nist,L4739,A
Xe,10063.72,0,,1,nist,L4739,A
Xe,1008.680,0,,4,nist,L11502,A
Xe,10087.55,0,,1,nist,L4739,A
Xe,1009.430,0,,4,nist,L11502,A
Xe,1009.860,0,,4,nist,L11502,A
Xe,101.66,0,,25,nist,L11896,A
Xe,1011.1,0,,6,nist,L11642,A
Xe,1011.1,0,,6,nist,L11642,A
Xe,10110.11,0,,1,nist,L4739,A
Xe,10122.57,0,,1,nist,L4739,A
Xe,10128.25,0,,1,nist,L4739,A
Xe,1014.825,0,,3,nist,L10579,A
Xe,1016.188,0,,3,nist,L10579,A
Xe,1016.19,0,,7,nist,L7278,A
Xe,1017.270,0,,6,nist,L11820,A
Xe,1017.682,0,,3,nist,L10579,A
Xe,1018.810,0,,4,nist,L11502,A
Xe,10191.15,0,,1,nist,L4739,A
Xe,102.815,0,,9,nist,L11883,A
Xe,10223.6,0,,2,nist,L6925,A
Xe,1025.777,0,,1,nist,L6449,A
Xe,1025.906,0,,1,nist,L6449,A
Xe,10253.88,0,,1,nist,L4739,A
Xe,1026.223,0,,1,nist,L6449,A
Xe,1026.378,0,,1,nist,L6449,A
Xe,1026.600,0,,5,nist,L7287,A
Xe,1026.637,0,,1,nist,L6449,A
Xe,1026.758,0,,1,nist,L6449,A
Xe,1026.945,0,,4,nist,L11173,A
Xe,1026.946,0,,1,nist,L6449,A
Xe,1027.050,0,,2,nist,L6925,A
Xe,1027.260,0,,1,nist,L6449,A
Xe,1027.405,0,,1,nist,L6449,A
Xe,1027.635,0,,1,nist,L6449,A
Xe,1028.020,0,,1,nist,L6449,A
Xe,1028.198,0,,1,nist,L6449,A
Xe,1028.484,0,,1,nist,L6449,A
Xe,1028.630,0,,4,nist,L11502,A
Xe,1028.966,0,,1,nist,L6449,A
Xe,1029.186,0,,1,nist,L6449,A
Xe,1029.546,0,,1,nist,L6449,A
Xe,103.475,0,,52,nist,L9783,A
Xe,103.808,0,,9,nist,L11883,A
Xe,1030.159,0,,1,nist,L6449,A
Xe,1030.280,0,,4,nist,L11502,A
Xe,1030.435,0,,1,nist,L6449,A
Xe,1030.902,0,,1,nist,L6449,A
Xe,1031.696,0,,1,nist,L6449,A
Xe,1032.050,0,,1,nist,L6449,A
Xe,1032.438,0,,2,nist,L6925,A
Xe,1032.596,0,,2,nist,L6925,A
Xe,1032.666,0,,1,nist,L6449,A
Xe,1032.990,0,,4,nist,L11502,A
Xe,10326.7,0,,1,nist,L4103,A
Xe,1033.724,0,,1,nist,L6449,A
Xe,1034.184,0,,1,nist,L6449,A
Xe,1034.540,0,,4,nist,L11502,A
Xe,1035.022,0,,1,nist,L6449,A
Xe,1036.476,0,,1,nist,L6449,A
Xe,1037.087,0,,1,nist,L6449,A
Xe,1037.680,0,,2,nist,L6925,A
Xe,1038.259,0,,1,nist,L6449,A
Xe,1040.336,0,,1,nist,L6449,A
Xe,1041.170,0,C+,1,nist,L6449,A
Xe,1041.306,0,,2,nist,L6925,A
Xe,1041.813,0,,4,nist,L6623,A
Xe,1042.613,0,,1,nist,L6449,A
Xe,10423.38,0,,1,nist,L4739,A
Xe,1043.83497,0,C,1,nist,L9794,A
Xe,1046.123,0,,1,nist,L6449,A
Xe,1047.136,0,C+,1,nist,L6449,A
Xe,1047.799,0,,3,nist,L10579,A
Xe,1048.120,0,,2,nist,L6925,A
Xe,1048.272,0,,2,nist,L6925,A
Xe,1048.755,0,,3,nist,L10579,A
Xe,10487.70,0,,1,nist,L4739,A
Xe,105.699,0,,11,nist,L12003,A
Xe,1050.107,0,D+,1,nist,L6449,A
Xe,1051.920,0,,2,nist,L6925,A
Xe,10510.79,0,,1,nist,L4739,A
Xe,10518.03,0,,1,nist,L4739,A
