element,wavelength,intensity,acc,state,source,reference,unit
Xe,10223.6,0,,2,nist,L6925,A
Xe,1027.050,0,,2,nist,L6925,A
Xe,1032.438,0,,2,nist,L6925,A
Xe,1032.596,0,,2,nist,L6925,A
Xe,1037.680,0,,2,nist,L6925,A
Xe,1041.306,0,,2,nist,L6925,A
Xe,1048.120,0,,2,nist,L6925,A
Xe,1048.272,0,,2,nist,L6925,A
Xe,1051.920,0,,2,nist,L6925,A
Xe,1067.088,0,,2,nist,L6925,A
Xe,1074.476,0,,2,nist,L6925,A
Xe,1083.860,0,,2,nist,L6925,A
Xe,10917.30,0,,2,nist,L7260,A
Xe,1100.432,0,,2,nist,L6925,A
Xe,1103.515,0,,2,nist,L6925,A
Xe,11119.73,0,,2,nist,L7260,A
Xe,1158.474,0,,2,nist,L6925,A
Xe,1169.633,0,,2,nist,L6925,A
Xe,1183.053,0,,2,nist,L6925,A
Xe,1244.756,0,,2,nist,L6925,A
Xe,1881.485,0,,2,nist,L6925,A
Xe,1972.673,0,,2,nist,L6925,A
Xe,2021.79,0,,2,nist,L7270,A
Xe,2036.81,0,,2,nist,L7270,A
Xe,2041.08,0,,2,nist,L5583,A
Xe,2044.12,0,,2,nist,L5583,A
Xe,2054.355,0,,2,nist,L6925,A
Xe,2066.21,0,,2,nist,L5583,A
Xe,2068.99,0,,2,nist,L5583,A
Xe,2070.61,0,,2,nist,L5583,A
Xe,2076.98,0,,2,nist,L5583,A
Xe,2103.51,0,,2,nist,L5583,A
Xe,2108.91,0,,2,nist,L7270,A
Xe,2117.88,0,,2,nist,L5583,A
Xe,2121.28,0,,2,nist,L5583,A
Xe,2125.40,0,,2,nist,L5583,A
Xe,2129.40,0,,2,nist,L5583,A
Xe,2139.52,0,,2,nist,L5583,A
Xe,2142.92,0,,2,nist,L7270,A
Xe,2146.99,0,,2,nist,L7270,A
Xe,2153.76,0,,2,nist,L5583,A
Xe,2155.58,0,,2,nist,L7270,A
Xe,2166.73,0,,2,nist,L5583,A
Xe,2168.52,0,,2,nist,L5583,A
