element,wavelength,intensity,acc,state,source,reference,unit
Xe,1002.670,0,,4,nist,L11502,A
Xe,1003.380,0,,4,nist,L11173,A
Xe,1006.731,0,,4,nist,L11173,A
Xe,1008.680,0,,4,nist,L11502,A
Xe,1009.430,0,,4,nist,L11502,A
Xe,1009.860,0,,4,nist,L11502,A
Xe,1018.810,0,,4,nist,L11502,A
Xe,1026.945,0,,4,nist,L11173,A
Xe,1028.630,0,,4,nist,L11502,A
Xe,1030.280,0,,4,nist,L11502,A
Xe,1032.990,0,,4,nist,L11502,A
Xe,1034.540,0,,4,nist,L11502,A
Xe,1041.813,0,,4,nist,L6623,A
Xe,1061.440,0,,4,nist,L11502,A
Xe,1062.650,0,,4,nist,L11502,A
Xe,1064.110,0,,4,nist,L11502,A
Xe,1065.056,0,,4,nist,L11173,A
Xe,1067.695,0,,4,nist,L11173,A
Xe,1068.810,0,,4,nist,L11502,A
Xe,1069.210,0,,4,nist,L11502,A
Xe,1081.390,0,,4,nist,L11502,A
Xe,1083.250,0,,4,nist,L11502,A
Xe,1084.660,0,,4,nist,L11502,A
Xe,1089.650,0,,4,nist,L11502,A
Xe,1091.160,0,,4,nist,L11502,A
Xe,1097.350,0,,4,nist,L11502,A
Xe,1102.950,0,,4,nist,L11502,A
Xe,1108.910,0,,4,nist,L11502,A
Xe,1113.291,0,,4,nist,L11173,A
Xe,1113.570,0,,4,nist,L11502,A
Xe,1114.440,0,,4,nist,L11502,A
Xe,1116.290,0,,4,nist,L11502,A
Xe,1117.090,0,,4,nist,L11502,A
Xe,1118.417,0,,4,nist,L11173,A
Xe,1125.350,0,,4,nist,L11502,A
Xe,1138.060,0,,4,nist,L11502,A
Xe,1139.440,0,,4,nist,L11502,A
Xe,1143.250,0,,4,nist,L11502,A
Xe,1144.160,0,,4,nist,L11502,A
Xe,1148.710,0,,4,nist,L11502,A
Xe,1150.260,0,,4,nist,L11502,A
Xe,1151.080,0,,4,nist,L11502,A
Xe,1153.510,0,,4,nist,L11502,A
Xe,1154.670,0,,4,nist,L11502,A
Xe,1155.650,0,,4,nist,L11502,A
Xe,1157.468,0,,4,nist,L11173,A
Xe,1159.046,0,,4,nist,L6623,A
Xe,1163.140,0,,4,nist,L11502,A
Xe,1174.700,0,,4,nist,L11502,A
Xe,1175.710,0,,4,nist,L11502,A
Xe,1177.370,0,,4,nist,L11502,A
Xe,1181.950,0,,4,nist,L11502,A
Xe,1188.610,0,,4,nist,L11502,A
Xe,1190.180,0,,4,nist,L11502,A
Xe,1190.570,0,,4,nist,L11502,A
Xe,1190.980,0,,4,nist,L11502,A
Xe,1192.130,0,,4,nist,L11502,A
Xe,1192.320,0,,4,nist,L11502,A
Xe,1200.810,0,,4,nist,L11502,A
Xe,1201.630,0,,4,nist,L11502,A
Xe,1202.690,0,,4,nist,L11502,A
Xe,1203.170,0,,4,nist,L11502,A
Xe,1205.070,0,,4,nist,L11502,A
Xe,1210.600,0,,4,nist,L11502,A
Xe,1211.300,0,,4,nist,L11502,A
Xe,1212.040,0,,4,nist,L11502,A
Xe,1217.257,0,,4,nist,L11173,A
Xe,1220.560,0,,4,nist,L11502,A
Xe,1222.530,0,,4,nist,L11502,A
Xe,1225.760,0,,4,nist,L11502,A
Xe,1226.420,0,,4,nist,L11502,A
Xe,1230.940,0,,4,nist,L11502,A
Xe,1231.263,0,,4,nist,L11173,A
Xe,1240.900,0,,4,nist,L11502,A
Xe,1242.420,0,,4,nist,L11502,A
Xe,1243.560,0,,4,nist,L11502,A
Xe,1254.220,0,,4,nist,L11502,A
Xe,1255.570,0,,4,nist,L11502,A
Xe,1259.570,0,,4,nist,L11502,A
Xe,1262.850,0,,4,nist,L11502,A
Xe,1263.760,0,,4,nist,L11502,A
Xe,1266.290,0,,4,nist,L11502,A
Xe,1271.210,0,,4,nist,L11502,A
Xe,1272.960,0,,4,nist,L11502,A
Xe,1280.540,0,,4,nist,L11502,A
Xe,1283.810,0,,4,nist,L11502,A
Xe,1290.720,0,,4,nist,L11502,A
Xe,1290.860,0,,4,nist,L11502,A
Xe,1298.460,0,,4,nist,L11502,A
Xe,1301.170,0,,4,nist,L11502,A
Xe,1321.270,0,,4,nist,L11502,A
Xe,1322.500,0,,4,nist,L11502,A
Xe,1322.870,0,,4,nist,L11502,A
Xe,1328.270,0,,4,nist,L11502,A
Xe,1331.810,0,,4,nist,L11502,A
Xe,1333.770,0,,4,nist,L11502,A
Xe,1336.980,0,,4,nist,L11502,A
Xe,1338.230,0,,4,nist,L11502,A
Xe,1338.570,0,,4,nist,L11502,A
Xe,1340.900,0,,4,nist,L11502,A
Xe,1344.740,0,,4,nist,L11502,A
Xe,1345.610,0,,4,nist,L11502,A
Xe,1350.820,0,,4,nist,L11502,A
Xe,1351.360,0,,4,nist,L11502,A
Xe,1351.530,0,,4,nist,L11502,A
Xe,1352.780,0,,4,nist,L11502,A
Xe,1353.650,0,,4,nist,L11502,A
Xe,1354.010,0,,4,nist,L11502,A
Xe,1355.740,0,,4,nist,L11502,A
Xe,1358.637,0,,4,nist,L6623,A
Xe,1361.150,0,,4,nist,L11502,A
Xe,1365.610,0,,4,nist,L11502,A
Xe,1367.780,0,,4,nist,L11502,A
Xe,1369.240,0,,4,nist,L11502,A
Xe,1378.420,0,,4,nist,L11502,A
Xe,1384.500,0,,4,nist,L11502,A
Xe,1385.480,0,,4,nist,L11502,A
Xe,1387.430,0,,4,nist,L11502,A
Xe,1390.220,0,,4,nist,L11502,A
Xe,1390.610,0,,4,nist,L11502,A
Xe,1390.840,0,,4,nist,L11502,A
Xe,1401.020,0,,4,nist,L11502,A
Xe,1403.064,0,,4,nist,L6623,A
Xe,1403.540,0,,4,nist,L11502,A
Xe,1406.230,0,,4,nist,L11502,A
Xe,1406.860,0,,4,nist,L11502,A
Xe,1407.760,0,,4,nist,L11502,A
Xe,1407.830,0,,4,nist,L11502,A
Xe,1407.830,0,,4,nist,L11502,A
Xe,1411.420,0,,4,nist,L11502,A
Xe,1414.340,0,,4,nist,L11502,A
Xe,1417.240,0,,4,nist,L11502,A
Xe,1422.140,0,,4,nist,L11502,A
Xe,1422.270,0,,4,nist,L11502,A
Xe,1422.860,0,,4,nist,L11502,A
Xe,1424.020,0,,4,nist,L11502,A
Xe,1427.480,0,,4,nist,L11502,A
Xe,1429.700,0,,4,nist,L11502,A
Xe,1430.020,0,,4,nist,L11502,A
Xe,1437.500,0,,4,nist,L11502,A
Xe,1437.500,0,,4,nist,L11502,A
Xe,1440.540,0,,4,nist,L11502,A
Xe,1444.790,0,,4,nist,L11502,A
Xe,1445.950,0,,4,nist,L11502,A
Xe,1452.150,0,,4,nist,L11502,A
Xe,1455.420,0,,4,nist,L11502,A
Xe,1463.880,0,,4,nist,L11502,A
Xe,1465.730,0,,4,nist,L11502,A
Xe,1470.580,0,,4,nist,L11502,A
Xe,1478.330,0,,4,nist,L11502,A
Xe,1480.780,0,,4,nist,L11502,A
Xe,1482.450,0,,4,nist,L11502,A
Xe,1484.930,0,,4,nist,L11502,A
Xe,1486.050,0,,4,nist,L11502,A
Xe,1493.870,0,,4,nist,L11502,A
Xe,1496.650,0,,4,nist,L11502,A
Xe,1497.090,0,,4,nist,L11502,A
Xe,1497.190,0,,4,nist,L11502,A
Xe,1506.410,0,,4,nist,L11502,A
Xe,1506.720,0,,4,nist,L11502,A
Xe,1514.080,0,,4,nist,L11502,A
Xe,1517.030,0,,4,nist,L11502,A
Xe,1524.280,0,,4,nist,L11502,A
Xe,1526.460,0,,4,nist,L11502,A
Xe,1528.970,0,,4,nist,L11502,A
Xe,1530.980,0,,4,nist,L11502,A
Xe,1541.100,0,,4,nist,L11502,A
Xe,1541.900,0,,4,nist,L11502,A
Xe,1548.200,0,,4,nist,L11502,A
Xe,1549.620,0,,4,nist,L11502,A
Xe,1552.410,0,,4,nist,L11502,A
Xe,1553.580,0,,4,nist,L11502,A
Xe,1556.860,0,,4,nist,L11502,A
Xe,1558.110,0,,4,nist,L11502,A
Xe,1562.192,0,,4,nist,L6623,A
Xe,1562.730,0,,4,nist,L11502,A
Xe,1563.410,0,,4,nist,L11502,A
Xe,1566.080,0,,4,nist,L11502,A
Xe,1569.910,0,,4,nist,L11502,A
Xe,1571.640,0,,4,nist,L11502,A
Xe,1572.090,0,,4,nist,L11502,A
Xe,1572.520,0,,4,nist,L11502,A
Xe,1572.820,0,,4,nist,L11502,A
Xe,1575.340,0,,4,nist,L11502,A
Xe,1577.470,0,,4,nist,L11502,A
Xe,1577.770,0,,4,nist,L11502,A
Xe,1581.130,0,,4,nist,L11502,A
Xe,1583.850,0,,4,nist,L11502,A
Xe,1583.850,0,,4,nist,L11502,A
Xe,1589.780,0,,4,nist,L11502,A
Xe,1593.440,0,,4,nist,L11502,A
Xe,1597.430,0,,4,nist,L11502,A
Xe,1601.350,0,,4,nist,L11502,A
Xe,1602.190,0,,4,nist,L11502,A
Xe,1604.140,0,,4,nist,L11502,A
Xe,1619.570,0,,4,nist,L11502,A
Xe,1620.700,0,,4,nist,L11502,A
Xe,1625.330,0,,4,nist,L11502,A
