element,wavelength,intensity,acc,state,source,reference,unit
Y,1000.56,150,,3,nist,L2592,A
Y,1001.401,8000,E,5,nist,L19755c153,A
Y,1003.35,0,,3,nist,L2592,A
Y,1006.58,1000,,3,nist,L2592,A
Y,1007.459,0,E,5,nist,L19755c153,A
Y,1007.86,1200,,3,nist,L2592,A
Y,1012.182,300,E,5,nist,L19755,A
Y,1013.316,0,E,5,nist,L19755c153,A
Y,1013.765,0,E,5,nist,L19755,A
Y,1021.642,8000,,5,nist,L19755,A
Y,1023.866,300,,5,nist,L19755,A
Y,1024.417,0,E,5,nist,L19755c153,A
Y,1024.800,2000,,5,nist,L19755,A
Y,1025.165,8000,,5,nist,L19755,A
Y,1026.554,0,,5,nist,L19755,A
Y,1028.34,7000,,5,nist,L19755,A
Y,1028.34,7000,E,5,nist,L19755,A
Y,1040.119,200,,5,nist,L19755,A
Y,1043.889,0,E,5,nist,L19755,A
Y,1044.113,500,E,5,nist,L19755,A
Y,1044.349,0,E,5,nist,L19755c153,A
Y,1049.162,0,,5,nist,L19755,A
Y,1062.555,500,,5,nist,L19755,A
Y,1063.881,0,E,5,nist,L19755,A
Y,1065.429,0,,5,nist,L19755,A
Y,1065.938,200,,5,nist,L19755c153,A
Y,1069.777,8000,,5,nist,L19755,A
Y,1072.143,500,,5,nist,L19755,A
Y,1072.627,0,,5,nist,L19755,A
Y,1074.887,500,,5,nist,L19755,A
Y,1077.52,120,,3,nist,L2592,A
Y,1077.696,0,E,5,nist,L19755,A
Y,1081.35,500,,3,nist,L2592,A
Y,1084.63,0,,3,nist,L2592,A
Y,1086.914,0,,5,nist,L19755,A
Y,1088.274,0,,5,nist,L19755,A
Y,1088.39,350,,3,nist,L2592,A
Y,1090.176,0,,5,nist,L19755,A
Y,1091.166,500,,5,nist,L19755,A
Y,1093.406,500,,5,nist,L19755,A
Y,1095.25,250,,3,nist,L2592,A
Y,1095.87,0,,3,nist,L2592,A
Y,1097.106,0,,5,nist,L19755c153,A
Y,1100.762,500,,5,nist,L19755,A
Y,1103.21,150,,3,nist,L2592,A
Y,1104.810,8000,,5,nist,L19755,A
Y,1105.225,0,E,5,nist,L19755,A
Y,1112.211,0,E,5,nist,L19755,A
Y,1113.632,500,,5,nist,L19755,A
Y,1115.130,8000,,5,nist,L19755,A
Y,1115.714,0,E,5,nist,L19755,A
Y,1117.949,5000,,5,nist,L19755c153,A
Y,1122.891,0,,5,nist,L19755,A
Y,1123.198,0,,5,nist,L19755,A
Y,1123.432,0,E,5,nist,L19755c153,A
Y,1125.741,8000,,5,nist,L19755,A
Y,1127.686,0,E,5,nist,L19755,A
Y,1128.160,0,,5,nist,L19755,A
Y,1130.833,200,,5,nist,L19755,A
Y,1131.984,0,E,5,nist,L19755,A
Y,1134.495,0,,5,nist,L19755,A
Y,1134.562,200,,5,nist,L19755,A
Y,1136.509,0,E,5,nist,L19755,A
Y,1136.993,0,,5,nist,L19755,A
Y,1137.123,0,E,5,nist,L19755,A
Y,1137.375,200,,5,nist,L19755,A
Y,1142.799,0,,5,nist,L19755,A
Y,1150.971,150,,5,nist,L19755,A
Y,1157.079,0,,5,nist,L19755,A
Y,1161.657,0,,5,nist,L19755,A
Y,1162.889,0,E,5,nist,L19755,A
Y,1163.149,0,E,5,nist,L19755,A
Y,1164.616,200,,5,nist,L19755,A
Y,1167.437,0,E,5,nist,L19755,A
Y,1168.328,200,,5,nist,L19755,A
Y,1168.565,0,,5,nist,L19755c153,A
Y,1169.735,150,E,5,nist,L19755,A
Y,1169.818,200,,5,nist,L19755,A
Y,1176.540,300,,5,nist,L19755,A
Y,1177.82,200,,5,nist,L19755,A
Y,1179.214,0,,5,nist,L19755,A
Y,1185.554,0,,5,nist,L19755,A
Y,1187.777,200,,5,nist,L19755,A
Y,1188.940,0,E,5,nist,L19755,A
Y,1191.195,500,,5,nist,L19755,A
Y,1191.640,0,E,5,nist,L19755,A
Y,1197.981,300,,5,nist,L19755,A
Y,1201.630,800,,5,nist,L19755,A
Y,1209.328,100,,5,nist,L19755,A
Y,1210.115,500,,5,nist,L19755,A
Y,1213.322,0,,5,nist,L19755,A
Y,1218.066,0,E,5,nist,L19755,A
Y,1221.502,150,,5,nist,L19755,A
Y,1227.090,200,,5,nist,L19755,A
Y,1230.424,150,,5,nist,L19755,A
Y,1240.739,0,E,5,nist,L19755c153,A
Y,1241.643,0,E,5,nist,L19755,A
