element,wavelength,intensity,acc,state,source,reference,unit
Yb,2465.25,460,,1,nist,L3475,A
Yb,2672.75,390,,1,nist,L3475,A
Yb,2874.33,0,,1,nist,L3475,A
Yb,2935.22,0,,1,nist,L3475,A
Yb,3101.64,0,,1,nist,L3475,A
Yb,3163.21,0,,1,nist,L3475,A
Yb,3240.51,0,,1,nist,L3475,A
Yb,3306.20,130,,1,nist,L3475,A
Yb,3320.37,0,,1,nist,L3475,A
Yb,3388.47,140,,1,nist,L3475,A
Yb,3413.43,0,,1,nist,L3475,A
Yb,3419.37,140,,1,nist,L3475,A
Yb,3427.02,360,,1,nist,L3475,A
Yb,3432.09,240,,1,nist,L3475,A
Yb,3453.39,0,,1,nist,L3475,A
Yb,3459.38,0,,1,nist,L3475,A
Yb,3461.26,360,,1,nist,L3475,A
Yb,3465.36,2400,,1,nist,L3475,A
Yb,3518.01,0,,1,nist,L3475,A
Yb,3560.05,0,,1,nist,L3475,A
Yb,3649.19,0,,1,nist,L3475,A
Yb,3656.77,0,,1,nist,L3475,A
Yb,3701.63,0,,1,nist,L3475,A
Yb,3735.75,180,,1,nist,L3475,A
Yb,3771.17,550,,1,nist,L3475,A
Yb,3775.39,0,,1,nist,L3475,A
Yb,3792.82,0,,1,nist,L3475,A
Yb,3841.00,170,,1,nist,L3475,A
Yb,3873.95,340,,1,nist,L3475,A
Yb,3901.96,340,,1,nist,L3475,A
Yb,3912.38,140,,1,nist,L3475,A
Yb,3989.12,32000,,1,nist,L3475,A
Yb,3992.01,930,,1,nist,L3475,A
Yb,4008.49,0,,1,nist,L3475,A
Yb,4053.42,0,,1,nist,L3475,A
Yb,4090.83,440,,1,nist,L3475,A
Yb,4150.24,470,,1,nist,L3475,A
Yb,4175.74,120,,1,nist,L3475,A
Yb,4219.88,0,,1,nist,L3475,A
Yb,4233.16,120,,1,nist,L3475,A
Yb,4278.94,0,,1,nist,L3475,A
Yb,4307.18,120,,1,nist,L3475,A
Yb,4394.92,0,,1,nist,L3475,A
Yb,4431.45,0,,1,nist,L3475,A
Yb,4440.44,440,,1,nist,L3475,A
Yb,4483.68,0,,1,nist,L3475,A
Yb,4565.23,0,,1,nist,L3475,A
Yb,4577.49,640,,1,nist,L3475,A
Yb,4583.64,200,,1,nist,L3475,A
Yb,4590.50,0,,1,nist,L3475,A
Yb,4592.12,140,,1,nist,L3475,A
Yb,4685.58,0,,1,nist,L3475,A
Yb,4783.21,170,,1,nist,L3475,A
Yb,4817.78,0,,1,nist,L3475,A
Yb,4838.81,0,,1,nist,L3475,A
Yb,4895.97,0,,1,nist,L3475,A
Yb,4913.73,0,,1,nist,L3475,A
Yb,4936.88,710,,1,nist,L3475,A
Yb,4968.29,140,,1,nist,L3475,A
Yb,5069.21,0,,1,nist,L3475,A
Yb,5070.55,0,,1,nist,L3475,A
Yb,5075.75,220,,1,nist,L3475,A
Yb,5078.16,0,,1,nist,L3475,A
Yb,5197.53,0,,1,nist,L3475,A
Yb,5213.05,0,,1,nist,L3475,A
Yb,5245.57,100,,1,nist,L3475,A
Yb,5278.51,150,,1,nist,L3475,A
Yb,5352.78,0,,1,nist,L3475,A
Yb,5365.15,0,,1,nist,L3475,A
Yb,5483.44,0,,1,nist,L3475,A
Yb,5507.02,0,,1,nist,L3475,A
Yb,5526.07,0,,1,nist,L3475,A
Yb,5540.59,0,,1,nist,L3475,A
Yb,5558.01,2400,,1,nist,L3475,A
Yb,5563.63,0,,1,nist,L3475,A
Yb,5569.66,0,,1,nist,L3475,A
Yb,5587.91,0,,1,nist,L3475,A
Yb,5721.58,220,,1,nist,L3475,A
Yb,5757.49,0,,1,nist,L3475,A
Yb,5805.05,0,,1,nist,L3475,A
Yb,5856.13,0,,1,nist,L3475,A
Yb,5990.99,0,,1,nist,L3475,A
Yb,6056.25,0,,1,nist,L3475,A
Yb,6402.12,0,,1,nist,L3475,A
Yb,6419.68,0,,1,nist,L3475,A
Yb,6490.85,340,,1,nist,L3475,A
Yb,6645.38,0,,1,nist,L3475,A
Yb,6669.66,180,,1,nist,L3475,A
Yb,6680.01,0,,1,nist,L3475,A
Yb,6770.57,0,,1,nist,L3475,A
Yb,6801.48,690,,1,nist,L3475,A
Yb,7246.41,0,,1,nist,L3475,A
Yb,7307.23,0,,1,nist,L3475,A
Yb,7315.06,0,,1,nist,L3475,A
Yb,7352.06,0,,1,nist,L3475,A
Yb,7450.33,0,,1,nist,L3475,A
Yb,7529.53,0,,1,nist,L3475,A
Yb,7701.60,750,,1,nist,L3475,A
Yb,7897.25,0,,1,nist,L3475,A
