element,wavelength,intensity,acc,state,source,reference,unit
Yb,2117.34,2500,,2,nist,L3475,A
Yb,2127.41,3000,,2,nist,L3475,A
Yb,2162.28,370,,2,nist,L3475,A
Yb,2186.39,850,,2,nist,L3475,A
Yb,2225.15,640,,2,nist,L3475,A
Yb,2321.52,140,,2,nist,L3475,A
Yb,2363.61,0,,2,nist,L3475,A
Yb,2391.47,170,,2,nist,L3475,A
Yb,2398.75,0,,2,nist,L3475,A
Yb,2422.09,0,,2,nist,L3475,A
Yb,2448.00,0,,2,nist,L3475,A
Yb,2460.99,0,,2,nist,L3475,A
Yb,2485.64,0,,2,nist,L3475,A
Yb,2502.77,0,,2,nist,L3475,A
Yb,2506.23,0,,2,nist,L3475,A
Yb,2508.83,0,,2,nist,L3475,A
Yb,2512.82,140,,2,nist,L3475,A
Yb,2517.11,0,,2,nist,L3475,A
Yb,2523.20,0,,2,nist,L3475,A
Yb,2538.41,0,,2,nist,L3475,A
Yb,2539.43,270,,2,nist,L3475,A
Yb,2550.83,0,,2,nist,L3475,A
Yb,2552.92,0,,2,nist,L3475,A
Yb,2553.47,0,,2,nist,L3475,A
Yb,2566.34,0,,2,nist,L3475,A
Yb,2572.13,0,,2,nist,L3475,A
Yb,2573.92,0,,2,nist,L3475,A
Yb,2596.94,0,,2,nist,L3475,A
Yb,2597.10,0,,2,nist,L3475,A
Yb,2616.04,0,,2,nist,L3475,A
Yb,2617.79,100,,2,nist,L3475,A
Yb,2635.10,0,,2,nist,L3475,A
Yb,2640.24,0,,2,nist,L3475,A
Yb,2642.68,0,,2,nist,L3475,A
Yb,2645.10,110,,2,nist,L3475,A
Yb,2647.23,0,,2,nist,L3475,A
Yb,2648.25,0,,2,nist,L3475,A
Yb,2649.59,0,,2,nist,L3475,A
Yb,2650.58,0,,2,nist,L3475,A
Yb,2651.52,0,,2,nist,L3475,A
Yb,2654.54,990,,2,nist,L3475,A
Yb,2656.91,0,,2,nist,L3475,A
Yb,2660.06,0,,2,nist,L3475,A
Yb,2665.83,200,,2,nist,L3475,A
Yb,2669.54,0,,2,nist,L3475,A
Yb,2673.45,390,,2,nist,L3475,A
Yb,2681.20,0,,2,nist,L3475,A
Yb,2684.22,0,,2,nist,L3475,A
Yb,2685.55,0,,2,nist,L3475,A
Yb,2688.78,0,,2,nist,L3475,A
Yb,2696.23,0,,2,nist,L3475,A
Yb,2697.42,0,,2,nist,L3475,A
Yb,2701.60,0,,2,nist,L3475,A
Yb,2709.64,0,,2,nist,L3475,A
Yb,2711.34,0,,2,nist,L3475,A
Yb,2712.58,0,,2,nist,L3475,A
Yb,2713.46,0,,2,nist,L3475,A
Yb,2719.16,170,,2,nist,L3475,A
Yb,2723.01,0,,2,nist,L3475,A
Yb,2733.55,110,,2,nist,L3475,A
Yb,2734.90,0,,2,nist,L3475,A
Yb,2742.52,0,,2,nist,L3475,A
Yb,2748.39,0,,2,nist,L3475,A
Yb,2748.85,0,,2,nist,L3475,A
Yb,2749.47,230,,2,nist,L3475,A
Yb,2751.29,1300,,2,nist,L3475,A
Yb,2752.26,0,,2,nist,L3475,A
Yb,2759.82,0,,2,nist,L3475,A
Yb,2761.60,0,,2,nist,L3475,A
Yb,2762.19,0,,2,nist,L3475,A
Yb,2765.23,0,,2,nist,L3475,A
Yb,2772.14,0,,2,nist,L3475,A
Yb,2777.10,170,,2,nist,L3475,A
Yb,2785.48,100,,2,nist,L3475,A
Yb,2788.78,0,,2,nist,L3475,A
Yb,2794.10,0,,2,nist,L3475,A
Yb,2795.26,0,,2,nist,L3475,A
Yb,2795.89,0,,2,nist,L3475,A
Yb,2796.11,0,,2,nist,L3475,A
Yb,2798.62,0,,2,nist,L3475,A
Yb,2799.03,100,,2,nist,L3475,A
Yb,2800.21,0,,2,nist,L3475,A
Yb,2800.83,0,,2,nist,L3475,A
Yb,2800.89,0,,2,nist,L3475,A
Yb,2811.55,0,,2,nist,L3475,A
Yb,2815.36,0,,2,nist,L3475,A
Yb,2817.15,0,,2,nist,L3475,A
Yb,2821.98,140,,2,nist,L3475,A
Yb,2825.80,100,,2,nist,L3475,A
Yb,2831.82,190,,2,nist,L3475,A
Yb,2833.03,0,,2,nist,L3475,A
Yb,2835.80,0,,2,nist,L3475,A
Yb,2843.43,0,,2,nist,L3475,A
Yb,2848.02,230,,2,nist,L3475,A
Yb,2849.28,100,,2,nist,L3475,A
Yb,2850.18,0,,2,nist,L3475,A
Yb,2851.97,360,,2,nist,L3475,A
Yb,2852.70,0,,2,nist,L3475,A
Yb,2854.25,0,,2,nist,L3475,A
Yb,2854.52,0,,2,nist,L3475,A
Yb,2854.98,0,,2,nist,L3475,A
Yb,2855.33,0,,2,nist,L3475,A
Yb,2859.17,0,,2,nist,L3475,A
Yb,2859.30,0,,2,nist,L3475,A
Yb,2860.23,100,,2,nist,L3475,A
Yb,2860.64,430,,2,nist,L3475,A
Yb,2861.23,0,,2,nist,L3475,A
Yb,2862.05,140,,2,nist,L3475,A
Yb,2862.18,100,,2,nist,L3475,A
Yb,2867.90,200,,2,nist,L3475,A
Yb,2870.90,0,,2,nist,L3475,A
Yb,2886.82,0,,2,nist,L3475,A
Yb,2887.11,0,,2,nist,L3475,A
Yb,2888.89,200,,2,nist,L3475,A
Yb,2892.23,3600,,2,nist,L3475,A
Yb,2894.47,0,,2,nist,L3475,A
Yb,2897.75,0,,2,nist,L3475,A
Yb,2900.55,0,,2,nist,L3475,A
Yb,2903.26,0,,2,nist,L3475,A
Yb,2903.77,0,,2,nist,L3475,A
Yb,2907.73,0,,2,nist,L3475,A
Yb,2909.18,0,,2,nist,L3475,A
Yb,2910.04,0,,2,nist,L3475,A
Yb,2910.33,0,,2,nist,L3475,A
Yb,2912.37,0,,2,nist,L3475,A
Yb,2913.71,0,,2,nist,L3475,A
Yb,2915.06,170,,2,nist,L3475,A
Yb,2916.13,140,,2,nist,L3475,A
Yb,2917.28,0,,2,nist,L3475,A
Yb,2920.20,280,,2,nist,L3475,A
Yb,2921.98,0,,2,nist,L3475,A
Yb,2925.10,0,,2,nist,L3475,A
Yb,2928.71,0,,2,nist,L3475,A
Yb,2935.97,0,,2,nist,L3475,A
Yb,2938.05,0,,2,nist,L3475,A
Yb,2940.39,0,,2,nist,L3475,A
Yb,2941.38,0,,2,nist,L3475,A
Yb,2942.90,0,,2,nist,L3475,A
Yb,2946.77,140,,2,nist,L3475,A
Yb,2947.16,0,,2,nist,L3475,A
Yb,2947.62,0,,2,nist,L3475,A
Yb,2951.19,0,,2,nist,L3475,A
Yb,2956.18,0,,2,nist,L3475,A
Yb,2958.49,0,,2,nist,L3475,A
Yb,2963.39,0,,2,nist,L3475,A
Yb,2964.13,0,,2,nist,L3475,A
Yb,2964.33,0,,2,nist,L3475,A
Yb,2965.63,130,,2,nist,L3475,A
Yb,2971.43,2000,,2,nist,L3475,A
Yb,2983.36,0,,2,nist,L3475,A
Yb,2983.53,0,,2,nist,L3475,A
Yb,2984.57,0,,2,nist,L3475,A
Yb,2984.86,200,,2,nist,L3475,A
Yb,2985.95,0,,2,nist,L3475,A
Yb,2986.75,0,,2,nist,L3475,A
Yb,2991.24,0,,2,nist,L3475,A
Yb,2992.74,0,,2,nist,L3475,A
Yb,2994.81,0,,2,nist,L3475,A
Yb,2995.67,170,,2,nist,L3475,A
Yb,2996.73,0,,2,nist,L3475,A
Yb,3001.33,0,,2,nist,L3475,A
Yb,3003.49,0,,2,nist,L3475,A
Yb,3006.65,310,,2,nist,L3475,A
Yb,3010.27,100,,2,nist,L3475,A
Yb,3011.50,0,,2,nist,L3475,A
Yb,3015.31,0,,2,nist,L3475,A
Yb,3018.44,160,,2,nist,L3475,A
Yb,3027.55,160,,2,nist,L3475,A
Yb,3031.99,920,,2,nist,L3475,A
Yb,3035.52,0,,2,nist,L3475,A
Yb,3038.87,0,,2,nist,L3475,A
Yb,3040.55,0,,2,nist,L3475,A
Yb,3043.54,0,,2,nist,L3475,A
Yb,3044.89,0,,2,nist,L3475,A
Yb,3047.37,0,,2,nist,L3475,A
Yb,3047.94,0,,2,nist,L3475,A
Yb,3064.01,0,,2,nist,L3475,A
Yb,3064.56,0,,2,nist,L3475,A
Yb,3065.93,110,,2,nist,L3475,A
Yb,3076.90,0,,2,nist,L3475,A
Yb,3090.00,100,,2,nist,L3475,A
Yb,3094.77,0,,2,nist,L3475,A
Yb,3102.26,0,,2,nist,L3475,A
Yb,3102.97,0,,2,nist,L3475,A
Yb,3108.66,0,,2,nist,L3475,A
Yb,3108.80,170,,2,nist,L3475,A
Yb,3116.24,0,,2,nist,L3475,A
Yb,3117.60,0,,2,nist,L3475,A
Yb,3118.71,190,,2,nist,L3475,A
Yb,3137.67,0,,2,nist,L3475,A
Yb,3141.85,230,,2,nist,L3475,A
Yb,3142.64,0,,2,nist,L3475,A
Yb,3145.97,0,,2,nist,L3475,A
Yb,3146.45,0,,2,nist,L3475,A
Yb,3154.09,0,,2,nist,L3475,A
Yb,3154.79,0,,2,nist,L3475,A
Yb,3156.09,0,,2,nist,L3475,A
Yb,3164.72,0,,2,nist,L3475,A
Yb,3166.13,0,,2,nist,L3475,A
Yb,3169.98,120,,2,nist,L3475,A
Yb,3181.84,120,,2,nist,L3475,A
