element,wavelength,intensity,acc,state,source,reference,unit
Yb,10113.37,200,,3,nist,L4835,A
Yb,10833.33,100,,3,nist,L7342,A
Yb,1560.66,0,,3,nist,L7342,A
Yb,1561.42,0,,3,nist,L7342,A
Yb,1669.60,0,,3,nist,L7342,A
Yb,1670.78,0,,3,nist,L7342,A
Yb,1719.82,0,,3,nist,L7342,A
Yb,1739.18,0,,3,nist,L7342,A
Yb,1762.80,0,,3,nist,L7342,A
Yb,1765.21,0,,3,nist,L7342,A
Yb,1775.29,0,,3,nist,L7342,A
Yb,1779.74,0,,3,nist,L7342,A
Yb,1781.31,0,,3,nist,L7342,A
Yb,1793.70,0,,3,nist,L7342,A
Yb,1798.85,0,,3,nist,L7342,A
Yb,1810.88,0,,3,nist,L7342,A
Yb,1826.41,0,,3,nist,L7342,A
Yb,1826.77,0,,3,nist,L7342,A
Yb,1838.01,0,,3,nist,L7342,A
Yb,1847.30,0,,3,nist,L7342,A
Yb,1849.24,0,,3,nist,L7342,A
Yb,1849.42,0,,3,nist,L7342,A
Yb,1852.36,0,,3,nist,L7342,A
Yb,1852.94,0,,3,nist,L7342,A
Yb,1854.80,0,,3,nist,L7342,A
Yb,1857.16,0,,3,nist,L7342,A
Yb,1863.32,100,,3,nist,L7342,A
Yb,1864.85,0,,3,nist,L7342,A
Yb,1867.23,0,,3,nist,L7342,A
Yb,1867.63,0,,3,nist,L7342,A
Yb,1868.19,0,,3,nist,L7342,A
Yb,1868.92,0,,3,nist,L7342,A
Yb,1870.07,0,,3,nist,L7342,A
Yb,1870.83,0,,3,nist,L7342,A
Yb,1871.15,0,,3,nist,L7342,A
Yb,1872.03,200,,3,nist,L7342,A
Yb,1873.91,800,,3,nist,L7342,A
Yb,1875.41,100,,3,nist,L7342,A
Yb,1875.92,0,,3,nist,L7342,A
Yb,1880.30,0,,3,nist,L7342,A
Yb,1884.22,0,,3,nist,L7342,A
Yb,1885.07,0,,3,nist,L7342,A
Yb,1887.22,0,,3,nist,L7342,A
Yb,1890.34,0,,3,nist,L7342,A
Yb,1890.87,0,,3,nist,L7342,A
Yb,1892.42,0,,3,nist,L7342,A
Yb,1895.50,0,,3,nist,L7342,A
Yb,1896.18,100,,3,nist,L7342,A
Yb,1897.57,0,,3,nist,L7342,A
Yb,1898.25,500,,3,nist,L7342,A
Yb,1906.74,0,,3,nist,L7342,A
Yb,1908.50,0,,3,nist,L7342,A
Yb,1909.66,100,,3,nist,L7342,A
Yb,1910.86,0,,3,nist,L7342,A
Yb,1920.53,0,,3,nist,L7342,A
Yb,1926.76,0,,3,nist,L7342,A
Yb,1928.09,0,,3,nist,L7342,A
Yb,1930.63,0,,3,nist,L7342,A
Yb,1942.59,0,,3,nist,L7342,A
Yb,1950.34,0,,3,nist,L7342,A
Yb,1962.80,0,,3,nist,L7342,A
Yb,1967.13,0,,3,nist,L7342,A
Yb,1969.47,0,,3,nist,L7342,A
Yb,1969.73,0,,3,nist,L7342,A
Yb,1973.96,0,,3,nist,L7342,A
Yb,1974.18,0,,3,nist,L7342,A
Yb,1976.46,0,,3,nist,L7342,A
Yb,1981.74,0,,3,nist,L7342,A
Yb,1983.88,0,,3,nist,L7342,A
Yb,1984.62,0,,3,nist,L7342,A
Yb,1985.74,0,,3,nist,L7342,A
Yb,1986.43,0,,3,nist,L7342,A
Yb,1989.82,0,,3,nist,L7342,A
Yb,1991.14,0,,3,nist,L7342,A
Yb,1995.05,0,,3,nist,L7342,A
Yb,1997.28,0,,3,nist,L7342,A
Yb,1997.66,0,,3,nist,L7342,A
Yb,1998.82,500,,3,nist,L7342,A
Yb,2055.46,0,,3,nist,L4835,A
Yb,2067.15,0,,3,nist,L4835,A
Yb,2074.30,0,,3,nist,L4835,A
Yb,2078.71,0,,3,nist,L4835,A
Yb,2088.03,0,,3,nist,L4835,A
Yb,2088.64,0,,3,nist,L4835,A
Yb,2091.89,0,,3,nist,L4835,A
Yb,2092.93,0,,3,nist,L4835,A
Yb,2095.44,0,,3,nist,L4835,A
Yb,2095.98,0,,3,nist,L4835,A
Yb,2097.46,0,,3,nist,L4835,A
Yb,2099.03,0,,3,nist,L4835,A
Yb,2107.38,0,,3,nist,L4835,A
Yb,2110.21,0,,3,nist,L4835,A
Yb,2119.85,0,,3,nist,L4835,A
Yb,2198.83,0,,3,nist,L4835,A
Yb,2202.96,0,,3,nist,L4835,A
Yb,2240.81,300,,3,nist,L4835,A
Yb,2244.98,100,,3,nist,L4835,A
Yb,2257.73,200,,3,nist,L4835,A
Yb,2262.96,100,,3,nist,L4835,A
Yb,2266.37,200,,3,nist,L4835,A
Yb,2283.69,150,,3,nist,L4835,A
Yb,2284.69,100,,3,nist,L7342,A
Yb,2306.03,300,,3,nist,L4835,A
Yb,2309.98,100,,3,nist,L4835,A
Yb,2315.20,200,,3,nist,L4835,A
Yb,2338.69,200,,3,nist,L4835,A
Yb,2361.80,0,,3,nist,L4835,A
Yb,2366.15,200,,3,nist,L4835,A
Yb,2368.18,0,,3,nist,L4835,A
Yb,2370.71,0,,3,nist,L4835,A
Yb,2377.95,0,,3,nist,L4835,A
Yb,2404.68,0,,3,nist,L4835,A
Yb,2410.77,0,,3,nist,L4835,A
Yb,2413.06,0,,3,nist,L4835,A
Yb,2429.92,0,,3,nist,L4835,A
Yb,2434.17,0,,3,nist,L4835,A
Yb,2439.01,100,,3,nist,L4835,A
Yb,2440.05,0,,3,nist,L4835,A
Yb,2441.17,0,,3,nist,L4835,A
Yb,2459.38,0,,3,nist,L4835,A
Yb,2465.34,0,,3,nist,L7342,A
Yb,2491.17,200,,3,nist,L4835,A
Yb,2492.44,0,,3,nist,L4835,A
Yb,2507.01,0,,3,nist,L4835,A
Yb,2517.58,300,,3,nist,L7342,A
Yb,2522.83,0,,3,nist,L4835,A
Yb,2529.90,0,,3,nist,L4835,A
Yb,2551.16,0,,3,nist,L4835,A
Yb,2556.06,300,,3,nist,L4835,A
Yb,2561.33,100,,3,nist,L4835,A
Yb,2562.43,0,,3,nist,L4835,A
Yb,2567.55,100,,3,nist,L4835,A
Yb,2568.38,2000,,3,nist,L4835,A
Yb,2580.34,1000,,3,nist,L4835,A
Yb,2589.39,100,,3,nist,L4835,A
Yb,2593.47,0,,3,nist,L4835,A
Yb,2598.01,500,,3,nist,L4835,A
Yb,2599.92,800,,3,nist,L4835,A
Yb,2609.92,0,,3,nist,L4835,A
Yb,2621.89,600,,3,nist,L4835,A
Yb,2627.85,300,,3,nist,L4835,A
Yb,2636.16,0,,3,nist,L4835,A
Yb,2638.85,500,,3,nist,L4835,A
Yb,2641.27,300,,3,nist,L4835,A
Yb,2643.35,1000,,3,nist,L7342,A
Yb,2644.41,100,,3,nist,L4835,A
Yb,2652.53,1000,,3,nist,L4835,A
Yb,2653.04,700,,3,nist,L4835,A
Yb,2660.77,100,,3,nist,L4835,A
Yb,2665.68,0,,3,nist,L4835,A
Yb,2666.92,2000,,3,nist,L4835,A
Yb,2667.78,2000,,3,nist,L4835,A
Yb,2674.12,0,,3,nist,L4835,A
Yb,2678.19,500,,3,nist,L4835,A
Yb,2691.81,500,,3,nist,L4835,A
Yb,2708.84,0,,3,nist,L4835,A
Yb,2713.12,400,,3,nist,L4835,A
