element,wavelength,intensity,acc,state,source,reference,unit
Zn,10035.852,0,,1,nist,L4741,A
Zn,10061.820,9500,,1,nist,"L4741,L20587",A
Zn,10062.678,9500,,1,nist,L4741,A
Zn,10117.975,15000,,1,nist,"L4741,L20587",A
Zn,10119.275,15000,,1,nist,L4741,A
Zn,1043.93,150000,,1,nist,L242,A
Zn,1050.32,140000,,1,nist,L242,A
Zn,10982.4,0,,1,nist,L3428,A
Zn,11057.276,170000,C,1,nist,"L4741,L3498",A
Zn,1108.32,25000,C,1,nist,L242,A
Zn,11264.315,19000,,1,nist,"L4741,L20587",A
Zn,11672.5,21000,,1,nist,L20587,A
Zn,11676.1,7700,,1,nist,L20587,A
Zn,11676.1,7700,,1,nist,L20587,A
Zn,11683.6,16000,,1,nist,L20587,A
Zn,11683.6,16000,,1,nist,L20587,A
Zn,1193.231,0,,2,nist,L640,A
Zn,1193.29,0,,4,nist,L3581,A
Zn,1203.44,0,,4,nist,L3581,A
Zn,1212.71,0,,4,nist,L3581,A
Zn,1214.14,0,,4,nist,L3581,A
Zn,1224.35,0,,4,nist,L3581,A
Zn,1227.62,0,,4,nist,L3581,A
Zn,1228.65,0,,4,nist,L3581,A
Zn,1231.46,0,,4,nist,L3581,A
Zn,1237.26,0,,4,nist,L3581,A
Zn,1239.12,0,,4,nist,L3581,A
Zn,1246.26,0,,4,nist,L3581,A
Zn,1247.01,0,,4,nist,L3581,A
Zn,1249.69,0,,4,nist,L3581,A
Zn,1253.67,0,,4,nist,L3581,A
Zn,1257.31,0,,4,nist,L3581,A
Zn,1259.68,0,,4,nist,L3581,A
Zn,1265.74,500,,4,nist,L3581,A
Zn,1269.15,0,,4,nist,L3581,A
Zn,1272.21,100,,4,nist,L3581,A
Zn,1272.98,200,,4,nist,L3581,A
Zn,1275.78,0,,4,nist,L3581,A
Zn,1277.306,0,,2,nist,L640,A
Zn,1278.51,0,,4,nist,L3581,A
Zn,1280.47,100,,4,nist,L3581,A
Zn,1291.83,100,,4,nist,L3581,A
Zn,1292.49,100,,4,nist,L3581,A
Zn,1294.32,0,,4,nist,L3581,A
Zn,1296.62,100,,4,nist,L3581,A
Zn,1296.73,100,,4,nist,L3581,A
Zn,1301.88,0,,4,nist,L3581,A
Zn,13057.20,140000,,1,nist,"L4741,L3498",A
Zn,1306.66,500,,4,nist,L3581,A
Zn,13154.19,100000,,1,nist,"L4741,L3498",A
Zn,1318.00,200,,4,nist,L3581,A
Zn,1320.265,0,,1,nist,L3641,A
Zn,1320.279,0,,1,nist,L3641,A
Zn,1320.293,0,,1,nist,L3641,A
Zn,1320.310,0,,1,nist,L3641,A
Zn,1320.327,0,,1,nist,L3641,A
Zn,1320.346,0,,1,nist,L3641,A
Zn,1320.367,0,,1,nist,L3641,A
Zn,1320.386,0,,1,nist,L3641,A
Zn,1320.407,0,,1,nist,L3641,A
Zn,1320.430,0,,1,nist,L3641,A
Zn,1320.454,0,,1,nist,L3641,A
Zn,1320.478,0,,1,nist,L3641,A
Zn,1320.505,0,,1,nist,L3641,A
Zn,1320.533,0,,1,nist,L3641,A
Zn,1320.563,0,,1,nist,L3641,A
Zn,1320.595,0,,1,nist,L3641,A
Zn,1320.629,0,,1,nist,L3641,A
Zn,1320.665,0,,1,nist,L3641,A
Zn,1320.703,0,,1,nist,L3641,A
Zn,1320.74,200,,4,nist,L3581,A
Zn,1320.744,0,,1,nist,L3641,A
Zn,1320.788,0,,1,nist,L3641,A
Zn,1320.835,0,,1,nist,L3641,A
Zn,1320.884,0,,1,nist,L3641,A
Zn,1320.939,0,,1,nist,L3641,A
Zn,1320.997,0,,1,nist,L3641,A
Zn,13200.22,4900,,1,nist,"L4741,L20587",A
Zn,1321.060,0,,1,nist,L3641,A
Zn,1321.128,0,,1,nist,L3641,A
Zn,1321.200,0,,1,nist,L3641,A
Zn,1321.22,200,,4,nist,L3581,A
Zn,1321.280,0,,1,nist,L3641,A
Zn,1321.367,0,,1,nist,L3641,A
Zn,1321.461,0,,1,nist,L3641,A
Zn,1321.563,0,,1,nist,L3641,A
Zn,1321.676,0,,1,nist,L3641,A
Zn,1321.800,0,,1,nist,L3641,A
Zn,1321.937,0,,1,nist,L3641,A
Zn,1322.088,0,,1,nist,L3641,A
Zn,1322.255,0,,1,nist,L3641,A
Zn,1322.33,200,,4,nist,L3581,A
Zn,1322.43,200,,4,nist,L3581,A
Zn,1322.442,0,,1,nist,L3641,A
Zn,1322.650,0,,1,nist,L3641,A
Zn,1322.884,0,,1,nist,L3641,A
Zn,1323.149,0,,1,nist,L3641,A
Zn,1323.449,0,,1,nist,L3641,A
Zn,1323.792,0,,1,nist,L3641,A
Zn,1324.184,0,,1,nist,L3641,A
Zn,1324.639,0,,1,nist,L3641,A
Zn,1325.166,0,,1,nist,L3641,A
Zn,1325.238,0,,1,nist,L3641,A
Zn,1325.785,0,,1,nist,L3641,A
Zn,1325.873,0,,1,nist,L3641,A
Zn,1326.519,0,,1,nist,L3641,A
Zn,1326.624,0,,1,nist,L3641,A
Zn,1326.74,200,,4,nist,L3581,A
Zn,1327.395,0,,1,nist,L3641,A
Zn,1327.520,0,,1,nist,L3641,A
Zn,1328.457,0,,1,nist,L3641,A
Zn,1328.610,0,,1,nist,L3641,A
Zn,1329.11,200,,4,nist,L3581,A
Zn,1329.758,0,,1,nist,L3641,A
Zn,1329.945,0,,1,nist,L3641,A
Zn,1331.375,0,,1,nist,L3641,A
Zn,1331.610,0,,1,nist,L3641,A
Zn,1333.32,100,,4,nist,L3581,A
Zn,1333.422,0,,1,nist,L3641,A
Zn,1333.721,0,,1,nist,L3641,A
Zn,1336.067,0,,1,nist,L3641,A
Zn,1336.451,0,,1,nist,L3641,A
Zn,1339.569,0,,1,nist,L3641,A
Zn,1340.001,0,,1,nist,L3641,A
Zn,1340.074,0,,1,nist,L3641,A
Zn,1344.08,150,,4,nist,L3581,A
Zn,1344.343,0,,1,nist,L3641,A
Zn,1344.956,0,,1,nist,L3641,A
Zn,1345.023,0,,1,nist,L3641,A
Zn,1347.98,200,,4,nist,L3581,A
Zn,1349.90,200,,4,nist,L3581,A
Zn,1351.098,0,,1,nist,L3641,A
Zn,1352.003,0,,1,nist,L3641,A
Zn,1352.048,0,,1,nist,L3641,A
Zn,1352.27,0,,4,nist,L3581,A
Zn,1356.20,100,,4,nist,L3581,A
Zn,1357.82,200,,4,nist,L3581,A
Zn,1361.111,0,,1,nist,L3641,A
Zn,1362.483,0,,1,nist,L3641,A
Zn,1362.526,0,,1,nist,L3641,A
Zn,1363.43,100,,4,nist,L3581,A
Zn,1363.95,200,,4,nist,L3581,A
Zn,13640.21,0,,1,nist,L4741,A
Zn,1366.682,0,,2,nist,L640,A
Zn,1366.682,0,,2,nist,L640,A
Zn,1368.17,0,,4,nist,L3581,A
Zn,13686.88,29000,,1,nist,"L4741,L20587",A
Zn,13689.72,0,,1,nist,L4741,A
Zn,1369.53,200,,4,nist,L3581,A
Zn,1370.42,0,,4,nist,L3581,A
Zn,1375.33,100,,4,nist,L3581,A
Zn,1375.98,0,,4,nist,L3581,A
Zn,1376.911,0,,1,nist,"L3641,L3428",A
Zn,1377.65,200,,4,nist,L3581,A
Zn,1378.987,0,,1,nist,L3641,A
Zn,13788.86,0,,1,nist,L4741,A
Zn,1379.329,0,,1,nist,L3641,A
Zn,13793.38,0,,1,nist,L4741,A
Zn,13796.17,0,,1,nist,L4741,A
Zn,1391.24,0,,4,nist,L3581,A
Zn,1393.07,0,,4,nist,L3581,A
Zn,1394.54,0,,4,nist,L3581,A
Zn,1400.14,0,,4,nist,L3581,A
Zn,1403.98,0,,4,nist,L3581,A
Zn,1404.119,160,,1,nist,"L3641,L3428",A
Zn,14042.54,74000,,1,nist,"L4741,L3498",A
Zn,1407.438,0,,1,nist,L3641,A
Zn,1408.803,0,,1,nist,L3641,A
Zn,1409.40,0,,4,nist,L3581,A
Zn,1410.33,0,,4,nist,L3581,A
Zn,1410.443,0,,2,nist,L640,A
Zn,1419.60,0,,4,nist,L3581,A
Zn,1427.79,0,,4,nist,L3581,A
Zn,1432.15,100,,3,nist,L65,A
Zn,1438.58,0,,4,nist,L3581,A
Zn,1439.091,0,,2,nist,L640,A
Zn,1445.042,0,,2,nist,L640,A
Zn,1455.65,0,,4,nist,L3581,A
Zn,1456.72,200,,3,nist,L65,A
Zn,1456.907,0,,2,nist,L640,A
Zn,1457.570,1500,,1,nist,"L3641,L3428",A
Zn,1459.98,200,,4,nist,L3581,A
Zn,1463.304,0,,1,nist,L3641,A
Zn,1464.20,100,,3,nist,L65,A
Zn,1465.75,100,,3,nist,L65,A
Zn,1468.846,0,,1,nist,L3641,A
Zn,1473.41,300,,3,nist,L65,A
Zn,1476.43,100,,4,nist,L3581,A
Zn,1477.016,0,,2,nist,L640,A
Zn,1481.25,100,,4,nist,L3581,A
Zn,1489.26,100,,3,nist,L65,A
Zn,1490.96,100,,3,nist,L65,A
Zn,1498.79,200,,3,nist,L65,A
Zn,1499.42,300,,3,nist,L65,A
Zn,1500.42,300,,3,nist,L65,A
Zn,1505.92,300,,3,nist,L65,A
Zn,1514.763,0,,2,nist,L640,A
Zn,1515.85,300,,3,nist,L65,A
Zn,1529.84,100,,4,nist,L3581,A
Zn,1533.09,0,,3,nist,L65,A
Zn,1533.68,0,,4,nist,L3581,A
Zn,1552.30,300,,3,nist,L65,A
Zn,1552.94,200,,3,nist,L65,A
Zn,1553.11,0,,3,nist,L65,A
Zn,1560.79,200,,3,nist,L65,A
Zn,1562.55,150,,3,nist,L65,A
Zn,15684.55,42000,,1,nist,L18676,A
Zn,15685.61,0,,1,nist,L4741,A
Zn,1572.991,0,,2,nist,L640,A
Zn,1581.53,200,,3,nist,L65,A
Zn,1582.06,100,,3,nist,L65,A
Zn,1589.567,2000,,1,nist,"L3641,L3428",A
Zn,1598.52,100,,3,nist,L65,A
Zn,1600.87,100,,3,nist,L65,A
Zn,1601.063,0,,1,nist,"L3641,L3428",A
Zn,1617.675,0,,2,nist,L640,A
Zn,1619.61,100,,3,nist,L65,A
Zn,1622.51,150,,3,nist,L65,A
Zn,1629.19,200,,3,nist,L65,A
Zn,1632.002,0,,1,nist,"L3641,L3428",A
Zn,1639.33,200,,3,nist,L65,A
Zn,1644.82,150,,3,nist,L65,A
Zn,16487.88,19000,,1,nist,L18676,A
Zn,16496.63,32000,,1,nist,L18676,A
Zn,16509.72,47000,,1,nist,L18676,A
Zn,1651.74,100,,3,nist,L65,A
Zn,1658.251,0,,2,nist,L640,A
Zn,1673.05,200,,3,nist,L65,A
Zn,1688.59,100,,3,nist,L65,A
Zn,1695.40,0,,3,nist,L65,A
Zn,1706.65,0,,3,nist,L65,A
Zn,1713.251,0,,2,nist,L640,A
Zn,1715.760,0,,2,nist,L640,A
Zn,1735.607,0,,2,nist,L640,A
Zn,1735.607,0,,2,nist,L640,A
Zn,1736.889,0,,2,nist,L640,A
Zn,1737.895,0,,2,nist,L640,A
Zn,1747.124,0,,2,nist,L640,A
Zn,1749.63,0,,3,nist,L65,A
Zn,1753.84,0,,3,nist,L65,A
Zn,1762.191,0,,2,nist,L640,A
Zn,1767.69,100,,3,nist,L65,A
Zn,1774.040,0,,2,nist,L640,A
Zn,1790.759,0,,2,nist,L640,A
Zn,1797.643,100,,2,nist,L640,A
Zn,1811.008,100,,2,nist,L640,A
Zn,1816.479,0,,2,nist,L640,A
Zn,1831.376,0,,2,nist,L640,A
Zn,1833.573,100,,2,nist,L640,A
Zn,1836.007,0,,2,nist,L640,A
Zn,1836.654,0,,2,nist,L640,A
Zn,1839.32,0,,3,nist,L65,A
Zn,18422.69,14000,,1,nist,L18676,A
Zn,1847.562,0,,2,nist,L640,A
Zn,1864.117,100,,2,nist,L640,A
Zn,1866.077,100,,2,nist,L640,A
Zn,1872.128,100,,2,nist,L640,A
Zn,18779.89,1200,,1,nist,L18676,A
Zn,18836.98,390,,1,nist,L18676,A
Zn,1894.259,0,,2,nist,L640,A
Zn,1901.523,0,,2,nist,L640,A
Zn,1914.806,0,,2,nist,L640,A
Zn,1918.962,100,,2,nist,L640,A
Zn,1920.271,0,,2,nist,L640,A
Zn,1929.670,100,C,2,nist,L640,A
Zn,1945.583,0,,2,nist,L640,A
Zn,1951.911,0,,2,nist,L640,A
Zn,1952.999,0,,2,nist,L640,A
Zn,1954.872,0,,2,nist,L640,A
Zn,1964.538,0,,2,nist,L640,A
Zn,1969.404,100,,2,nist,L640,A
Zn,1982.111,100,,2,nist,L640,A
Zn,1985.608,0,,2,nist,L640,A
Zn,1986.988,100,,2,nist,L640,A
Zn,1993.367,0,,2,nist,L640,A
Zn,1996.922,0,,2,nist,L640,A
Zn,2012.590,100,,2,nist,L640,A
Zn,2026.1371,500,B+,2,nist,"L9761,L640",A
Zn,2039.962,0,,2,nist,L640,A
Zn,2041.58,120000,,1,nist,L736,A
Zn,2045.58,12000,,1,nist,L736,A
Zn,2049.078,23000,,1,nist,L736,A
Zn,2049.617,12000,,1,nist,L736,A
Zn,2053.52,90000,,1,nist,L736,A
Zn,2062.6604,500,B+,2,nist,"L9761,L640",A
Zn,2064.8863,200,C+,2,nist,"L9761,L640",A
Zn,2070.79,550000,,1,nist,L736,A
Zn,2079.7436,460000,,1,nist,L736,A
Zn,2080.596,0,,2,nist,L640,A
Zn,2087.61,1600000,,1,nist,L736,A
Zn,2087.9973,340000,,1,nist,L736,A
Zn,2097.5960,460000,,1,nist,L736,A
Zn,2100.5939,300,C,2,nist,"L9761,L640",A
Zn,2102.8331,200,C+,2,nist,"L9761,L640",A
Zn,2105.0928,540000,,1,nist,L736,A
Zn,2123.412,0,,2,nist,L640,A
Zn,2139.24775,80000000,A,1,nist,L9761,A
Zn,2148.095,0,,2,nist,L640,A
Zn,2210.865,0,,2,nist,L640,A
Zn,2273.852,0,,2,nist,L640,A
Zn,22957.94,1600,,1,nist,L18676,A
Zn,2336.476,0,,1,nist,L8903,A
Zn,2342.788,0,,1,nist,L8903,A
Zn,2346.895,0,,1,nist,L8903,A
Zn,2350.949,0,,1,nist,L8903,A
Zn,2361.68,0,,1,nist,L3428,A
Zn,2361.816,0,,1,nist,"L8903,L3428",A
Zn,2368.506,0,,1,nist,"L8903,L3428",A
Zn,2372.50,0,,1,nist,L3428,A
Zn,2374.992,0,,1,nist,"L8903,L3428",A
Zn,2376.702,0,,1,nist,"L8903,L3428",A
Zn,2382.9,0,,1,nist,L3428,A
Zn,2387.53,0,,1,nist,L3428,A
Zn,2389.03,0,,1,nist,L3428,A
Zn,23898.20,1200,,1,nist,L18676,A
Zn,2394.58,0,,1,nist,L3428,A
Zn,2395.63,0,,1,nist,L18491,A
Zn,2395.63,0,,1,nist,L18491,A
Zn,2396.48,0,,1,nist,L18491,A
Zn,2396.48,0,,1,nist,L18491,A
Zn,2396.48,0,,1,nist,L18491,A
Zn,2397.88,0,,1,nist,L3428,A
Zn,2399.96,0,,1,nist,L3428,A
Zn,2403.55,0,,1,nist,L3428,A
Zn,2405.93,0,,1,nist,L18491,A
Zn,2405.93,0,,1,nist,L18491,A
