element,wavelength,intensity,acc,state,source,reference,unit
Zr,2375.14,0,,1,nist,L3475,A
Zr,2384.90,0,,1,nist,L3475,A
Zr,2388.74,0,,1,nist,L3475,A
Zr,2389.94,0,,1,nist,L3475,A
Zr,2406.25,0,,1,nist,L3475,A
Zr,2540.41,0,,1,nist,L3475,A
Zr,2551.28,0,,1,nist,L3475,A
Zr,2557.20,0,,1,nist,L3475,A
Zr,2568.22,0,,1,nist,L3475,A
Zr,2590.42,0,,1,nist,L3475,A
Zr,2610.21,0,,1,nist,L3475,A
Zr,2636.21,0,,1,nist,L3475,A
Zr,2648.57,0,,1,nist,L3475,A
Zr,2659.48,0,,1,nist,L3475,A
Zr,2688.55,0,,1,nist,L3475,A
Zr,2693.72,0,,1,nist,L3475,A
Zr,2726.28,140,,1,nist,L3475,A
Zr,2774.86,170,,1,nist,L3475,A
Zr,2790.96,200,,1,nist,L3475,A
Zr,2792.86,120,,1,nist,L3475,A
Zr,2815.73,620,,1,nist,L3475,A
Zr,2838.06,710,,1,nist,L3475,A
Zr,2849.36,350,,1,nist,L3475,A
Zr,2876.82,490,,1,nist,L3475,A
Zr,2893.11,120,,1,nist,L3475,A
Zr,2961.73,320,,1,nist,L3475,A
Zr,2970.06,120,,1,nist,L3475,A
Zr,2986.26,820,,1,nist,L3475,A
Zr,3006.25,100,,1,nist,L3475,A
Zr,3006.38,160,,1,nist,L3475,A
Zr,3012.63,820,,1,nist,L3475,A
Zr,3030.40,880,,1,nist,L3475,A
Zr,3046.72,100,,1,nist,L3475,A
Zr,3086.24,110,,1,nist,L3475,A
Zr,3095.70,110,,1,nist,L3475,A
Zr,3096.72,110,,1,nist,L3475,A
Zr,3109.27,110,,1,nist,L3475,A
Zr,3121.64,350,,1,nist,L3475,A
Zr,3132.02,140,,1,nist,L3475,A
Zr,3132.98,350,,1,nist,L3475,A
Zr,3134.14,110,,1,nist,L3475,A
Zr,3137.87,180,,1,nist,L3475,A
Zr,3140.71,140,,1,nist,L3475,A
Zr,3149.73,180,,1,nist,L3475,A
Zr,3158.73,320,,1,nist,L3475,A
Zr,3192.13,540,,1,nist,L3475,A
Zr,3212.94,540,,1,nist,L3475,A
Zr,3235.05,630,,1,nist,L3475,A
Zr,3251.33,320,,1,nist,L3475,A
Zr,3255.22,200,,1,nist,L3475,A
Zr,3261.05,200,,1,nist,L3475,A
Zr,3270.60,190,,1,nist,L3475,A
Zr,3283.68,320,,1,nist,L3475,A
Zr,3354.62,130,,1,nist,L3475,A
Zr,3361.43,150,,1,nist,L3475,A
Zr,3371.56,150,,1,nist,L3475,A
Zr,3415.64,380,,1,nist,L3475,A
Zr,3448.35,600,,1,nist,L3475,A
Zr,3456.90,200,,1,nist,L3475,A
Zr,3472.18,600,,1,nist,L3475,A
Zr,3479.79,200,,1,nist,L3475,A
Zr,3510.32,1000,,1,nist,L3475,A
Zr,3520.61,2000,,1,nist,L3475,A
Zr,3534.23,440,,1,nist,L3475,A
Zr,3536.17,210,,1,nist,L3475,A
Zr,3548.69,1800,,1,nist,L3475,A
Zr,3550.75,210,,1,nist,L3475,A
Zr,3551.47,630,,1,nist,L3475,A
Zr,3567.12,1100,,1,nist,L3475,A
Zr,3569.90,210,,1,nist,L3475,A
Zr,3576.81,1100,,1,nist,L3475,A
Zr,3587.31,880,,1,nist,L3475,A
Zr,3602.22,3500,,1,nist,L3475,A
Zr,3624.89,1100,,1,nist,L3475,A
Zr,3635.19,320,,1,nist,L3475,A
Zr,3662.24,260,,1,nist,L3475,A
Zr,3664.69,1100,,1,nist,L3475,A
