element,wavelength,intensity,acc,state,source,reference,unit
Zr,2420.15,0,,2,nist,L3475,A
Zr,2450.59,150,,2,nist,L3475,A
Zr,2458.18,0,,2,nist,L3475,A
Zr,2488.04,0,,2,nist,L3475,A
Zr,2497.23,0,,2,nist,L3475,A
Zr,2533.22,180,,2,nist,L3475,A
Zr,2542.86,220,,2,nist,L3475,A
Zr,2551.51,220,,2,nist,L3475,A
Zr,2568.41,570,,2,nist,L3475,A
Zr,2569.64,1600,,2,nist,L3475,A
Zr,2572.16,2100,,2,nist,L3475,A
Zr,2584.17,0,,2,nist,L3475,A
Zr,2589.84,130,,2,nist,L3475,A
Zr,2631.69,150,,2,nist,L3475,A
Zr,2639.88,210,,2,nist,L3475,A
Zr,2644.19,0,,2,nist,L3475,A
Zr,2651.17,110,,2,nist,L3475,A
Zr,2668.59,180,,2,nist,L3475,A
Zr,2670.28,0,,2,nist,L3475,A
Zr,2671.75,120,,2,nist,L3475,A
Zr,2679.43,1800,,2,nist,L3475,A
Zr,2682.56,0,,2,nist,L3475,A
Zr,2693.40,0,,2,nist,L3475,A
Zr,2694.33,160,,2,nist,L3475,A
Zr,2694.86,180,,2,nist,L3475,A
Zr,2696.23,0,,2,nist,L3475,A
Zr,2700.40,0,,2,nist,L3475,A
Zr,2700.93,750,,2,nist,L3475,A
Zr,2712.31,280,,2,nist,L3475,A
Zr,2713.22,140,,2,nist,L3475,A
Zr,2715.06,140,,2,nist,L3475,A
Zr,2723.42,1300,,2,nist,L3475,A
Zr,2727.30,800,,2,nist,L3475,A
Zr,2733.53,490,,2,nist,L3475,A
Zr,2735.67,1400,,2,nist,L3475,A
Zr,2741.32,110,,2,nist,L3475,A
Zr,2742.36,140,,2,nist,L3475,A
Zr,2743.37,1100,,2,nist,L3475,A
Zr,2746.67,660,,2,nist,L3475,A
Zr,2753.02,660,,2,nist,L3475,A
Zr,2759.63,530,,2,nist,L3475,A
Zr,2769.55,200,,2,nist,L3475,A
Zr,2769.67,0,,2,nist,L3475,A
Zr,2774.98,0,,2,nist,L3475,A
