element,wavelength,intensity,acc,state,source,reference,unit
Zr,1033.768,0,,4,nist,"L5042,L11645",A
Zr,1033.97,0,,4,nist,"L5042,L11645",A
Zr,1099.761,0,,4,nist,"L5042,L11645",A
Zr,1100.005,0,,4,nist,"L5042,L11645",A
Zr,1183.974,500000,,4,nist,"L5042,L11645",A
Zr,1201.771,5000000,,4,nist,"L5042,L11645",A
Zr,1212.716,200,,4,nist,"L5042,L11645",A
Zr,1213.011,250,,4,nist,"L5042,L11645",A
Zr,1219.862,3500000,,4,nist,"L5042,L11645",A
Zr,1285.888,2500,,4,nist,"L5042,L11645",A
Zr,1290.566,3000,,4,nist,"L5042,L11645",A
Zr,1291.704,0,,4,nist,"L5042,L11645",A
Zr,1417.703,80000,,4,nist,"L5042,L11645",A
Zr,1440.653,6000,,4,nist,"L5042,L11645",A
Zr,1441.068,8000,,4,nist,"L5042,L11645",A
Zr,1469.474,200000,,4,nist,"L5042,L11645",A
Zr,1546.172,2000000,,4,nist,"L5042,L11645",A
Zr,1596.291,0,,4,nist,"L5042,L11645",A
Zr,1598.951,5000000,,4,nist,"L5042,L11645",A
Zr,1605.260,300,,4,nist,"L5042,L11645",A
Zr,1607.950,80000,,4,nist,"L5042,L11645",A
Zr,1609.504,100,,4,nist,"L5042,L11645",A
Zr,1818.059,0,,4,nist,"L5042,L11645",A
Zr,1836.154,35000,,4,nist,"L5042,L11645",A
Zr,1846.372,50000,,4,nist,"L5042,L11645",A
Zr,1848.026,300,,4,nist,"L5042,L11645",A
Zr,1851.907,0,,4,nist,"L5042,L11645",A
Zr,2045.778,0,,4,nist,"L5042,L11645",A
Zr,2047.805,0,,4,nist,"L5042,L11645",A
Zr,2092.152,70000,,4,nist,"L5042,L11645",A
Zr,2093.024,80000,,4,nist,"L5042,L11645",A
Zr,2164.364,10000000,,4,nist,"L5042,L11645",A
Zr,2287.379,4000000,,4,nist,"L5042,L11645",A
Zr,2474.499,700,,4,nist,"L5042,L11645",A
Zr,2477.463,1000,,4,nist,"L5042,L11645",A
Zr,2573.095,0,,4,nist,"L5042,L11645",A
Zr,2574.431,4000,,4,nist,"L5042,L11645",A
Zr,2584.09,2500,,4,nist,"L5042,L11645",A
Zr,3298.815,500,,4,nist,"L5042,L11645",A
Zr,3411.964,1000,,4,nist,"L5042,L11645",A
Zr,3577.129,2000,,4,nist,"L5042,L11645",A
Zr,3654.207,500,,4,nist,"L5042,L11645",A
Zr,3660.667,600,,4,nist,"L5042,L11645",A
Zr,3687.955,3000,,4,nist,"L5042,L11645",A
Zr,3710.574,500,,4,nist,"L5042,L11645",A
Zr,3751.667,600,,4,nist,"L5042,L11645",A
Zr,3765.389,800,,4,nist,"L5042,L11645",A
Zr,3775.087,0,,4,nist,"L5042,L11645",A
Zr,4138.602,500,,4,nist,"L5042,L11645",A
Zr,4199.448,3000,,4,nist,"L5042,L11645",A
Zr,4318.295,2000,,4,nist,"L5042,L11645",A
Zr,445.599,0,,4,nist,"L5042,L11645",A
Zr,447.960,0,,4,nist,"L5042,L11645",A
Zr,4570.528,1800,,4,nist,"L5042,L11645",A
Zr,4570.528,1800,,4,nist,"L5042,L11645",A
Zr,478.966,0,,4,nist,"L5042,L11645",A
Zr,480.660,0,,4,nist,"L5042,L11645",A
Zr,497.229,0,,4,nist,"L5042,L11645",A
Zr,500.219,0,,4,nist,"L5042,L11645",A
Zr,500.339,0,,4,nist,"L5042,L11645",A
Zr,584.655,0,,4,nist,"L5042,L11645",A
Zr,585.426,0,,4,nist,"L5042,L11645",A
Zr,586.421,0,,4,nist,"L5042,L11645",A
Zr,588.892,200,,4,nist,"L5042,L11645",A
Zr,589.746,300,,4,nist,"L5042,L11645",A
Zr,628.666,1200,,4,nist,"L5042,L11645",A
Zr,633.567,1500,,4,nist,"L5042,L11645",A
Zr,633.641,300,,4,nist,"L5042,L11645",A
Zr,712.489,0,,4,nist,"L5042,L11645",A
Zr,754.390,200,,4,nist,"L5042,L11645",A
Zr,760.157,100,,4,nist,"L5042,L11645",A
Zr,846.401,150,,4,nist,"L5042,L11645",A
Zr,863.642,150,,4,nist,"L5042,L11645",A
Zr,864.586,150,,4,nist,"L5042,L11645",A
Zr,881.298,300,,4,nist,"L5042,L11645",A
Zr,882.584,0,,4,nist,"L5042,L11645",A
