element,wavelength,intensity,acc,state,source,note,reference,unit
Ag,1106.9931,1000,,2,,P,KLLT02,A
Ag,1112.4006,600,,2,,P,KLLT02,A
Ag,1195.8092,700,,2,,P,KLLT02,A
Ag,1644.4958,300,,2,,,KLLT02,A
Ag,1665.3513,400,,2,,,KLLT02,A
Ag,1682.8353,300,,2,,,KLLT02,A
Ag,1723.6119,300,,2,,,KLLT02,A
Ag,1994.3173,300,,2,,,KLLT02,A
Ag,2114.5312826363647,300,,2,,Pr,KLLT02,A
Ag,2244.183000080859,300,,2,,,KLLT02,A
Ag,2247.1471694320203,700,,2,,Pr,KLLT02,A
Ag,2249.484697933001,300,,2,,Pr,KLLT02,A
Ag,2280.724014300536,300,,2,,P,KLLT02,A
Ag,2317.785577080886,200,,2,,,KLLT02,A
Ag,2320.997224831782,400,,2,,Pr,KLLT02,A
Ag,2325.420156032368,300,,2,,Pr,KLLT02,A
Ag,2332.1212214990746,500,,2,,Pr,KLLT02,A
Ag,2413.9624206762933,1000,,2,,Pr,KLLT02,A
Ag,2438.5632437918284,1000,,2,,Pr,KLLT02,A
Ag,2477.9174974493258,200,,2,,,KLLT02,A
Ag,2712.7214229518686,200,,2,,,KLLT02,A
Ag,2934.9264771041217,60,,2,,,KLLT02,A
Ag,4621.401471180312,50,,2,,,KLLT02,A
Ag,4789.809206978803,100,,2,,,KLLT02,A
Ag,5028.822641311615,50,,2,,,KLLT02,A
