element,wavelength,intensity,acc,state,source,note,reference,unit
Am,3344.8813954231227,10,,1,,l,FT57,A
Am,3396.038171633159,20,,1,,l,FT57,A
Am,3447.227991738246,20,,1,,,FT57,A
Am,3511.186305156567,500,,1,,P,FT57,A
Am,3532.012953391982,100,,1,,l,FT57,A
Am,3570.2383330124117,500,,1,,P,FT57,A
Am,3604.494648497422,50,,1,,,FT57,A
Am,3674.2246482809464,500,,1,,P,FT57,A
Am,4021.4509073950103,10,,1,,s,FT57,A
Am,4037.01119815586,10,,1,,s,FT57,A
Am,4142.191244060918,10,,1,,s,FT57,A
Am,4266.816748936376,100,,1,,,FT57,A
Am,4290.531324909926,500,,1,,P,FT57,A
Am,4650.49248808072,10,,1,,l,FT57,A
Am,4654.822696584743,10,,1,,l,FT57,A
Am,4664.167304803944,500,,1,,Pl,FT57,A
Am,4683.033571743907,200,,1,,l,FT57,A
Am,4708.191597395086,100,,1,,l,FT57,A
Am,4992.255088365598,20,,1,,l,FT57,A
Am,5001.681731034445,10,,1,,s,FT57,A
Am,5404.204818257584,100,,1,,s,FT57,A
Am,5426.29103583033,100,,1,,s,FT57,A
Am,5599.769912441987,100,,1,,s,FT57,A
Am,6056.408865994311,1000,,1,,Pl,FT57,A
Am,6406.978109927242,100,,1,,l,FT57,A
Am,6546.067534768945,50,,1,,l,FT57,A
Am,6957.604326385446,50,,1,,s,FT57,A
