element,wavelength,intensity,acc,state,source,note,reference,unit
Am,2757.40963517202,40,,2,,s,FT57,A
Am,2813.7941281983403,40,,2,,s,FT57,A
Am,2816.156737635772,200,,2,,l,FT57,A
Am,2833.1371226278166,1000,,2,,Ps,FT57,A
Am,2889.3987103709396,200,,2,,l,FT57,A
Am,2900.4585881805847,40,,2,,l,FT57,A
Am,2912.0296024148506,40,,2,,l,FT57,A
Am,2921.495070718722,200,,2,,s,FT57,A
Am,2928.4378826356187,40,,2,,l,FT57,A
Am,2937.89835354622,40,,2,,l,FT57,A
Am,2951.302858346866,100,,2,,l,FT57,A
Am,2967.6261321639063,200,,2,,l,FT57,A
Am,2970.206808425487,200,,2,,l,FT57,A
Am,2988.1575166768616,200,,2,,s,FT57,A
Am,2994.429163402362,100,,2,,l,FT57,A
Am,3005.1739867042816,200,,2,,s,FT57,A
Am,3028.9202353380756,100,,2,,s,FT57,A
Am,3039.2959694722067,100,,2,,l,FT57,A
Am,3054.6250130415024,40,,2,,s,FT57,A
Am,3121.4406937149215,400,,2,,s,FT57,A
Am,3162.791678838109,40,,2,,s,FT57,A
Am,3283.317866246051,100,,2,,s,FT57,A
Am,3287.6650315609463,40,,2,,l,FT57,A
Am,3363.565422729733,100,,2,,s,FT57,A
Am,3420.6968246768984,40,,2,,s,FT57,A
Am,3453.1415904387977,200,,2,,l,FT57,A
Am,3484.3600373000395,1000,,2,,Pl,FT57,A
Am,3563.753571011545,40,,2,,s,FT57,A
Am,3697.530009236799,200,,2,,s,FT57,A
Am,3778.6361860040897,1000,,2,,Pl,FT57,A
Am,3927.4210153558683,1000,,2,,Pl,FT57,A
Am,3953.7562604928585,200,,2,,l,FT57,A
Am,4037.568351822328,100,,2,,s,FT57,A
Am,4090.508962737353,1000,,2,,Ps,FT57,A
Am,4189.366294490231,200,,2,,s,FT57,A
Am,4310.9309841433815,40,,2,,s,FT57,A
Am,4325.853125240551,400,,2,,s,FT57,A
Am,4442.672584168405,400,,2,,s,FT57,A
Am,4510.78454041859,1000,,2,,Pl,FT57,A
Am,4576.9429734088,1000,,2,,Pl,FT57,A
Am,4594.6649143614795,200,,2,,s,FT57,A
Am,4701.087613275141,400,,2,,l,FT57,A
Am,4873.6558653225475,400,,2,,l,FT57,A
Am,5022.437550730263,200,,2,,l,FT57,A
Am,5217.522314245616,40,,2,,l,FT57,A
Am,5585.845986941411,200,,2,,l,FT57,A
