element,wavelength,intensity,acc,state,source,note,reference,unit
Ar,802.85896,20,,1,,,M73,A
Ar,806.471,100,,1,,,M73,A
Ar,806.86887,60,,1,,,M73,A
Ar,807.21842,30,,1,,,M73,A
Ar,807.6529,40,,1,,,M73,A
Ar,809.9266,50,,1,,,M73,A
Ar,816.23193,120,,1,,,M73,A
Ar,816.46391,70,,1,,,M73,A
Ar,820.12352,80,,1,,,M73,A
Ar,825.34592,120,,1,,,M73,A
Ar,826.36484,120,,1,,,M73,A
Ar,834.3918,150,,1,,,M73,A
Ar,835.0021,100,,1,,,M73,A
Ar,842.80506,100,,1,,,M73,A
Ar,866.79997,180,,1,,P,M73,A
Ar,869.75411,150,,1,,P,M73,A
Ar,876.05767,180,,1,,P,M73,A
Ar,879.94656,180,,1,,P,M73,A
Ar,894.31013,150,,1,,P,M73,A
Ar,1048.21987,1000,,1,,P,VHU99,A
Ar,1066.6598,500,,1,,P,M73,A
Ar,3771.499232162676,1,,1,,,N73,A
Ar,3950.158270337031,1,,1,,,N73,A
Ar,4045.6235737403986,1,,1,,,N73,A
Ar,4159.827121225131,11,,1,,,N73,A
Ar,4165.418667956183,1,,1,,,N73,A
Ar,4183.1275678418015,1,,1,,,N73,A
Ar,4191.959012127107,3,,1,,,N73,A
Ar,4192.275099619539,1,,1,,,N73,A
Ar,4199.5651176484025,6,,1,,,N73,A
Ar,4201.922770363441,11,,1,,,N73,A
Ar,4252.447765995067,1,,1,,,N73,A
Ar,4260.627033065007,6,,1,,,N73,A
Ar,4267.552953036237,3,,1,,,N73,A
Ar,4273.43758455762,4,,1,,,N73,A
Ar,4301.377333506091,3,,1,,,N73,A
Ar,4334.846621632954,3,,1,,,N73,A
Ar,4336.624115075974,1,,1,,,N73,A
Ar,4346.456845002958,1,,1,,,N73,A
Ar,4512.067897798261,3,,1,,,N73,A
Ar,4523.66112653474,1,,1,,,N73,A
Ar,5189.270376594468,1,,1,,,N73,A
Ar,5497.485085910101,1,,1,,,N73,A
Ar,5560.330794685302,1,,1,,,N73,A
Ar,5608.375338737406,1,,1,,,N73,A
Ar,5652.358742330091,1,,1,,,N73,A
Ar,5890.305913319655,1,,1,,,N73,A
Ar,5913.813555288663,1,,1,,,N73,A
Ar,6033.889497579274,2,,1,,,N73,A
Ar,6044.9886362776315,1,,1,,,N73,A
Ar,6061.142204678299,1,,1,,,N73,A
Ar,6386.5793301329695,1,,1,,,N73,A
Ar,6418.178283634693,2,,1,,,N73,A
Ar,6679.227302539461,3,,1,,,N73,A
Ar,6754.80074697924,4,,1,,,N73,A
Ar,6873.289382334001,4,,1,,,N73,A
Ar,6939.683236444509,1,,1,,,N73,A
Ar,6967.458125204274,300,,1,,P,N73,A
Ar,7032.2965441123,4,,1,,,N73,A
Ar,7069.274050416339,300,,1,,P,N73,A
Ar,7070.792481873454,3,,1,,,N73,A
Ar,7109.545494198603,1,,1,,,N73,A
Ar,7127.892708395396,1,,1,,,N73,A
Ar,7149.120741724235,30,,1,,,N73,A
Ar,7209.075784230913,2,,1,,,N73,A
Ar,7275.050541836313,60,,1,,,N73,A
Ar,7313.841572596944,1,,1,,,N73,A
Ar,7318.131792664488,1,,1,,,N73,A
Ar,7355.430400473794,2,,1,,,N73,A
Ar,7374.260756344773,6,,1,,,N73,A
Ar,7386.126131345662,300,,1,,,N73,A
Ar,7395.128692127461,1,,1,,,N73,A
Ar,7437.528753795994,1,,1,,,N73,A
Ar,7506.049249293888,600,,1,,P,N73,A
Ar,7516.835318515738,400,,1,,,N73,A
Ar,7637.3236104809475,700,,1,,P,N73,A
Ar,7726.003857016415,400,,1,,,N73,A
Ar,7726.449984040516,300,,1,,,N73,A
Ar,7950.482790755953,600,,1,,P,N73,A
Ar,8008.480314862711,600,,1,,P,N73,A
Ar,8017.111774254383,700,,1,,P,N73,A
Ar,8106.044116978947,600,,1,,P,N73,A
Ar,8117.665429049924,1000,,1,,P,N73,A
Ar,8266.918973994078,300,,1,,,N73,A
Ar,8394.703410109958,1,,1,,,M73,A
Ar,8410.647957180223,400,,1,,,N73,A
Ar,8427.090646466666,600,,1,,,N73,A
Ar,8523.91226215718,400,,1,,,N73,A
Ar,8670.456069676875,130,,1,,,N73,A
Ar,8852.474013463992,5,,1,,,M73,A
Ar,9078.02240264946,1,,1,,,N73,A
Ar,9125.60899064639,1000,,1,,P,N73,A
Ar,9197.300463545927,15,,1,,,N73,A
Ar,9227.16999404715,400,,1,,,N73,A
Ar,9294.221144740459,11,,1,,,N73,A
Ar,9356.928056403192,50,,1,,,N73,A
Ar,9660.580814768282,700,,1,,P,N73,A
Ar,9787.334040705777,130,,1,,,N73,A
Ar,10054.967549019022,5,,1,,,M73,A
Ar,10335.707829919656,1,,1,,,M73,A
